1 Mot inconnu : xPlanetFX => ====== xPlanetFX ====== | xplanetfx

3 Typographie : points de suspension. Utilisez le caractère dédié. => Un fond d’écran de la Terre... en direct depuis le satellite. | ... => suggestions : ['…']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

18 Espace(s) surnuméraire(s) à supprimer. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) |    => suggestions : [' ']
18 Pas d’espace après ce signe. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) | (  => suggestions : ['(']
18 Si vous parlez de la langue, pas de majuscule. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) | anglais => suggestions : ['anglais']
18 Pas d’espace avant ce signe. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) |  ) => suggestions : [')']
18 Pas d’espace après ce signe. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) | (  => suggestions : ['(']
18 Pas d’espace avant ce signe. => En suivant tranquillement les instructions d'installation sur le site très complet de l'éditeur  [[http://mein-neues-blog.de/xplanetfx]]  ( En Anglais ), vous devriez avoir une nouvelle application. ( Voir la section Installation ) |  ) => suggestions : [')']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dans Ubuntu / interface Gnome Menu | Applications |  Accessoires |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dans Ubuntu / interface Unity Tableau de bord : saisir Xpl.... dans la zone de recherche, pour trouver l’application à ouvrir. |    => suggestions : ['']
23 Mot inconnu : Unity =>   * dans Ubuntu / interface Unity Tableau de bord : saisir Xpl.... dans la zone de recherche, pour trouver l’application à ouvrir. | unity
23 Mot inconnu : Xpl =>   * dans Ubuntu / interface Unity Tableau de bord : saisir Xpl.... dans la zone de recherche, pour trouver l’application à ouvrir. | xpl
23 Typographie : points de suspension. Utilisez le caractère dédié. =>   * dans Ubuntu / interface Unity Tableau de bord : saisir Xpl.... dans la zone de recherche, pour trouver l’application à ouvrir. | .... => suggestions : ['…']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dans Ubuntu / interface KDE Menu K , rechercher |    => suggestions : ['']
24 Mot inconnu : KDE =>   * dans Ubuntu / interface KDE Menu K , rechercher | kde
24 Pas d’espace avant une virgule. =>   * dans Ubuntu / interface KDE Menu K , rechercher |  , => suggestions : [',']

32 Mot inconnu : XplanetFX => Quelques réglages indispensables dans XplanetFX : | xplanetfx

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet Outils : on peut activer le démarrage automatique et faire exécuter. |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet Paramètres : |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            - Résolution ( clic sur le bouton Adapter, pour utiliser la résolution vidéo de votre écran) |             => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>            - Résolution ( clic sur le bouton Adapter, pour utiliser la résolution vidéo de votre écran) |  -  => suggestions : [' – ', ' — ', ' − ']
37 Pas d’espace après ce signe. =>            - Résolution ( clic sur le bouton Adapter, pour utiliser la résolution vidéo de votre écran) | (  => suggestions : ['(']

39 Mot inconnu : Unity => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | unity
39 Mot inconnu : KDE => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | kde
39 Mot inconnu : KDE => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | kde
39 Pas d’espace avant une virgule. => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // |  , => suggestions : [',']
39 Pas d’espace avant une virgule. => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // |  , => suggestions : [',']
39 Mot inconnu : KDE => //Avec Ubuntu 11.10 et l'interface Unity il semble qu'il n'y ait plus besoin d'indiquer un quelconque fichier de sortie, ça marche tout de suite, par contre avec KDE il faut indiquer un nom de fichier, cliquer sur KDE, pour pouvoir parcourir et donner un nom de fichier, exemple : terre.png , et le mettre dans le dossier Images, **enregistrer et actualiser** , ensuite, bureau KDE fond d'écran choisir ce fichiers, ouvrir dans le dossier Images, votre fichier terre.png (fichier PNG et penser à déverrouillez vos plasmoïdes pour cette opération)  // | kde
