
4 Mot inconnu : AFS => ====== AFS : Andrew File System ====== | afs
4 Mot inconnu : System => ====== AFS : Andrew File System ====== | system

8 Mot inconnu : AFS => Cette page traite donc de l'installation d'un client AFS avec authentification par Kerberos. | afs
8 Mot inconnu : Kerberos => Cette page traite donc de l'installation d'un client AFS avec authentification par Kerberos. | kerberos

17 Mot inconnu : Kerberos => La seconde étape est simplement l'installation du client à proprement parler, ainsi que du paquet d'intégration à Kerberos 5. | kerberos

33 Mot inconnu : kerberos => La première chose à faire afin d'accéder à votre espace est de vous authentifier auprès du serveur d'authentification du domaine. La procédure sera ici décrite pour un serveur kerberos, dont on a installé le support pour AFS. | kerberos
33 Mot inconnu : AFS => La première chose à faire afin d'accéder à votre espace est de vous authentifier auprès du serveur d'authentification du domaine. La procédure sera ici décrite pour un serveur kerberos, dont on a installé le support pour AFS. | afs

39 Mot inconnu : AFS => Ensuite pour accéder à AFS, il vous suffit de naviguer dans le répertoire **/afs** qui a été créé lors de l'installation du client. | afs
39 Mot inconnu : afs => Ensuite pour accéder à AFS, il vous suffit de naviguer dans le répertoire **/afs** qui a été créé lors de l'installation du client. | afs
