
5 Mot inconnu : Keytouch [[45:53]] => ====== Configurer un clavier multimédia avec Keytouch ====== <|> keytouch

7 Mot inconnu : KeyTouch [[2:10]] => **KeyTouch** est un programme qui vous permet de configurer aisément les touches multimédia de votre clavier. Cela signifie que l'on peut définir la fonction de chaque touche pressée. <|> keytouch
12 Mot inconnu : xev [[93:96]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> xev
12 Accord de nombre erroné : « Media » est au pluriel. [[106:108]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> le => suggestions : ['les']
12 Accord de nombre erroné : « Media » devrait être au singulier. [[109:114]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> media => suggestions : ['Media']
12 Mot inconnu : Keyboard [[115:123]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> keyboard
12 Mot inconnu : Elite [[138:143]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> elite
12 Mot inconnu : keytouch [[252:260]] => Quand un clavier multimédia possède certaines touches qui ne semblent pas fonctionner avec « xev », comme le Media Keyboard (idem version Elite) de Logitech, ou certaines touches multimédia de portable, il faut alors plutôt essayer avec l'utilitaire « keytouch ». De plus, ce programme peut vous être utile si vous utilisez un environnement de bureau léger tel Xfce qui ne possède pas de fonction d'affichage sur écran des raccourcis clavier. <|> keytouch

32 Espace(s) surnuméraire(s) à supprimer. [[23:25]] => ^  Greffons disponibles  ||| <|>    => suggestions : [' ']
33 Espace(s) surnuméraire(s) à supprimer. [[9:11]] => |  Amarok  |  Amixer   |  Audacious  |      <|>    => suggestions : [' ']
33 Mot inconnu : Amixer [[14:20]] => |  Amarok  |  Amixer   |  Audacious  |      <|> amixer
33 Espace(s) surnuméraire(s) à supprimer. [[20:23]] => |  Amarok  |  Amixer   |  Audacious  |      <|>     => suggestions : [' ']
33 Mot inconnu : Audacious [[26:35]] => |  Amarok  |  Amixer   |  Audacious  |      <|> audacious
33 Espace(s) surnuméraire(s) à supprimer. [[35:37]] => |  Amarok  |  Amixer   |  Audacious  |      <|>    => suggestions : [' ']
33 Espace(s) en fin de ligne à supprimer. [[38:43]] => |  Amarok  |  Amixer   |  Audacious  |      <|>       => suggestions : ['']

34 Espace(s) surnuméraire(s) à supprimer. [[7:11]] => |  Chat    | common actions   |  Email | <|>      => suggestions : [' ']
34 Mot inconnu : common [[13:19]] => |  Chat    | common actions   |  Email | <|> common
34 Espace(s) surnuméraire(s) à supprimer. [[27:30]] => |  Chat    | common actions   |  Email | <|>     => suggestions : [' ']

35 Mot inconnu : keys [[21:25]] => |  Files manager | F keys | KDE switch desktop | <|> keys
35 Mot inconnu : switch [[32:38]] => |  Files manager | F keys | KDE switch desktop | <|> switch
35 Mot inconnu : desktop [[39:46]] => |  Files manager | F keys | KDE switch desktop | <|> desktop

36 Mot inconnu : Lock [[3:7]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|> lock
36 Mot inconnu : screen [[8:14]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|> screen
36 Espace(s) surnuméraire(s) à supprimer. [[14:16]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|>    => suggestions : [' ']
36 Mot inconnu : Rhythmbox [[19:28]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|> rhythmbox
36 Espace(s) surnuméraire(s) à supprimer. [[28:30]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|>    => suggestions : [' ']
36 Mot inconnu : Scroll [[33:39]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|> scroll
36 Espace(s) surnuméraire(s) à supprimer. [[39:41]] => |  Lock screen  |  Rhythmbox  |  Scroll  | <|>    => suggestions : [' ']

37 Mot inconnu : Browser [[8:15]] => |   WWW Browser  |  Xmms  |  Zoom  | <|> browser
37 Espace(s) surnuméraire(s) à supprimer. [[15:17]] => |   WWW Browser  |  Xmms  |  Zoom  | <|>    => suggestions : [' ']
37 Mot inconnu : Xmms [[20:24]] => |   WWW Browser  |  Xmms  |  Zoom  | <|> xmms
37 Espace(s) surnuméraire(s) à supprimer. [[24:26]] => |   WWW Browser  |  Xmms  |  Zoom  | <|>    => suggestions : [' ']
37 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => |   WWW Browser  |  Xmms  |  Zoom  | <|>    => suggestions : [' ']
