
4 Mot inconnu : Nautilus => ====== Nautilus FTP ====== | nautilus

8 Mot inconnu : Nautilus => Vous avez la possibilité d'utiliser le gestionnaire de fichiers (Nautilus) comme client FTP, l'avantage c'est que son fonctionnement est simple et transparent, et les fonctions Copier/Coller ainsi que Glisser/Déposer fonctionnent entre votre disque dur et votre compte, et inversement. | nautilus
8 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Vous avez la possibilité d'utiliser le gestionnaire de fichiers (Nautilus) comme client FTP, l'avantage c'est que son fonctionnement est simple et transparent, et les fonctions Copier/Coller ainsi que Glisser/Déposer fonctionnent entre votre disque dur et votre compte, et inversement. | copier/coller => suggestions : ['Copier-coller', 'Copié-collé', 'Copiée-collée', 'Copiés-collés', 'Copiées-collées']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

16 Mot inconnu : Nautilus => Il n'y a rien à installer. Le support du FTP est une fonction directement intégrée au gestionnaire de fichiers Nautilus. | nautilus

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrez Nautilus, le gestionnaire de fichiers, |    => suggestions : ['']
21 Mot inconnu : Nautilus =>   * Ouvrez Nautilus, le gestionnaire de fichiers, | nautilus

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans panneau latéral gauche et cliquez sur **Connexion à un serveur**, |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la fenêtre ouverte ainsi entrez l'adresse du serveur, |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ajoutez votre **nom d'utilisateur** et le **mot de passe** du FTP du serveur FTP à utiliser. |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez le dossier distant du FTP (/ veut dire le dossier par défaut du FTP, vous pouvez choisir un sous dossier si vous le souhaitez, cette fonction est globalement inutile donc laissez / si vous ne savez pas) |    => suggestions : ['']

27 Mot inconnu : Nautilus => Le FTP apparaîtra désormais dans le poste de travail de Nautilus ou dans la barre latérale gauche. Vous pouvez cliquer sur le petit symbole **Éjecter** à côté du dossier pour se déconnecter du FTP.  | nautilus
27 Espace(s) en fin de ligne à supprimer. => Le FTP apparaîtra désormais dans le poste de travail de Nautilus ou dans la barre latérale gauche. Vous pouvez cliquer sur le petit symbole **Éjecter** à côté du dossier pour se déconnecter du FTP.  |   => suggestions : ['']

29 Mot inconnu : Nautilus => <note idée>Vous pouvez aussi tout simplement ouvrir une fenêtre Nautilus, faire un CTRL+L, et saisir dans la barre d'adresse les informations du serveur FTP selon le schéma suivant : **ftp://server:port** | nautilus
29 Mot inconnu : server => <note idée>Vous pouvez aussi tout simplement ouvrir une fenêtre Nautilus, faire un CTRL+L, et saisir dans la barre d'adresse les informations du serveur FTP selon le schéma suivant : **ftp://server:port** | server

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * pour un compte chez [[http://www.gdc-hebergement.fr|gdc-hebergement]] |        => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * //serveur// : ftp.gdc-hebergement.fr |          => suggestions : ['']
31 Mot inconnu : gdc-hebergement =>         * //serveur// : ftp.gdc-hebergement.fr | gdc-hebergement

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         * //port// : 21 |          => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Une fenêtre s'ouvrira en vous demandant votre //Nom d'utilisateur// et votre //Mot de passe//, |     => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Renseignez les informations et choisissez les options comme ci dessous : |     => suggestions : ['']
37 Il manque un trait d’union. =>    * Renseignez les informations et choisissez les options comme ci dessous : | ci dessous => suggestions : ['ci-dessous']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Après validation, vous accédez à votre espace FTP. |     => suggestions : ['']
