
3 Mot inconnu : TrueCombat [[6:16]] => ======TrueCombat Elite====== <|> truecombat
3 Mot inconnu : Elite [[17:22]] => ======TrueCombat Elite====== <|> elite

14 Il manque un espace. [[3:4]] => TC:E est un FPS qui se joue exclusivement en ligne et qui se veut le plus réaliste possible rendant son approche pour un débutant souvent difficile, deux balles suffisant à tuer un homme. Vous incarnez au choix un terroriste ou un membre des forces spéciales, avec pour chaque camp des armes spécifiques et des armes communes (variant selon les serveurs). Le type d'arme, ainsi que votre tenue, votre vitesse de déplacement, votre endurance, dépendent également de la classe dont vous faites partie : <|> e => suggestions :  E
14 Mot inconnu : FPS [[12:15]] => TC:E est un FPS qui se joue exclusivement en ligne et qui se veut le plus réaliste possible rendant son approche pour un débutant souvent difficile, deux balles suffisant à tuer un homme. Vous incarnez au choix un terroriste ou un membre des forces spéciales, avec pour chaque camp des armes spécifiques et des armes communes (variant selon les serveurs). Le type d'arme, ainsi que votre tenue, votre vitesse de déplacement, votre endurance, dépendent également de la classe dont vous faites partie : <|> fps
16 Mot inconnu : flashbang [[68:77]] =>   * **Reconnaissance** : armes principales légères, armes de poing, flashbang et fumigènes. <|> flashbang
17 Espace(s) en fin de ligne à supprimer. [[75:76]] =>   * **Sniper** : armes principales de précision, armes de poing, fumigènes.  <|>  
20 Espace(s) en fin de ligne à supprimer. [[30:31]] => Il existe trois modes de jeu :  <|>  
21 Mot inconnu : Bodycount [[6:15]] =>   * **Bodycount** : tuer le plus d'ennemis possible en un temps limité. Sans doute le mode le plus populaire. <|> bodycount
23 Mot inconnu : CTF [[6:9]] =>   * **CTF, capture the flag** : où il faut capturer et amener le drapeau ennemi dans son camp.  <|> ctf
23 Mot inconnu : the [[19:22]] =>   * **CTF, capture the flag** : où il faut capturer et amener le drapeau ennemi dans son camp.  <|> the
23 Mot inconnu : flag [[23:27]] =>   * **CTF, capture the flag** : où il faut capturer et amener le drapeau ennemi dans son camp.  <|> flag
23 Espace(s) en fin de ligne à supprimer. [[94:95]] =>   * **CTF, capture the flag** : où il faut capturer et amener le drapeau ennemi dans son camp.  <|>  
25 Espace(s) en fin de ligne à supprimer. [[162:163]] => Les points ne sont pas comptés sur le long terme par le jeu en lui-même mais la plupart des serveurs utilisent des mods qui fourniront vos statistiques de combat.  <|>  
