
5 Mot inconnu : Brothers => ====== Brothers in Arms ROAD to HILL 30 ====== | brothers
5 Mot inconnu : Arms => ====== Brothers in Arms ROAD to HILL 30 ====== | arms
5 Mot inconnu : ROAD => ====== Brothers in Arms ROAD to HILL 30 ====== | road
5 Mot inconnu : to => ====== Brothers in Arms ROAD to HILL 30 ====== | to
5 Mot inconnu : HILL => ====== Brothers in Arms ROAD to HILL 30 ====== | hill

20 Accord de nombre erroné : « fichiers » est au pluriel. => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) | le => suggestions : ['les']
20 Accord de nombre erroné : « fichiers » devrait être au singulier. => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) | fichiers => suggestions : ['fichier']
20 Mot inconnu : setup => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) | setup
20 Mot inconnu : exe => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) | exe
20 Pas d’espace après ce signe. => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) | (  => suggestions : ['(']
20 Pas d’espace avant ce signe. => Pour installer ce jeu, il faut exécuter le fichiers setup.exe ( à la racine du CD ou après avoir dé-zipper la démonstration ) |  ) => suggestions : [')']

22 Accord de nombre erroné : « jeux » devrait être au singulier. => L'installation du jeux sous Wine commence...laisser les choix par défaut, et faire simplement suivant, accepter, suivant..., sauf tout à la fin, ne pas redémarrer , sélectionner ne pas s'enregistrer. | jeux => suggestions : ['jeu']
22 Mot inconnu : Wine => L'installation du jeux sous Wine commence...laisser les choix par défaut, et faire simplement suivant, accepter, suivant..., sauf tout à la fin, ne pas redémarrer , sélectionner ne pas s'enregistrer. | wine
