1 Mot inconnu : Konqueror => ====== Astuces pour Konqueror ====== | konqueror

4 Mot inconnu : differentes => <note>Cette page a pour objet de centraliser les differentes astuces pratiques propres à l'utilisation de **Konqueror**.\\ | differentes
4 Mot inconnu : Konqueror => <note>Cette page a pour objet de centraliser les differentes astuces pratiques propres à l'utilisation de **Konqueror**.\\ | konqueror

5 Espace(s) surnuméraire(s) à supprimer. => Pour des informations plus générales, reportez-vous à la page sur  [[konqueror|Konqueror]]</note> |    => suggestions : [' ']
5 Mot inconnu : konqueror => Pour des informations plus générales, reportez-vous à la page sur  [[konqueror|Konqueror]]</note> | konqueror

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glisser-déposer un onglet avec le clic-gauche : copie automatiquement le contenu de la page vers un nouvel onglet |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glisser-déposer un onglet avec le clic-milieu : déplace l'onglet |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic-milieu sur barre des onglets : ouvre un nouvel onglet avec contenu du presse papier dans la barre d'adresse (en parallèle avec un moteur de recherche par défaut  (configurer konqueror > raccourcis web), c'est très pratique.) |    => suggestions : ['']
11 Il manque probablement un trait d’union. =>   * Clic-milieu sur barre des onglets : ouvre un nouvel onglet avec contenu du presse papier dans la barre d'adresse (en parallèle avec un moteur de recherche par défaut  (configurer konqueror > raccourcis web), c'est très pratique.) | presse papier => suggestions : ['presse-papier']
11 Espace(s) surnuméraire(s) à supprimer. =>   * Clic-milieu sur barre des onglets : ouvre un nouvel onglet avec contenu du presse papier dans la barre d'adresse (en parallèle avec un moteur de recherche par défaut  (configurer konqueror > raccourcis web), c'est très pratique.) |    => suggestions : [' ']
11 Mot inconnu : konqueror =>   * Clic-milieu sur barre des onglets : ouvre un nouvel onglet avec contenu du presse papier dans la barre d'adresse (en parallèle avec un moteur de recherche par défaut  (configurer konqueror > raccourcis web), c'est très pratique.) | konqueror

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Double-clic sur la barre des onglets : crée un nouvel onglet  |    => suggestions : ['']
12 Espace(s) en fin de ligne à supprimer. =>   * Double-clic sur la barre des onglets : crée un nouvel onglet  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic-milieu sur un lien ou un signet : ouvre celui-ci dans un nouvel onglet |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glissé-déposé d'un lien ou d'un fichier vers la barre des onglets : ouvre celui-ci dans un nouvel onglet (ou un onglet déjà ouvert si on relâche sur un onglet). |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+Shift+N ou Ctrl+T : ouvre un nouvel onglet |    => suggestions : ['']
17 Mot inconnu : Shift =>   * Ctrl+Shift+N ou Ctrl+T : ouvre un nouvel onglet | shift

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+W : ferme l'onglet courant |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+Shift+D : duplique l'onglet |    => suggestions : ['']
19 Mot inconnu : Shift =>   * Ctrl+Shift+D : duplique l'onglet | shift

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+Shift+B : détache l'onglet |    => suggestions : ['']
20 Mot inconnu : Shift =>   * Ctrl+Shift+B : détache l'onglet | shift

22 Mot inconnu : view => ===== Vues multiples (Split view) ===== | view

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic droit sur la barre d'état :  menu des vues multiples |    => suggestions : ['']
24 Espace(s) surnuméraire(s) à supprimer. =>   * Clic droit sur la barre d'état :  menu des vues multiples |    => suggestions : [' ']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+shift+T : scinder haut/bas |    => suggestions : ['']
25 Mot inconnu : shift =>   * Ctrl+shift+T : scinder haut/bas | shift

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+shift+L : scinder droite/gauche |    => suggestions : ['']
26 Mot inconnu : shift =>   * Ctrl+shift+L : scinder droite/gauche | shift

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+shift+R : fermer la vue active |    => suggestions : ['']
27 Mot inconnu : shift =>   * Ctrl+shift+R : fermer la vue active | shift

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir la boite de recherche : F3 ou Ctrl+F |    => suggestions : ['']
31 Mot inconnu : F3 =>   * Ouvrir la boite de recherche : F3 ou Ctrl+F | f3

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Poursuivre la recherche : F3 |    => suggestions : ['']
32 Mot inconnu : F3 =>   * Poursuivre la recherche : F3 | f3

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chercher en arrière : Shift+F3 |    => suggestions : ['']
33 Mot inconnu : Shift =>   * Chercher en arrière : Shift+F3 | shift
33 Mot inconnu : F3 =>   * Chercher en arrière : Shift+F3 | f3

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Recherche de texte au cours de la frappe (sans passer par la boite de dialogue) : / (shift+:) |    => suggestions : ['']
34 Mot inconnu : shift =>   * Recherche de texte au cours de la frappe (sans passer par la boite de dialogue) : / (shift+:) | shift

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Recherche de liens au cours de la frappe : ' |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+ et Ctrl- : agrandir et rétrécir la taille de la police d'affichage d'une page html. (= Ctrl+roulette) |    => suggestions : ['']
39 Mot inconnu : html =>   * Ctrl+ et Ctrl- : agrandir et rétrécir la taille de la police d'affichage d'une page html. (= Ctrl+roulette) | html

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+U : code source du document |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+I : informations du document |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+M : Afficher/masquer la barre de menu |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+shift+F : mode plein écran (idem F11) |    => suggestions : ['']
43 Mot inconnu : shift =>   * Ctrl+shift+F : mode plein écran (idem F11) | shift
43 Mot inconnu : F11 =>   * Ctrl+shift+F : mode plein écran (idem F11) | f11

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Shift+roulette : défilement rapide |    => suggestions : ['']
44 Mot inconnu : Shift =>   * Shift+roulette : défilement rapide | shift

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  |    => suggestions : ['']
45 Mot inconnu : autoscroll =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  | autoscroll
45 Mot inconnu : Shift =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  | shift
45 Mot inconnu : fléches =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  | fléches
45 Mot inconnu : Esc =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  | esc
45 Espace(s) en fin de ligne à supprimer. =>   * Shit+[flèches haut/bas] : lancer l'autoscroll (Shift+[fléches droite/gauche] ou Esc pour stopper)  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activer **l'auto-scroll par clic-central** : Configurer Konqueror --> Comportement Web, décocher "Un clic central ouvre l'URL contenue dans le presse-papiers" |    => suggestions : ['']
46 Mot inconnu : auto-scroll =>   * Activer **l'auto-scroll par clic-central** : Configurer Konqueror --> Comportement Web, décocher "Un clic central ouvre l'URL contenue dans le presse-papiers" | auto-scroll
46 Mot inconnu : Konqueror =>   * Activer **l'auto-scroll par clic-central** : Configurer Konqueror --> Comportement Web, décocher "Un clic central ouvre l'URL contenue dans le presse-papiers" | konqueror
46 Guillemets typographiques ouvrants. =>   * Activer **l'auto-scroll par clic-central** : Configurer Konqueror --> Comportement Web, décocher "Un clic central ouvre l'URL contenue dans le presse-papiers" | " => suggestions : ['«\xa0', '“']
46 Guillemets typographiques fermants. =>   * Activer **l'auto-scroll par clic-central** : Configurer Konqueror --> Comportement Web, décocher "Un clic central ouvre l'URL contenue dans le presse-papiers" | " => suggestions : ['\xa0»', '”']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F1 : ouvre le manuel de Konqueror |    => suggestions : ['']
50 Mot inconnu : Konqueror =>   * F1 : ouvre le manuel de Konqueror | konqueror

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F3 : ouvre la boîte de recherche et permet de continuer la recherche une fois la boîte fermée  |    => suggestions : ['']
51 Mot inconnu : F3 =>   * F3 : ouvre la boîte de recherche et permet de continuer la recherche une fois la boîte fermée  | f3
51 Espace(s) en fin de ligne à supprimer. =>   * F3 : ouvre la boîte de recherche et permet de continuer la recherche une fois la boîte fermée  |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F4 : ouvre une console |    => suggestions : ['']
52 Mot inconnu : F4 =>   * F4 : ouvre une console | f4

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F5 : recharge la page |    => suggestions : ['']
53 Mot inconnu : F5 =>   * F5 : recharge la page | f5

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F6 : sélectionne le contenu de la barre d'adresse  |    => suggestions : ['']
54 Mot inconnu : F6 =>   * F6 : sélectionne le contenu de la barre d'adresse  | f6
54 Espace(s) en fin de ligne à supprimer. =>   * F6 : sélectionne le contenu de la barre d'adresse  |   => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F7 : repositionne la page HTML au niveau du curseur |    => suggestions : ['']
55 Mot inconnu : F7 =>   * F7 : repositionne la page HTML au niveau du curseur | f7

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * F8 : scinde konqueror en deux : navigateur/console |    => suggestions : ['']
56 Mot inconnu : F8 =>   * F8 : scinde konqueror en deux : navigateur/console | f8
56 Mot inconnu : konqueror =>   * F8 : scinde konqueror en deux : navigateur/console | konqueror

