10 Mot inconnu : Evolution [[22:31]] =>   * Des contacts dans Evolution ou Pidgin, <|> evolution
11 Mot inconnu : Rhythmbox [[36:45]] =>   * Des artistes ou des albums dans Rhythmbox, <|> rhythmbox

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

42 Mot inconnu : selectionne [[170:181]] => Vous devriez voir une fenêtre de dialogue avec une icône de recherche et deux zones au centre de votre écran. La zone de gauche est la zone de recherche des objets, on y selectionne un programme, un fichier, un contact ... ; la zone de droite est la zone d'action, on y sélectionne l'action que l'on souhaitez effectuer sur l'objet. <|> selectionne
42 Typographie : points de suspension. Utilisez le caractère dédié. [[219:222]] => Vous devriez voir une fenêtre de dialogue avec une icône de recherche et deux zones au centre de votre écran. La zone de gauche est la zone de recherche des objets, on y selectionne un programme, un fichier, un contact ... ; la zone de droite est la zone d'action, on y sélectionne l'action que l'on souhaitez effectuer sur l'objet. <|> ... => suggestions : ['…']
42 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. [[300:309]] => Vous devriez voir une fenêtre de dialogue avec une icône de recherche et deux zones au centre de votre écran. La zone de gauche est la zone de recherche des objets, on y selectionne un programme, un fichier, un contact ... ; la zone de droite est la zone d'action, on y sélectionne l'action que l'on souhaitez effectuer sur l'objet. <|> souhaitez => suggestions : ['souhaite']

52 Mot inconnu : autocompletion [[50:64]] => <note tip>Toutes les zones de Gnome-Do supporte l'autocompletion: ainsi il n'est pas nécessaire de taper entièrement la requête pour y accéder; Gnome-Do supporte aussi l'apprentissage intelligent: ainsi vos requêtes les plus utilisés apparaissent prioritairement. Vous pouvez encore faire apparaître la fenêtre de résultat en tapant sur la flèche du bas de votre clavier et naviguer dedans grâce au touches directionnelles </note> <|> autocompletion
52 Accord de genre erroné entre « requêtes » et « utilisés ». [[225:233]] => <note tip>Toutes les zones de Gnome-Do supporte l'autocompletion: ainsi il n'est pas nécessaire de taper entièrement la requête pour y accéder; Gnome-Do supporte aussi l'apprentissage intelligent: ainsi vos requêtes les plus utilisés apparaissent prioritairement. Vous pouvez encore faire apparaître la fenêtre de résultat en tapant sur la flèche du bas de votre clavier et naviguer dedans grâce au touches directionnelles </note> <|> utilisés => suggestions : ['utilisées']
52 Accord de nombre erroné : « touches » est au pluriel. [[396:398]] => <note tip>Toutes les zones de Gnome-Do supporte l'autocompletion: ainsi il n'est pas nécessaire de taper entièrement la requête pour y accéder; Gnome-Do supporte aussi l'apprentissage intelligent: ainsi vos requêtes les plus utilisés apparaissent prioritairement. Vous pouvez encore faire apparaître la fenêtre de résultat en tapant sur la flèche du bas de votre clavier et naviguer dedans grâce au touches directionnelles </note> <|> au => suggestions : ['aux']
52 Accord de nombre erroné : « touches » devrait être au singulier. [[399:406]] => <note tip>Toutes les zones de Gnome-Do supporte l'autocompletion: ainsi il n'est pas nécessaire de taper entièrement la requête pour y accéder; Gnome-Do supporte aussi l'apprentissage intelligent: ainsi vos requêtes les plus utilisés apparaissent prioritairement. Vous pouvez encore faire apparaître la fenêtre de résultat en tapant sur la flèche du bas de votre clavier et naviguer dedans grâce au touches directionnelles </note> <|> touches => suggestions : ['touché']

