
5 Mot inconnu : Grub => ====== Grub: problème de clavier non fonctionnel ====== | grub

8 Mot inconnu : Grub => Vous avez un clavier USB et celui-ci ne marche pas avec Grub, vous empêchant ainsi de choisir votre système d'exploitation. | grub

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * entrer dans les options du bios (la touche est indiquée au démarrage de l'ordinateur, elle dépend du construteur de votre carte mère) |    => suggestions : ['']
12 Accord de nombre erroné : « bios » devrait être au singulier. =>   * entrer dans les options du bios (la touche est indiquée au démarrage de l'ordinateur, elle dépend du construteur de votre carte mère) | bios => suggestions : ['bio']
12 Mot inconnu : construteur =>   * entrer dans les options du bios (la touche est indiquée au démarrage de l'ordinateur, elle dépend du construteur de votre carte mère) | construteur

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") |    => suggestions : ['']
13 Guillemets typographiques ouvrants. =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | " => suggestions : ['«\xa0', '“']
13 Mot inconnu : Legacy =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | legacy
13 Guillemets typographiques fermants. =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | " => suggestions : ['\xa0»', '”']
13 Guillemets typographiques ouvrants. =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | " => suggestions : ['«\xa0', '“']
13 Mot inconnu : Legacy =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | legacy
13 Guillemets typographiques fermants. =>   * trouver l'option dont une partie du nom est "USB Legacy" (parfois, l'option s'appelle "USB Legacy support") | " => suggestions : ['\xa0»', '”']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * changez alors le paramètre en "All Device" |    => suggestions : ['']
14 Guillemets typographiques ouvrants. =>   * changez alors le paramètre en "All Device" | " => suggestions : ['«\xa0', '“']
14 Mot inconnu : All =>   * changez alors le paramètre en "All Device" | all
14 Mot inconnu : Device =>   * changez alors le paramètre en "All Device" | device
14 Guillemets typographiques fermants. =>   * changez alors le paramètre en "All Device" | " => suggestions : ['\xa0»', '”']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * retourner au menu général du BIOS, sauvegarder et redémarrer |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * après cela vous devriez avoir un clavier fonctionnel lors du grub. |    => suggestions : ['']
16 Mot inconnu : grub =>   * après cela vous devriez avoir un clavier fonctionnel lors du grub. | grub

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * S'il ne fonctionne toujours pas, désactivez l'option NumLock au démarrage si elle est activée. |    => suggestions : ['']
19 Mot inconnu : NumLock =>   * S'il ne fonctionne toujours pas, désactivez l'option NumLock au démarrage si elle est activée. | numlock

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Désactiver le logo du fabriquant (appelé "BootLogo" en général) peut aussi régler le problème.* |    => suggestions : ['']
20 Guillemets typographiques ouvrants. =>   * Désactiver le logo du fabriquant (appelé "BootLogo" en général) peut aussi régler le problème.* | " => suggestions : ['«\xa0', '“']
