
9 Mot inconnu : superutilisateur => Le présent document est dédié aux programmes et outils en ligne de commandes permettant d'obtenir des informations à propos de son ordinateur. Certains nécessitent des [[superutilisateur|droits d'administration]] ou doivent être installés séparément. La plupart de ces programmes s'utilisent en mode [[console]]. | superutilisateur

17 Mot inconnu : ca => Pour ca il suffit d'installer **[[apt>hw-probe]]**\\ | ca
17 Mot inconnu : hw-probe => Pour ca il suffit d'installer **[[apt>hw-probe]]**\\ | hw-probe

26 Guillemets typographiques ouvrants. => ==== Résumé dans le panneau "Paramètres système"==== | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => ==== Résumé dans le panneau "Paramètres système"==== | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : Unity => ===Unity / GNOME=== | unity

42 Mot inconnu : Cinnamon => ===Cinnamon=== | cinnamon

53 Il manque un espace. => CPU-X donne des infos sur votre CPU,votre carte mère ainsi que votre carte graphique,benchmark, etc..., CPU-X est sous licence GNU GPL V3. | votre => suggestions : [' votre']
53 Il manque un espace. => CPU-X donne des infos sur votre CPU,votre carte mère ainsi que votre carte graphique,benchmark, etc..., CPU-X est sous licence GNU GPL V3. | benchmark => suggestions : [' benchmark']
53 Un seul point après « etc. » => CPU-X donne des infos sur votre CPU,votre carte mère ainsi que votre carte graphique,benchmark, etc..., CPU-X est sous licence GNU GPL V3. | etc... => suggestions : ['etc.']
53 Mot inconnu : V3 => CPU-X donne des infos sur votre CPU,votre carte mère ainsi que votre carte graphique,benchmark, etc..., CPU-X est sous licence GNU GPL V3. | v3

62 Mot inconnu : Sysinfo => ==== Sysinfo ==== | sysinfo

63 Mot inconnu : sysinfo => <note important>sysinfo a disparu des dépôts de la 20.04</note> | sysinfo

67 Mot inconnu : Sysinfo => **Sysinfo** est un programme un peu plus bavard que l'outil du résumé système de GNOME. S'il permet d'afficher les même informations résumées, il offre aussi la possibilité d'étendre les détails pour la ou les sections qui sont d'intérêt. Par exemple, Sysinfo vous offre davantage d'informations à propos des matériels suivants de votre ordinateur : | sysinfo
67 Accord de nombre erroné : « même » devrait être au pluriel. => **Sysinfo** est un programme un peu plus bavard que l'outil du résumé système de GNOME. S'il permet d'afficher les même informations résumées, il offre aussi la possibilité d'étendre les détails pour la ou les sections qui sont d'intérêt. Par exemple, Sysinfo vous offre davantage d'informations à propos des matériels suivants de votre ordinateur : | même => suggestions : ['mêmes']
67 Mot inconnu : Sysinfo => **Sysinfo** est un programme un peu plus bavard que l'outil du résumé système de GNOME. S'il permet d'afficher les même informations résumées, il offre aussi la possibilité d'étendre les détails pour la ou les sections qui sont d'intérêt. Par exemple, Sysinfo vous offre davantage d'informations à propos des matériels suivants de votre ordinateur : | sysinfo

74 Mot inconnu : Sysinfo => Une fonctionnalité intéressante de Sysinfo est qu'il permet d'exporter et enregistrer la configuration détectée de votre ordinateur vers un fichier texte. En sélectionnant //Fichier --> **Enregistrer**//, il est très aisé de rouvrir le détail de votre configuration système à l'aide d'un logiciel d'édition de texte. Ceci facilite grandement la manière de transmettre votre configuration système à ceux qui vous la demande, par exemple dans un forum de discussions, dans un salon de clavardage ou dans une liste de diffusion, des canaux d'aide où il est davantage facile d'échanger l'information sous forme de texte plutôt qu'en images. | sysinfo
74 Conjugaison erronée. Accord avec “ceux qui”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Une fonctionnalité intéressante de Sysinfo est qu'il permet d'exporter et enregistrer la configuration détectée de votre ordinateur vers un fichier texte. En sélectionnant //Fichier --> **Enregistrer**//, il est très aisé de rouvrir le détail de votre configuration système à l'aide d'un logiciel d'édition de texte. Ceci facilite grandement la manière de transmettre votre configuration système à ceux qui vous la demande, par exemple dans un forum de discussions, dans un salon de clavardage ou dans une liste de diffusion, des canaux d'aide où il est davantage facile d'échanger l'information sous forme de texte plutôt qu'en images. | demande => suggestions : ['demandent']

79 Mot inconnu : HardInfo => ==== HardInfo ==== | hardinfo

83 Mot inconnu : HardInfo => Pour une information encore plus complète, **HardInfo** est l'outil de prédilection. Si l'interface semble moins conviale à première vue, puisque la présentation est beaucoup plus chargée et visuellement compacte, il n'en reste pas moins que HardInfo vous affiche une information très détaillée concernant votre matériel. | hardinfo
83 Mot inconnu : conviale => Pour une information encore plus complète, **HardInfo** est l'outil de prédilection. Si l'interface semble moins conviale à première vue, puisque la présentation est beaucoup plus chargée et visuellement compacte, il n'en reste pas moins que HardInfo vous affiche une information très détaillée concernant votre matériel. | conviale
83 Mot inconnu : HardInfo => Pour une information encore plus complète, **HardInfo** est l'outil de prédilection. Si l'interface semble moins conviale à première vue, puisque la présentation est beaucoup plus chargée et visuellement compacte, il n'en reste pas moins que HardInfo vous affiche une information très détaillée concernant votre matériel. | hardinfo

85 Mot inconnu : Sysinfo => Tout comme Sysinfo, HardInfo permet d'exporter l'information de votre configuration sous forme de texte, pour faciliter le partage d'information dans un forum de discussions, dans un salon de clavardage ou dans une liste de diffusion, des canaux d'aide où il est davantage facile d'échanger l'information sous forme de texte plutôt qu'en images. Cependant, HardInfo propose deux méthodes d'exportation: | sysinfo
85 Mot inconnu : HardInfo => Tout comme Sysinfo, HardInfo permet d'exporter l'information de votre configuration sous forme de texte, pour faciliter le partage d'information dans un forum de discussions, dans un salon de clavardage ou dans une liste de diffusion, des canaux d'aide où il est davantage facile d'échanger l'information sous forme de texte plutôt qu'en images. Cependant, HardInfo propose deux méthodes d'exportation: | hardinfo
85 Mot inconnu : HardInfo => Tout comme Sysinfo, HardInfo permet d'exporter l'information de votre configuration sous forme de texte, pour faciliter le partage d'information dans un forum de discussions, dans un salon de clavardage ou dans une liste de diffusion, des canaux d'aide où il est davantage facile d'échanger l'information sous forme de texte plutôt qu'en images. Cependant, HardInfo propose deux méthodes d'exportation: | hardinfo

94 Mot inconnu : Detection => ====Hardware Detection Tool==== | detection
94 Mot inconnu : Tool => ====Hardware Detection Tool==== | tool

96 Il manque un espace avant la parenthèse. => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | ( => suggestions : [' (']
96 Mot inconnu : Hardware_Detection_Tool => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | hardware_detection_tool
96 Mot inconnu : Detection => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | detection
96 Mot inconnu : Tool => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | tool
96 Mot inconnu : GRUB => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | grub
96 Mot inconnu : Memtest86 => [[https://wiki.syslinux.org/wiki/index.php?title=Hdt_(Hardware_Detection_Tool)|Hardware Detection Tool]] est un logiciel en mode texte, à démarrer depuis GRUB. Il est inclus dans certaines distributions Linux. Il permet aussi de démarrer Memtest86+. | memtest86

103 Mot inconnu : Inxi => ==== Inxi ==== | inxi

104 Mot inconnu : Inxi => Inxi un fork du script du programme infobash. | inxi
104 Mot inconnu : infobash => Inxi un fork du script du programme infobash. | infobash

119 Mot inconnu : Screenfetch => ==== Screenfetch ==== | screenfetch

126 Mot inconnu : lspci => ==== lspci ==== | lspci

128 Mot inconnu : PCI => Liste les périphériques PCI. | pci

139 Mot inconnu : Unknown => Si vous avez beaucoup de « Unknown devices », mettez à jour la base de données en saisissant la commande suivante dans un [[terminal]] : | unknown
139 Mot inconnu : devices => Si vous avez beaucoup de « Unknown devices », mettez à jour la base de données en saisissant la commande suivante dans un [[terminal]] : | devices

144 Mot inconnu : lshw => ==== lshw ==== | lshw

146 Mot inconnu : sudo => Liste le matériel (nécessite les [[sudo|droits superutilisateur]]). | sudo
146 Mot inconnu : superutilisateur => Liste le matériel (nécessite les [[sudo|droits superutilisateur]]). | superutilisateur

155 Mot inconnu : dmidecode => ==== dmidecode ==== | dmidecode

157 Mot inconnu : DMI => Décode la table DMI (en gros, le BIOS), donc liste le matériel (l'intérêt est que lshw et dmidecode ne tirent pas leurs infos du même endroit, et peuvent donner des résultats différents : il est donc bon de vérifier la cohérence). | dmi
157 Mot inconnu : lshw => Décode la table DMI (en gros, le BIOS), donc liste le matériel (l'intérêt est que lshw et dmidecode ne tirent pas leurs infos du même endroit, et peuvent donner des résultats différents : il est donc bon de vérifier la cohérence). | lshw
157 Mot inconnu : dmidecode => Décode la table DMI (en gros, le BIOS), donc liste le matériel (l'intérêt est que lshw et dmidecode ne tirent pas leurs infos du même endroit, et peuvent donner des résultats différents : il est donc bon de vérifier la cohérence). | dmidecode

165 Mot inconnu : neofetch => ==== neofetch ==== | neofetch

176 Mot inconnu : decode-dimms => ==== decode-dimms.pl ==== | decode-dimms
176 Il manque un espace. => ==== decode-dimms.pl ==== | pl => suggestions : [' pl']

178 Mot inconnu : SPD => Donne de précieuses informations sur la RAM (type, SPD, fréquence max, temps de latence, etc.). Livrée avec i2c-tools. | spd
178 Mot inconnu : i2c-tools => Donne de précieuses informations sur la RAM (type, SPD, fréquence max, temps de latence, etc.). Livrée avec i2c-tools. | i2c-tools

203 Mot inconnu : lsusb => ==== lsusb ==== | lsusb

205 Mot inconnu : usb => Liste le matériel USB branché. (voir aussi la [[usb|page usb]] ) | usb
205 Mot inconnu : usb => Liste le matériel USB branché. (voir aussi la [[usb|page usb]] ) | usb
205 Pas d’espace avant ce signe. => Liste le matériel USB branché. (voir aussi la [[usb|page usb]] ) |  ) => suggestions : [')']
212 Mot inconnu : Unknown => Si vous avez beaucoup de « Unknown devices », mettez à jour la base de données en saisissant la commande suivante dans un [[terminal]] : | unknown
212 Mot inconnu : devices => Si vous avez beaucoup de « Unknown devices », mettez à jour la base de données en saisissant la commande suivante dans un [[terminal]] : | devices

216 Mot inconnu : Usb => <note>Bases de données des Usb ID : \\ | usb

217 Mot inconnu : linux-usb => [[http://www.linux-usb.org/usb-ids.html|linux-usb.org]] \\ | linux-usb

221 Mot inconnu : glxinfo => ==== glxinfo ==== | glxinfo

233 Mot inconnu : proc => D'autres informations du processeur sont disponibles dans un répertoire contenant un certain nombre de fichiers contenant eux-mêmes des informations utiles. Par exemple, /proc/cpuinfo contient quelques caractéristiques du CPU. Pour les afficher, utilisez la commande **cat** : | proc
233 Mot inconnu : cpuinfo => D'autres informations du processeur sont disponibles dans un répertoire contenant un certain nombre de fichiers contenant eux-mêmes des informations utiles. Par exemple, /proc/cpuinfo contient quelques caractéristiques du CPU. Pour les afficher, utilisez la commande **cat** : | cpuinfo
233 Mot inconnu : cat => D'autres informations du processeur sont disponibles dans un répertoire contenant un certain nombre de fichiers contenant eux-mêmes des informations utiles. Par exemple, /proc/cpuinfo contient quelques caractéristiques du CPU. Pour les afficher, utilisez la commande **cat** : | cat

237 Mot inconnu : proc => Les informations sont parfois plus difficiles à déchiffrer que dans ces deux exemples, notamment les dossiers /proc/XXX où XXX est un nombre correspondant à des processus en cours. Certains fichiers peuvent être modifiés directement, mais cette pratique est extrêmement risquée si vous ne savez pas exactement ce que vous faites. | proc

256 Mot inconnu : sensors => ==== sensors ==== | sensors

258 Mot inconnu : sudo => Donne la température et la tension de certains composants, ainsi que la vitesse de rotation des ventilateurs (il faut effectuer au moins une fois sudo sensors-detect). | sudo
258 Mot inconnu : sensors-detect => Donne la température et la tension de certains composants, ainsi que la vitesse de rotation des ventilateurs (il faut effectuer au moins une fois sudo sensors-detect). | sensors-detect

261 Mot inconnu : free => ==== free ==== | free

268 Guillemets typographiques ouvrants. => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | " => suggestions : ['«\xa0', '“']
268 Guillemets typographiques fermants. => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | " => suggestions : ['\xa0»', '”']
268 Mot inconnu : free => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | free
268 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | ... => suggestions : ['…']
268 Mot inconnu : buffers => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | buffers
268 Accord de genre erroné : « la mémoire » est féminin, « utilisé » est masculin. => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | utilisé => suggestions : ['utilisée']
268 Accord de nombre erroné : « programme » devrait être au pluriel. => <note important>Il est à noter que Linux utilise la mémoire non utilisée pour mettre en "cache" le disque. Si on en reste à la première ligne retourné par free, on peut donc avoir l'impression que le système est gourmand... il faut regarder la deuxième ligne, qui commence par -/+ buffers/cache, qui donne la mémoire réellement utilisé par vos programme et la mémoire libre pour d'autres</note> | programme => suggestions : ['programmes']

271 Mot inconnu : lsmod => ==== lsmod ==== | lsmod

