
10 Il manque un espace. => Rédigé par [[utilisateurs:gale|gale]] | gale => suggestions : [' gale']

12 Mot inconnu : SSL-Explorer => ====== SSL-Explorer Community Edition ====== | ssl-explorer
12 Mot inconnu : Community => ====== SSL-Explorer Community Edition ====== | community
12 Mot inconnu : Edition => ====== SSL-Explorer Community Edition ====== | edition

16 Mot inconnu : ADITO => <note warning>Remplacé par ADITO , meme principe pour l'installation | adito
16 Pas d’espace avant une virgule. => <note warning>Remplacé par ADITO , meme principe pour l'installation |  , => suggestions : [',']
16 Mot inconnu : meme => <note warning>Remplacé par ADITO , meme principe pour l'installation | meme

24 Mot inconnu : SSL-Explorer => SSL-Explorer est une solution VPN SSL sous un navigateur (browser-based). Cette solution d’accès distant permet aux utilisateurs et aux entreprises d’accéder, de manière sécurisée, aux ressources du réseau depuis l’externe en n'utilisant qu’un navigateur Internet. | ssl-explorer
24 Mot inconnu : SSL => SSL-Explorer est une solution VPN SSL sous un navigateur (browser-based). Cette solution d’accès distant permet aux utilisateurs et aux entreprises d’accéder, de manière sécurisée, aux ressources du réseau depuis l’externe en n'utilisant qu’un navigateur Internet. | ssl
24 Mot inconnu : browser-based => SSL-Explorer est une solution VPN SSL sous un navigateur (browser-based). Cette solution d’accès distant permet aux utilisateurs et aux entreprises d’accéder, de manière sécurisée, aux ressources du réseau depuis l’externe en n'utilisant qu’un navigateur Internet. | browser-based

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Fonction “sudo” activée (si non voir ajout sudo utilisateur).  |    => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Fonction “sudo” activée (si non voir ajout sudo utilisateur).  |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : sudo =>   - Fonction “sudo” activée (si non voir ajout sudo utilisateur).  | sudo
28 Mot inconnu : sudo =>   - Fonction “sudo” activée (si non voir ajout sudo utilisateur).  | sudo
28 Espace(s) en fin de ligne à supprimer. =>   - Fonction “sudo” activée (si non voir ajout sudo utilisateur).  |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Connexion Internet configurée et activée (si non voir la section : accueil Modem RTC et ADSL).  |    => suggestions : ['']
