
5 Mot inconnu : airport => ====== Installation de l'airport express sous Ubuntu ====== | airport

7 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  | a => suggestions : ['À']
7 Mot inconnu : AirPort => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  | airport
7 Mot inconnu : iTunes => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  | itunes
7 Mot inconnu : audiothèque => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  | audiothèque
7 Mot inconnu : iTunes => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  | itunes
7 Espace(s) en fin de ligne à supprimer. => A l'origine l'AirPort Express avec iTunes vous permet d'écouter les titres de votre audiothèque iTunes stockés sur votre Mac ou sur votre PC dans votre salon ou dans toute pièce dans laquelle vous disposez d'une chaîne hi-fi ou d'un ensemble d'enceintes actives.\\  |   => suggestions : ['']

8 Mot inconnu : linux => L'idée ici est de faire fonctionner ce dispositif wifi sous linux. C'est-à-dire envoyer sa musique sur sa chaine hifi ou un ensemble d'enceinte sans que ceci soit directement relié au pc mais par le wifi. | linux
20 Accord de genre erroné avec « logiciels ». => <note important> les paquets sont disponibles sans ajouter de ppa aux sources logiciels</note> | sources => suggestions : ['sourcés']
20 Accord de genre erroné entre « sources » et « logiciels ». => <note important> les paquets sont disponibles sans ajouter de ppa aux sources logiciels</note> | logiciels => suggestions : ['logicielles']

27 Mot inconnu : PulseAudio => Autoriser PulseAudio dans votre pare-feu. | pulseaudio

30 Mot inconnu : Network => Dans le menu //Système -> Préférences -> Préférences de Pulse Audio -> Network Access//, cochez ces deux cases : | network
30 Mot inconnu : Access => Dans le menu //Système -> Préférences -> Préférences de Pulse Audio -> Network Access//, cochez ces deux cases : | access

34 Mot inconnu : AirPort => Ensuite dans les préférences de son, il vous suffit de sélectionner la sortie avec le nom de votre Box AirPort. | airport
40 Mot inconnu : FIXME => //Contributeurs: FIXME // | fixme
