
3 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>En cours de construction... <|> ... => suggestions : ['…']
12 Mot inconnu : OpenCPN =>   * **[[OpenCPN]]** : Logiciel très complet de cartographie et d'aide à la navigation. <|> opencpn
14 Mot inconnu : CapCode =>   * **[[CapCode]]** : Logiciel de cartographie présentant également de multiples fonctionnalités <|> capcode
16 Mot inconnu : Stellarium =>   * **[[Stellarium]]** : carte interactive des étoiles <|> stellarium
18 Mot inconnu : QGrid =>   * **[[QGrid]]** : Calcul de distance et d'orientation entre deux correspondants <|> qgrid
25 Mot inconnu : Zygrib =>   * **[[Zygrib]]** https://www.zygrib.org/ <|> zygrib
29 Guillemets typographiques ouvrants. =>   * **[[https://www.arachnoid.com/JWX/index.html|JavaWeatherFax]]** Logiciel JAVA de réception/conversion des facsimilés radio (appelés aussi "weather fax") à partir d'une source audio. <|> " => suggestions : ['«\xa0', '“']
29 Mot inconnu : weather =>   * **[[https://www.arachnoid.com/JWX/index.html|JavaWeatherFax]]** Logiciel JAVA de réception/conversion des facsimilés radio (appelés aussi "weather fax") à partir d'une source audio. <|> weather
29 Guillemets typographiques fermants. =>   * **[[https://www.arachnoid.com/JWX/index.html|JavaWeatherFax]]** Logiciel JAVA de réception/conversion des facsimilés radio (appelés aussi "weather fax") à partir d'une source audio. <|> " => suggestions : ['\xa0»', '”']
31 Mot inconnu : NAVTEX =>   * **[[https://www.arachnoid.com/JNX/index.html|JavaNavteX]]** Logiciel JAVA de réception/conversion des messages NAVTEX à partir d'une source audio. <|> navtex
33 Mot inconnu : Fldigi =>   * **[[Fldigi]]** Logiciel de reception/conversion de plusieurs sortes de messages radio, dont radiofacsimilés et NAVTEX, à partir d'une source audio. <|> fldigi
33 Mot inconnu : reception =>   * **[[Fldigi]]** Logiciel de reception/conversion de plusieurs sortes de messages radio, dont radiofacsimilés et NAVTEX, à partir d'une source audio. <|> reception
33 Mot inconnu : radiofacsimilés =>   * **[[Fldigi]]** Logiciel de reception/conversion de plusieurs sortes de messages radio, dont radiofacsimilés et NAVTEX, à partir d'une source audio. <|> radiofacsimilés
33 Mot inconnu : NAVTEX =>   * **[[Fldigi]]** Logiciel de reception/conversion de plusieurs sortes de messages radio, dont radiofacsimilés et NAVTEX, à partir d'une source audio. <|> navtex

38 Mot inconnu : hamradio => Voir la page consacrée à la [[hamradio|Radio amateur]]. <|> hamradio

43 Mot inconnu : NMEA => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> nmea
43 Guillemets typographiques ouvrants. => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> " => suggestions : ['«\xa0', '“']
43 Mot inconnu : dashboard => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> dashboard
43 Guillemets typographiques fermants. => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> " => suggestions : ['\xa0»', '”']
43 Mot inconnu : OpenCPN => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> opencpn
43 Mot inconnu : PolarCOM => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> polarcom
43 Mot inconnu : OSD-Depth => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> osd-depth
43 Mot inconnu : Xinutop => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> xinutop
43 Mot inconnu : oeuil => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> oeuil
43 Typographie : points de suspension. Utilisez le caractère dédié. => Vu les possibilités de traitement et d'affichage de nos ordinateurs, il est tentant de réduire l'instrumentation a de simples capteurs NMEA et d'afficher ces informations sur le "dashboard" d'OpenCPN, sur les beaux cadrans de PolarCOM ou simplement la profondeur en surimpression avec OSD-Depth. Voici une liste de capteurs compatibles ayant servi à la mise au point de Xinutop. On comprendra que les fabricants ne voient pas d'un bon oeuil une telle réduction de leurs équipements. Certains capteurs n'apparaissent pas dans leur catalogue général, il vous faudra fouiller dans celui des pièces  détachées... <|> ... => suggestions : ['…']
53 Mot inconnu : Muplex =>   * **[[Muplex]]** : Soft permettant de multiplexer différents protocoles NMEA issus de différents matériels ou logiciels http://marinux.tuxfamily.org/#MUPLEX <|> muplex
53 Mot inconnu : NMEA =>   * **[[Muplex]]** : Soft permettant de multiplexer différents protocoles NMEA issus de différents matériels ou logiciels http://marinux.tuxfamily.org/#MUPLEX <|> nmea
55 Mot inconnu : Gpsd =>   * **[[Gpsd]]** : permet de centraliser les informations issues de divers GPS ou instruments MNEA pour ensuite les diffuser sur internet http://www.catb.org/gpsd/ <|> gpsd
55 Mot inconnu : MNEA =>   * **[[Gpsd]]** : permet de centraliser les informations issues de divers GPS ou instruments MNEA pour ensuite les diffuser sur internet http://www.catb.org/gpsd/ <|> mnea

63 Mot inconnu : Speedomètres => === Speedomètres === <|> speedomètres

64 Mot inconnu : Echo-sondeurs => === Echo-sondeurs === <|> echo-sondeurs
70 Mot inconnu : RTL2832U =>   * **[[RTL2832U|Chipset Realtek RTL2832U]]** <|> rtl2832u
70 Mot inconnu : Chipset =>   * **[[RTL2832U|Chipset Realtek RTL2832U]]** <|> chipset
70 Mot inconnu : Realtek =>   * **[[RTL2832U|Chipset Realtek RTL2832U]]** <|> realtek
70 Mot inconnu : RTL2832U =>   * **[[RTL2832U|Chipset Realtek RTL2832U]]** <|> rtl2832u
72 Mot inconnu : FunCube =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€) <|> funcube
74 Mot inconnu : Universal =>   * **[[https://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$) <|> universal
74 Mot inconnu : Peripheral =>   * **[[https://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$) <|> peripheral
74 Mot inconnu : USRP =>   * **[[https://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$) <|> usrp
74 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **[[https://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$) <|> 6 ghz => suggestions : ['6\xa0GHz']

85 Mot inconnu : ubuntu-fr =>   * **(fr)** [[https://forum.ubuntu-fr.org/viewtopic.php?id=135467|Le fil de discussion sur le forum ubuntu-fr.org]] <|> ubuntu-fr
87 Mot inconnu : Marinux =>   * **(en)** [[http://marinux.tuxfamily.org/|La page web de Marinux]] <|> marinux
88 Mot inconnu : banik =>   * **(fr)** [[http://www.banik.org/pratique/Dossier%20m%C3%A9t%C3%A9o/M%C3%A9t%C3%A9o1.htm|Dossier météo sur le site banik.org]] <|> banik
89 Mot inconnu : Voilelec =>   * **(fr)** [[http://www.voilelec.com/pages/voile.php|Le site Voilelec]] <|> voilelec
