8 Mot inconnu : Xubuntu [[43:50]] => ===== Les applications sous Ubuntu/Kubuntu/Xubuntu ===== <|> xubuntu

10 Guillemets typographiques ouvrants. [[109:110]] => Vu le caractère très spécifique d'un SIG, aucune application n'est proposée par défaut dans une installation "propre" d'Ubuntu (à vérifier). <|> " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. [[116:117]] => Vu le caractère très spécifique d'un SIG, aucune application n'est proposée par défaut dans une installation "propre" d'Ubuntu (à vérifier). <|> " => suggestions : ['\xa0»', '”']

16 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => === Clients  === <|>    => suggestions : [' ']
20 Mot inconnu : Generic [[6:13]] =>   * **Generic Mapping Tools - GMT** est multiplate-forme, puissant mais à l'apprentissage délicat car fonctionnant tout en lignes de commandes. <|> generic
20 Mot inconnu : Mapping [[14:21]] =>   * **Generic Mapping Tools - GMT** est multiplate-forme, puissant mais à l'apprentissage délicat car fonctionnant tout en lignes de commandes. <|> mapping
20 Mot inconnu : Tools [[22:27]] =>   * **Generic Mapping Tools - GMT** est multiplate-forme, puissant mais à l'apprentissage délicat car fonctionnant tout en lignes de commandes. <|> tools
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[27:30]] =>   * **Generic Mapping Tools - GMT** est multiplate-forme, puissant mais à l'apprentissage délicat car fonctionnant tout en lignes de commandes. <|>  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : JUMP [[6:10]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> jump
26 Mot inconnu : Map [[86:89]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> map
26 Mot inconnu : WMS [[101:104]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> wms
26 Mot inconnu : Geography [[134:143]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> geography
26 Mot inconnu : Markup [[144:150]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> markup
26 Mot inconnu : Language [[151:159]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> language
26 Mot inconnu : GML [[163:166]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> gml
26 Mot inconnu : Geospatial [[210:220]] =>   * **JUMP** est une application //Java// permettant l'exploitation de services //Web Map Service// (WMS) ou de fichiers de données //Geography Markup Language// (GML) conformes aux recommandations de l'//Open Geospatial Consortium//. <|> geospatial
28 Mot inconnu : OrbisGIS [[6:14]] =>   * **OrbisGIS** est capable d'afficher, de manipuler et de créer des données spatiales vecteur et raster. Il est complètement fait en //Java// et, pour ça, est multiplateforme. <|> orbisgis
39 Mot inconnu : OpenLayers [[6:16]] =>   * **OpenLayers** : un client web cartographique qui permet d'intégrer des cartes glissantes dans des sites web. <|> openlayers
46 Mot inconnu : MapServer [[6:15]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> mapserver
46 Mot inconnu : Geospatial [[211:221]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> geospatial
46 Mot inconnu : Map [[240:243]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> map
46 Mot inconnu : WMS [[253:256]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> wms
46 Mot inconnu : WFS [[258:261]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> wfs
46 Mot inconnu : WCS [[263:266]] =>   * **MapServer** : logiciel de publication de carte sur Internet. Il peut être utilisé pour réaliser des applications Web, mais également pour publier des services Web conformes aux recommandations de l'//Open Geospatial Consortium// (Web Map Service (WMS, WFS, WCS). <|> wcs

48 Mot inconnu : Dev [[4:7]] => === Dev === <|> dev
49 Mot inconnu : GeoTools [[6:14]] =>   * **GeoTools** : Boite à outils développée en Java qui implémente les spécifications de l'//Open Geospatial Consortium//. <|> geotools
49 Mot inconnu : Geospatial [[99:109]] =>   * **GeoTools** : Boite à outils développée en Java qui implémente les spécifications de l'//Open Geospatial Consortium//. <|> geospatial
55 Mot inconnu : LandSerf [[6:14]] =>   * **LandSerf** : développé en Java, multiplate-forme. <|> landserf

72 Espace(s) surnuméraire(s) à supprimer. [[22:24]] => ===== Problèmes connus  ===== <|>    => suggestions : [' ']

74 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[63:65]] => L'un des formats les plus usités dans ce domaine, est le format .sid ou MrSID (MRSID) qui est un format propriétaire.\\ <|>  . => suggestions : ['. ', '.']
74 Mot inconnu : sid [[65:68]] => L'un des formats les plus usités dans ce domaine, est le format .sid ou MrSID (MRSID) qui est un format propriétaire.\\ <|> sid
74 Mot inconnu : MrSID [[72:77]] => L'un des formats les plus usités dans ce domaine, est le format .sid ou MrSID (MRSID) qui est un format propriétaire.\\ <|> mrsid
74 Mot inconnu : MRSID [[79:84]] => L'un des formats les plus usités dans ce domaine, est le format .sid ou MrSID (MRSID) qui est un format propriétaire.\\ <|> mrsid
75 Mot inconnu : SDK [[81:84]] => Il semble tout de même possible d'utiliser ce format sous linux, en utilisant le SDK de développement.\\ ..... <|> sdk
75 Typographie : points de suspension. Utilisez le caractère dédié. [[105:110]] => Il semble tout de même possible d'utiliser ce format sous linux, en utilisant le SDK de développement.\\ ..... <|> ..... => suggestions : ['…']
