13 Mot inconnu : dmaths [[6:12]] =>   * [[dmaths|Dsciences]] est une extension OpenOffice permettant d'ajouter des illustrations scientifiques. <|> dmaths
26 Mot inconnu : Gelemental [[6:16]] =>   * [[Gelemental]] : Le célèbre tableau des éléments. <|> gelemental
27 Mot inconnu : kalzium [[6:13]] =>   * [[kalzium]] : Tableau de Mendeleïev et solveur d'équations chimiques (Kde) <|> kalzium
27 Mot inconnu : Kde [[74:77]] =>   * [[kalzium]] : Tableau de Mendeleïev et solveur d'équations chimiques (Kde) <|> kde
28 Mot inconnu : gperiodic [[6:15]] =>   * [[gperiodic]] : Tableau de Mendeleïev (Gtk) <|> gperiodic
34 Mot inconnu : V_Sim [[6:11]] =>   * [[V_Sim]] : permet de représenter des structures atomiques ; <|> v_sim
35 Mot inconnu : mass_mol [[6:14]] =>   * [[mass_mol]] : permet de recueillir diverses informations à propos d'une molécule. <|> mass_mol
38 Mot inconnu : chemtool [[6:14]] =>   * [[chemtool]] <|> chemtool
39 Mot inconnu : easychem [[6:14]] =>   * [[easychem]] <|> easychem
40 Mot inconnu : bkchem [[6:12]] =>   * [[bkchem]] <|> bkchem
41 Mot inconnu : gchempaint [[6:16]] =>   * [[gchempaint]] <|> gchempaint

44 Mot inconnu : flêche [[41:47]] => Sous LibreOffice, pour obtenir la double flêche d'une réaction réversible : Shift-Control-U + 21CC  <|> flêche
44 Mot inconnu : Shift-Control-U [[76:91]] => Sous LibreOffice, pour obtenir la double flêche d'une réaction réversible : Shift-Control-U + 21CC  <|> shift-control-u
44 Espace(s) en fin de ligne à supprimer. [[98:99]] => Sous LibreOffice, pour obtenir la double flêche d'une réaction réversible : Shift-Control-U + 21CC  <|>   => suggestions : ['']

45 Mot inconnu : DejaVuSans [[37:47]] => Il s'agit d'un caractère de la fonte DejaVuSans <|> dejavusans
48 Mot inconnu : Sim4 [[6:10]] =>   * [[Sim4]] : alignement du code génétique et mutation <|> sim4
49 Mot inconnu : Biofox [[6:12]] =>   * [[Biofox]] : exploitation du code génétique <|> biofox
51 Mot inconnu : Chemistry [[12:21]] =>   * [[Gnome Chemistry Utils]] : boîte à outils complète, permettant de visualiser et d'analyser des molécules (dessin, calcul, vue 3D et tableau périodique). <|> chemistry
51 Mot inconnu : Utils [[22:27]] =>   * [[Gnome Chemistry Utils]] : boîte à outils complète, permettant de visualiser et d'analyser des molécules (dessin, calcul, vue 3D et tableau périodique). <|> utils
52 Mot inconnu : Rasmol [[6:12]] =>   * [[Rasmol]] : permet de visionner des molécules en 3D (comme l'ARN ou l'ADN). <|> rasmol
53 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[97:99]] =>   * [[Avogadro]] : Visualiseur et éditeur de molécules en 3D, accepte de nombreux format, tels le .pdb. <|>  . => suggestions : ['. ', '.']
53 Mot inconnu : pdb [[99:102]] =>   * [[Avogadro]] : Visualiseur et éditeur de molécules en 3D, accepte de nombreux format, tels le .pdb. <|> pdb
54 Mot inconnu : Wine [[230:234]] =>   * [[http://acces.ens-lyon.fr/acces/logiciels/applications/geniegen|Geniegen]] : Logiciel d'étude de séquence d'ADN, ARN, Protéine avec transcription/traduction, très utilisé en lycée, conçu pour Windows(c) et fonctionnel sous [[Wine]]. <|> wine
55 Mot inconnu : Wine [[231:235]] =>   * [[http://acces.ens-lyon.fr/acces/logiciels/applications/mesurim|Mesurim]] : Logiciel de mesures scientifiques très complet, pilote les caméras, très utilisé en lycée, conçu pour Windows(c), gratuit et libre, fonctionnel sous [[Wine]]. <|> wine
