
4 Mot inconnu : Asterisk => ====== Asterisk (For VoIP) ====== | asterisk
4 Mot inconnu : VoIP => ====== Asterisk (For VoIP) ====== | voip

10 Mot inconnu : Asterisk => Asterisk permet de transformer un ordinateur en commutateur téléphonique performant. Il se présente sous la forme d'un logiciel libre édité par la société américaine Digium. | asterisk
10 Mot inconnu : Digium => Asterisk permet de transformer un ordinateur en commutateur téléphonique performant. Il se présente sous la forme d'un logiciel libre édité par la société américaine Digium. | digium

11 Mot inconnu : Asterisk => La configuration d'un serveur Asterisk n'est pas relativement aisée, surtout pour les néophytes, c'est pour cette raison que certaines sociétés dont Digium éditent maintenant des distributions entièrement consacrées à Asterisk parmi lesquelles on peut citer : | asterisk
11 Mot inconnu : Digium => La configuration d'un serveur Asterisk n'est pas relativement aisée, surtout pour les néophytes, c'est pour cette raison que certaines sociétés dont Digium éditent maintenant des distributions entièrement consacrées à Asterisk parmi lesquelles on peut citer : | digium
11 Mot inconnu : Asterisk => La configuration d'un serveur Asterisk n'est pas relativement aisée, surtout pour les néophytes, c'est pour cette raison que certaines sociétés dont Digium éditent maintenant des distributions entièrement consacrées à Asterisk parmi lesquelles on peut citer : | asterisk

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Asterisk Now (édité par Digium) |    => suggestions : ['']
12 Mot inconnu : Asterisk =>   * Asterisk Now (édité par Digium) | asterisk
12 Mot inconnu : Now =>   * Asterisk Now (édité par Digium) | now
12 Mot inconnu : Digium =>   * Asterisk Now (édité par Digium) | digium

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trixbox (anciennement Asterisk@home) |    => suggestions : ['']
13 Mot inconnu : Trixbox =>   * Trixbox (anciennement Asterisk@home) | trixbox
13 Mot inconnu : Asterisk =>   * Trixbox (anciennement Asterisk@home) | asterisk

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Xivo (édité par Avencall, société française et basée sur Debian) |    => suggestions : ['']
14 Mot inconnu : Xivo =>   * Xivo (édité par Avencall, société française et basée sur Debian) | xivo
14 Mot inconnu : Avencall =>   * Xivo (édité par Avencall, société française et basée sur Debian) | avencall
19 Espace(s) en fin de ligne à supprimer. => Tout d'abord, veillez à avoir une distribution à jour :  |   => suggestions : ['']

21 Mot inconnu : sudo => sudo apt upgrade </code> | sudo

26 Mot inconnu : Asterisk => On télécharge la dernière version d’Asterisk et on l’installe :  | asterisk
26 Espace(s) en fin de ligne à supprimer. => On télécharge la dernière version d’Asterisk et on l’installe :  |   => suggestions : ['']

28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => 1 - Auparavant vérifier la version à utiliser et modifiez les trois lignes (3, 4, 5) en fonction de la version d'Asterisk |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : Asterisk => 1 - Auparavant vérifier la version à utiliser et modifiez les trois lignes (3, 4, 5) en fonction de la version d'Asterisk | asterisk

