
3 Mot inconnu : ATIV [[25:29]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|> ativ
3 Mot inconnu : book9 [[30:35]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|> book9
3 Espace(s) surnuméraire(s) à supprimer. [[40:42]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|>    => suggestions :  
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[41:44]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|>  -  => suggestions :  –  —  − 
3 Mot inconnu : NP905S3G [[45:53]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|> np905s3g

17 Espace(s) surnuméraire(s) à supprimer. [[43:45]] => ===== Contexte et spécificités de ce modèle  ===== <|>    => suggestions :  
20 Espace(s) en fin de ligne à supprimer. [[112:113]] => <note> Ce PC est livré avec Windows 8 pré-installé en version 64 bits avec UEFI (qui remplace le BIOS classique)  <|>  
22 Mot inconnu : Windows8 [[43:51]] => L'installation classique en dual boot avec Windows8 ne fonctionne pas simplement parce qu'il faut une partition racine "/" pour installer Ubuntu alors que le Windows8 pré-installé prend toute la place du disque SSD.\\ <|> windows8
22 Mot inconnu : Windows8 [[158:166]] => L'installation classique en dual boot avec Windows8 ne fonctionne pas simplement parce qu'il faut une partition racine "/" pour installer Ubuntu alors que le Windows8 pré-installé prend toute la place du disque SSD.\\ <|> windows8

23 Accord de genre erroné : « la partition » est féminin, « utilisateur » est masculin. [[47:58]] => Il est donc nécessaire de réduire la partition utilisateur "C:" sous Windows8 de manière à faire de la place pour installer Ubuntu ou alors d'écraser Windows (ce qui permet de repartitioner comme on le souhaite et sans contraintes). \\ <|> utilisateur => suggestions : utilisatrice
23 Guillemets typographiques ouvrants. [[59:60]] => Il est donc nécessaire de réduire la partition utilisateur "C:" sous Windows8 de manière à faire de la place pour installer Ubuntu ou alors d'écraser Windows (ce qui permet de repartitioner comme on le souhaite et sans contraintes). \\ <|> " => suggestions : « “
23 Mot inconnu : Windows8 [[69:77]] => Il est donc nécessaire de réduire la partition utilisateur "C:" sous Windows8 de manière à faire de la place pour installer Ubuntu ou alors d'écraser Windows (ce qui permet de repartitioner comme on le souhaite et sans contraintes). \\ <|> windows8
23 Mot inconnu : repartitioner [[176:189]] => Il est donc nécessaire de réduire la partition utilisateur "C:" sous Windows8 de manière à faire de la place pour installer Ubuntu ou alors d'écraser Windows (ce qui permet de repartitioner comme on le souhaite et sans contraintes). \\ <|> repartitioner

27 Guillemets typographiques ouvrants. [[20:21]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions : « “
27 Guillemets typographiques fermants. [[44:45]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions :  »”
27 Guillemets typographiques ouvrants. [[47:48]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions : « “
27 Guillemets typographiques fermants. [[56:57]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions :  »”
27 Guillemets typographiques ouvrants. [[59:60]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions : « “
27 Guillemets typographiques fermants. [[79:80]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions :  »”
27 Guillemets typographiques ouvrants. [[95:96]] => (touche Windows+Q), "gestion de l'ordinateur", "stockage", "gestion des disques", sélectionner "C:", réduire le volume par un clic droit, on peut alors la réduire de moitié.\\ <|> " => suggestions : « “

28 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[38:43]] => Cette opération ne détruit pas Windows mais elle est inutile si vous souhaitez installer Ubuntu sans garder Windows (voir procédure d'installation simplifiée ci-dessous) <|>  mais => suggestions : , mais

30 Guillemets typographiques ouvrants. [[91:92]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> " => suggestions : « “
30 Guillemets typographiques fermants. [[97:98]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> " => suggestions :  »”
30 Mot inconnu : Windows8 [[147:155]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> windows8
30 Guillemets typographiques ouvrants. [[176:177]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> " => suggestions : « “
30 Mot inconnu : F4 [[177:179]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> f4
30 Guillemets typographiques fermants. [[179:180]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> " => suggestions :  »”
30 Mot inconnu : Windows8 [[204:212]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> windows8
30 Mot inconnu : repartitionez [[244:257]] => Noter que en cas de problème pour relancer Windows ou remettre le PC dans son état initial "usine", Samsung a créée une partition de sauvegarde de Windows8. Il suffit de faire "F4" au boot pour restaurer Windows8 dans son état initial. Si vous repartitionez complètement le disque vous perdrez cette partition. Il est donc prudent de la sauvegarder\\ <|> repartitionez

32 Guillemets typographiques ouvrants. [[85:86]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> " => suggestions : « “
32 Guillemets typographiques fermants. [[90:91]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> " => suggestions :  »”
32 Mot inconnu : sda1 [[161:165]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> sda1
32 Mot inconnu : sda2 [[167:171]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> sda2
32 Mot inconnu : sda3 [[173:177]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> sda3
32 Mot inconnu : sda5 [[179:183]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> sda5
32 Mot inconnu : sda6 [[187:191]] => Il est inutile de copier la partition /dev/sda4 car elle ne contient que les données "user" donc vide lors de l'achat du PC. J'ai donc sauvegardé les partitions sda1, sda2, sda3, sda5 et sda6.\\ <|> sda6

37 Accord de genre erroné : « la configuration » est féminin, « détaillé » est masculin. [[23:31]] => Voici la configuration détaillé du PC sous Linux: <|> détaillé => suggestions : détaillée
67 Mot inconnu : controller [[25:35]] => **00:01.0 VGA compatible controller: Advanced Micro Devices, Inc. [AMD/ATI] Temash [Radeon HD 8250/8280G]** \\ <|> controller
67 Mot inconnu : Advanced [[37:45]] => **00:01.0 VGA compatible controller: Advanced Micro Devices, Inc. [AMD/ATI] Temash [Radeon HD 8250/8280G]** \\ <|> advanced
67 Mot inconnu : Devices [[52:59]] => **00:01.0 VGA compatible controller: Advanced Micro Devices, Inc. [AMD/ATI] Temash [Radeon HD 8250/8280G]** \\ <|> devices
67 Mot inconnu : Inc [[61:64]] => **00:01.0 VGA compatible controller: Advanced Micro Devices, Inc. [AMD/ATI] Temash [Radeon HD 8250/8280G]** \\ <|> inc
67 Mot inconnu : Temash [[76:82]] => **00:01.0 VGA compatible controller: Advanced Micro Devices, Inc. [AMD/ATI] Temash [Radeon HD 8250/8280G]** \\ <|> temash
69 Mot inconnu : suportée [[43:51]] => <note> Cette carte AMD Radeon HD 8250 sera suportée par le pilote libre ATI installé automatiquement par Ubuntu et assurera un fonctionnement correct mais non optimal. <|> suportée
75 Mot inconnu : wheezy [[56:62]] => <note important> J'ai essayé en vain d'installer debian wheezy, ubuntu 12.04,13.* remix .. à coté de windows8  <|> wheezy
75 Typographie : un ou trois points ? [[88:90]] => <note important> J'ai essayé en vain d'installer debian wheezy, ubuntu 12.04,13.* remix .. à coté de windows8  <|> .. => suggestions : .…
75 Confusion : “coté” est le participe passé du verbe “coter”. [[93:97]] => <note important> J'ai essayé en vain d'installer debian wheezy, ubuntu 12.04,13.* remix .. à coté de windows8  <|> coté => suggestions : côtécôtés
75 Mot inconnu : windows8 [[101:109]] => <note important> J'ai essayé en vain d'installer debian wheezy, ubuntu 12.04,13.* remix .. à coté de windows8  <|> windows8
75 Espace(s) en fin de ligne à supprimer. [[109:110]] => <note important> J'ai essayé en vain d'installer debian wheezy, ubuntu 12.04,13.* remix .. à coté de windows8  <|>  

76 Guillemets typographiques ouvrants. [[21:22]] => Seule l'installation "à la place fonctionne".</note> <|> " => suggestions : « “
76 Guillemets typographiques fermants. [[43:44]] => Seule l'installation "à la place fonctionne".</note> <|> " => suggestions :  »”
79 Guillemets typographiques ouvrants. [[92:93]] => Vous installerez une version 64 bits. Chaque version porte un nom; par exemple la 13.10 est "Saucy Salamander" </note> <|> " => suggestions : « “
79 Mot inconnu : Saucy [[93:98]] => Vous installerez une version 64 bits. Chaque version porte un nom; par exemple la 13.10 est "Saucy Salamander" </note> <|> saucy
79 Mot inconnu : Salamander [[99:109]] => Vous installerez une version 64 bits. Chaque version porte un nom; par exemple la 13.10 est "Saucy Salamander" </note> <|> salamander
79 Guillemets typographiques fermants. [[109:110]] => Vous installerez une version 64 bits. Chaque version porte un nom; par exemple la 13.10 est "Saucy Salamander" </note> <|> " => suggestions :  »”

81 Mot inconnu : set-up [[17:23]] => ==== Modifier le set-up du PC ==== <|> set-up
83 Mot inconnu : Windows8 [[33:41]] => Le but est de désactiver le boot Windows8 automatique <|> windows8

84 Mot inconnu : Eteindre [[0:8]] => Eteindre complètement le PC \\ <|> eteindre

85 Mot inconnu : appuytant [[15:24]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> appuytant
85 Guillemets typographiques ouvrants. [[39:40]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> " => suggestions : « “
85 Typographie des composés chimiques. [[40:42]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> f2 => suggestions : F₂
85 Mot inconnu : F2 [[40:42]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> f2
85 Guillemets typographiques fermants. [[42:43]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> " => suggestions :  »”
85 Accord de nombre erroné : « reprise » devrait être au pluriel. [[56:63]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> reprise => suggestions : reprises
85 Mot inconnu : set-up [[93:99]] => Le rallumer en appuytant sur la touche "F2" à plusieurs reprise afin de rentrer dans le menu set-up du PC \\ <|> set-up

