
2 Mot inconnu : QRcode => ====== QRcode/Code_QR  ====== | qrcode
2 Mot inconnu : Code_QR => ====== QRcode/Code_QR  ====== | code_qr
2 Espace(s) surnuméraire(s) à supprimer. => ====== QRcode/Code_QR  ====== |    => suggestions : [' ']

3 Mot inconnu : QR => Le code QR est un type de code-barres en deux dimensions (ou code matriciel datamatrix) constitué de modules noirs disposés dans un carré à fond blanc. | qr
3 Mot inconnu : datamatrix => Le code QR est un type de code-barres en deux dimensions (ou code matriciel datamatrix) constitué de modules noirs disposés dans un carré à fond blanc. | datamatrix

4 Mot inconnu : QR => QR (abréviation de Quick Response) signifie que le contenu du code peut être décodé rapidement après avoir été lu par un lecteur de code-barres, un téléphone mobile, un smartphone, ou encore une webcam. Son avantage est de pouvoir stocker plus d'informations qu'un code à barres, et surtout des données directement reconnues par des applications, permettant ainsi de déclencher facilement des actions comme : | qr
4 Mot inconnu : Quick => QR (abréviation de Quick Response) signifie que le contenu du code peut être décodé rapidement après avoir été lu par un lecteur de code-barres, un téléphone mobile, un smartphone, ou encore une webcam. Son avantage est de pouvoir stocker plus d'informations qu'un code à barres, et surtout des données directement reconnues par des applications, permettant ainsi de déclencher facilement des actions comme : | quick
4 Mot inconnu : Response => QR (abréviation de Quick Response) signifie que le contenu du code peut être décodé rapidement après avoir été lu par un lecteur de code-barres, un téléphone mobile, un smartphone, ou encore une webcam. Son avantage est de pouvoir stocker plus d'informations qu'un code à barres, et surtout des données directement reconnues par des applications, permettant ainsi de déclencher facilement des actions comme : | response

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
22 Mot inconnu : Qreator => ==== Les outils graphiques : Qreator et QtQR ==== | qreator
22 Mot inconnu : QtQR => ==== Les outils graphiques : Qreator et QtQR ==== | qtqr
24 Mot inconnu : qrencode => ==== Les outils en lignes de commandes : qrencode et zbar-tools ==== | qrencode
24 Mot inconnu : zbar-tools => ==== Les outils en lignes de commandes : qrencode et zbar-tools ==== | zbar-tools

30 Mot inconnu : qrencode => ==== Exemples d'utilisation de qrencode ==== | qrencode

31 Mot inconnu : QRcode => Pour créer un QRcode pour partager un réseau wifi personnel, taper la commande suivante dans un terminal : | qrcode

33 Mot inconnu : QRcode => Pour créer un QRcode pour partager un réseau wifi personnel dont le SSID est masqué, taper la commande suivante dans un terminal : | qrcode
33 Mot inconnu : SSID => Pour créer un QRcode pour partager un réseau wifi personnel dont le SSID est masqué, taper la commande suivante dans un terminal : | ssid

35 Mot inconnu : password => Une autre méthode pour se connecter a un réseau wifi masqué est de partager uniquement le password de ce dernier et de s'y connecter manuellement en récupérant le password dans le clipboard d'Android via le QRcode scanné qui est généré de la manière suivante : | password
35 Mot inconnu : password => Une autre méthode pour se connecter a un réseau wifi masqué est de partager uniquement le password de ce dernier et de s'y connecter manuellement en récupérant le password dans le clipboard d'Android via le QRcode scanné qui est généré de la manière suivante : | password
35 Mot inconnu : clipboard => Une autre méthode pour se connecter a un réseau wifi masqué est de partager uniquement le password de ce dernier et de s'y connecter manuellement en récupérant le password dans le clipboard d'Android via le QRcode scanné qui est généré de la manière suivante : | clipboard
35 Mot inconnu : QRcode => Une autre méthode pour se connecter a un réseau wifi masqué est de partager uniquement le password de ce dernier et de s'y connecter manuellement en récupérant le password dans le clipboard d'Android via le QRcode scanné qui est généré de la manière suivante : | qrcode

46 Mot inconnu : zbar-tools => ==== Exemple d'utilisation des zbar-tools : zbarimg et zbarcam ==== | zbar-tools
46 Mot inconnu : zbarimg => ==== Exemple d'utilisation des zbar-tools : zbarimg et zbarcam ==== | zbarimg
46 Mot inconnu : zbarcam => ==== Exemple d'utilisation des zbar-tools : zbarimg et zbarcam ==== | zbarcam

47 Mot inconnu : zbarimg => zbarimg décode les images de QRcode, exemple : | zbarimg
47 Mot inconnu : QRcode => zbarimg décode les images de QRcode, exemple : | qrcode
