2 Mot inconnu : hamradio => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : rtl-sdr => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : navigation_maritime => {{tag>hamradio radio rtl-sdr navigation_maritime}}

5 Mot inconnu : HamRadio => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
5 Il manque un espace insécable. => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
5 Accord de genre erroné : « RadioAmateur » est masculin. => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
5 Accord de genre erroné : « la » est un déterminant féminin. => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
5 Mot inconnu : RadioAmateur => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
5 Espace(s) surnuméraire(s) à supprimer. => ====== HamRadio : la RadioAmateur sur Ubuntu  ======

12 Il manque un espace insécable. => Les radioamateurs utilisent différents **modes de transmission** pour communiquer :

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les communications en **téléphonie** (transmission de la voix) sont les plus courantes. Elles peuvent être réalisées, par exemple, en modulation de fréquence (**FM**) pour une bonne qualité de son ou encore en bande latérale unique (**BLU**) qui permet une bonne efficacité avec une qualité du son et une bande passante réduites.
13 Mot inconnu : BLU =>   * Les communications en **téléphonie** (transmission de la voix) sont les plus courantes. Elles peuvent être réalisées, par exemple, en modulation de fréquence (**FM**) pour une bonne qualité de son ou encore en bande latérale unique (**BLU**) qui permet une bonne efficacité avec une qualité du son et une bande passante réduites.

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La radiotélégraphie (CW, abréviation de Continuous Wave) qui utilise le **code Morse** est une activité qui date des tout premiers temps de la radio et marque le début de la **[[hamradio#communications_numériques|communication numérique]]**. L'apparition des ordinateurs personnels a permis de développer de nombreux modes de transmission numériques en les rendant accessibles aux radioamateurs.
