10 Mot inconnu : YouTuber => Il existe des logiciels pour **tous les niveaux d'utilisation**, du parfait débutant au producteur de cinéma, en passant par le //YouTuber// : personne n'est délaissé.
10 Il manque un espace insécable. => Il existe des logiciels pour **tous les niveaux d'utilisation**, du parfait débutant au producteur de cinéma, en passant par le //YouTuber// : personne n'est délaissé.

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:PiTiVi]] : logiciel GNOME de montage vidéo simple et accessible à tous.
14 Mot inconnu : PiTiVi =>   * [[:PiTiVi]] : logiciel GNOME de montage vidéo simple et accessible à tous.
14 Il manque un espace insécable. =>   * [[:PiTiVi]] : logiciel GNOME de montage vidéo simple et accessible à tous.

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : openshot =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : OpenShot =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : Video =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : Editor =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Il manque un espace insécable. =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : Movie =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : Maker =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].
15 Mot inconnu : Imovie =>   * [[:openshot|OpenShot Video Editor]] : logiciel de montage vidéo non-linéaire simple à prendre en main comparable en plus ouvert à Windows Movie Maker(c) ou Imovie(c). Il est intégré à [[:Ubuntu Studio]].

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:Avidemux]] : éditeur vidéo simple, semblable à //VirtualDub//.
16 Mot inconnu : Avidemux =>   * [[:Avidemux]] : éditeur vidéo simple, semblable à //VirtualDub//.
16 Il manque un espace insécable. =>   * [[:Avidemux]] : éditeur vidéo simple, semblable à //VirtualDub//.
16 Mot inconnu : VirtualDub =>   * [[:Avidemux]] : éditeur vidéo simple, semblable à //VirtualDub//.

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:KDEnLive]] : éditeur de vidéos multi-pistes intuitif et puissant, qui inclut les technologies de vidéo les plus récentes.
20 Mot inconnu : KDEnLive =>   * [[:KDEnLive]] : éditeur de vidéos multi-pistes intuitif et puissant, qui inclut les technologies de vidéo les plus récentes.
