2 Mot inconnu : tablette_graphique => {{tag>matériel tablette_graphique}}

10 Il manque un espace insécable. => Les notations suivantes sont utilisées :

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icons =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Il manque un espace. =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icon-ubuntu =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : modeles =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : laptop_work =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace insécable. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Mot inconnu : icons =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace insécable. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

15 Mot inconnu : Huion => =====Huion=====

18 Mot inconnu : wizardpen => ===== Tablettes prises en charge par le pilote wizardpen =====

21 Mot inconnu : Acecad => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
21 Il manque un espace. => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
21 Mot inconnu : modeles => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
21 Mot inconnu : laptop_work => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

22 Mot inconnu : DigiPro => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Guillemets ouvrants introuvables dans ce paragraphe. => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Mot inconnu : Graphics => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Mot inconnu : Tablet => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Il manque un espace. => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Mot inconnu : modeles => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
22 Mot inconnu : laptop_work => | DigiPro 5.5×4” Graphics Tablet | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

23 Mot inconnu : Ink => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
23 Mot inconnu : Pad => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
23 Mot inconnu : A4 => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
23 Il manque un espace. => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
23 Mot inconnu : modeles => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
23 Mot inconnu : laptop_work => | Digital Ink Pad (A4 format) | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

