5 Mot inconnu : Ricoh => ====== Liste des imprimantes Ricoh supportées ======

6 Espace(s) en fin de ligne à supprimer. => Cette page donne la liste des imprimantes prises en charge par Ubuntu ou nécessitant l'ajout d'un pilote extérieur. 

10 Mot inconnu : icons => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Il manque un espace. => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Mot inconnu : icon-ubuntu => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Mot inconnu : png => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |

11 Il manque un espace. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : modeles => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : laptop_work => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : png => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Il manque un espace insécable. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Il manque un espace. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : nolink => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |

12 Mot inconnu : icons => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Mot inconnu : png => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace insécable. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |

16 Mot inconnu : Aficio => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
16 Mot inconnu : icons => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
16 Il manque un espace. => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
16 Mot inconnu : icon-ubuntu => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
16 Mot inconnu : png => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

17 Mot inconnu : Aficio => | Aficio 410 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
17 Mot inconnu : icons => | Aficio 410 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
17 Il manque un espace. => | Aficio 410 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
17 Mot inconnu : icon-ubuntu => | Aficio 410 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
17 Mot inconnu : png => | Aficio 410 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

18 Mot inconnu : Aficio => | Aficio 700 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
18 Mot inconnu : icons => | Aficio 700 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
18 Il manque un espace. => | Aficio 700 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
18 Mot inconnu : icon-ubuntu => | Aficio 700 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
18 Mot inconnu : png => | Aficio 700 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

19 Mot inconnu : Aficio => | Aficio 1022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
19 Mot inconnu : icons => | Aficio 1022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
19 Il manque un espace. => | Aficio 1022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
19 Mot inconnu : icon-ubuntu => | Aficio 1022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
19 Mot inconnu : png => | Aficio 1022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

20 Mot inconnu : Aficio => | Aficio 1027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
20 Mot inconnu : icons => | Aficio 1027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
20 Il manque un espace. => | Aficio 1027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
20 Mot inconnu : icon-ubuntu => | Aficio 1027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
20 Mot inconnu : png => | Aficio 1027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

21 Mot inconnu : Aficio => | Aficio 1032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
21 Mot inconnu : icons => | Aficio 1032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
21 Il manque un espace. => | Aficio 1032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
21 Mot inconnu : icon-ubuntu => | Aficio 1032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
21 Mot inconnu : png => | Aficio 1032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

22 Mot inconnu : Aficio => | Aficio 1035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
22 Mot inconnu : icons => | Aficio 1035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
22 Il manque un espace. => | Aficio 1035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
22 Mot inconnu : icon-ubuntu => | Aficio 1035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
22 Mot inconnu : png => | Aficio 1035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

23 Mot inconnu : Aficio => | Aficio 1045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
23 Mot inconnu : icons => | Aficio 1045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
23 Il manque un espace. => | Aficio 1045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
23 Mot inconnu : icon-ubuntu => | Aficio 1045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
23 Mot inconnu : png => | Aficio 1045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

24 Mot inconnu : Aficio => | Aficio 1060 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
24 Mot inconnu : icons => | Aficio 1060 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
24 Il manque un espace. => | Aficio 1060 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
24 Mot inconnu : icon-ubuntu => | Aficio 1060 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
24 Mot inconnu : png => | Aficio 1060 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

25 Mot inconnu : Aficio => | Aficio 1075 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
25 Mot inconnu : icons => | Aficio 1075 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
25 Il manque un espace. => | Aficio 1075 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
25 Mot inconnu : icon-ubuntu => | Aficio 1075 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
25 Mot inconnu : png => | Aficio 1075 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

26 Mot inconnu : Aficio => | Aficio 1224C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
26 Mot inconnu : icons => | Aficio 1224C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
26 Il manque un espace. => | Aficio 1224C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
26 Mot inconnu : icon-ubuntu => | Aficio 1224C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
26 Mot inconnu : png => | Aficio 1224C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

27 Mot inconnu : Aficio => | Aficio 1232C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
27 Mot inconnu : icons => | Aficio 1232C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
27 Il manque un espace. => | Aficio 1232C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
27 Mot inconnu : icon-ubuntu => | Aficio 1232C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
27 Mot inconnu : png => | Aficio 1232C | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

28 Mot inconnu : Aficio => | Aficio 1515 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
28 Mot inconnu : icons => | Aficio 1515 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
28 Il manque un espace. => | Aficio 1515 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
28 Mot inconnu : icon-ubuntu => | Aficio 1515 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
28 Mot inconnu : png => | Aficio 1515 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

29 Mot inconnu : Aficio => | Aficio 2015 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
29 Mot inconnu : icons => | Aficio 2015 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
29 Il manque un espace. => | Aficio 2015 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
29 Mot inconnu : icon-ubuntu => | Aficio 2015 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
29 Mot inconnu : png => | Aficio 2015 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

30 Mot inconnu : Aficio => | Aficio 2016 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
30 Mot inconnu : icons => | Aficio 2016 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
30 Il manque un espace. => | Aficio 2016 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
30 Mot inconnu : icon-ubuntu => | Aficio 2016 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
30 Mot inconnu : png => | Aficio 2016 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

31 Mot inconnu : Aficio => | Aficio 2018 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
31 Mot inconnu : icons => | Aficio 2018 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
31 Il manque un espace. => | Aficio 2018 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
31 Mot inconnu : icon-ubuntu => | Aficio 2018 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
31 Mot inconnu : png => | Aficio 2018 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

32 Mot inconnu : Aficio => | Aficio 2018D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
32 Mot inconnu : icons => | Aficio 2018D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
32 Il manque un espace. => | Aficio 2018D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
32 Mot inconnu : icon-ubuntu => | Aficio 2018D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
32 Mot inconnu : png => | Aficio 2018D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

33 Mot inconnu : Aficio => | Aficio 2020 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
33 Mot inconnu : icons => | Aficio 2020 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
33 Il manque un espace. => | Aficio 2020 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
33 Mot inconnu : icon-ubuntu => | Aficio 2020 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
