2 Mot inconnu : acer => {{tag>matériel portable acer}}

6 Il manque un espace insécable. => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>
6 Mot inconnu : liste_portables_acer => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>

8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Mot inconnu : xxx => ====== Liste des portables « Acer » Aspire 1xxx ======

10 Mot inconnu : xxx => Voici tous les micro-ordinateurs portables Acer Aspire 1xxx ayant été testés sous Ubuntu, classés par ordre alphabétique.

14 Mot inconnu : liste_portables_acer => [[liste_portables_acer#legende|Légende des icônes]]

16 Mot inconnu : liste_portables_acer => ^ Modèles ^ 64b ^ État ^ [[liste_portables_acer#legende|Versions]] ^ Commentaires ^

17 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : icons => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Il manque un espace. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : icon-ubuntu => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : png => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Il manque un espace insécable. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Il manque un espace. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : nolink20 => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : Savage => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : Dapper => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
17 Mot inconnu : ok => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |

18 Mot inconnu : LC => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Mot inconnu : icons => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Il manque un espace. => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Mot inconnu : icon-ubuntu => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Mot inconnu : png => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Il manque un espace insécable. => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Il manque un espace. => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Mot inconnu : nolink20 => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1307 LC  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | - |

19 Mot inconnu : LC => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Mot inconnu : icons => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Il manque un espace. => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Mot inconnu : icon-ubuntu => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Mot inconnu : png => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Il manque un espace insécable. => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Il manque un espace. => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Mot inconnu : nolink20 => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Mot inconnu : sensors-detect => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 
19 Espace(s) en fin de ligne à supprimer. => |  Aspire 1314 LC  | -  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Problème de détection des capteurs avec //sensors-detect//. | 

