2 Mot inconnu : Trusty => {{tag>Trusty netbook asus_eee_pc}}
2 Mot inconnu : netbook => {{tag>Trusty netbook asus_eee_pc}}
2 Mot inconnu : asus_eee_pc => {{tag>Trusty netbook asus_eee_pc}}

6 Mot inconnu : Eee => ======  Asus Eee PC 1011PX ======

11 Il manque un espace insécable. => Il utilise les notations suivantes :

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:important.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**
12 Mot inconnu : icons =>   * {{icons:important.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**
12 Il manque un espace. =>   * {{icons:important.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**
12 Mot inconnu : png =>   * {{icons:important.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**
12 Il manque un espace insécable. =>   * {{icons:important.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**
13 Mot inconnu : icons =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**
13 Il manque un espace. =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**
13 Mot inconnu : icon-ubuntu =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**
13 Mot inconnu : png =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**
13 Il manque un espace insécable. =>   * {{icons:icon-ubuntu.png|Fonctionne immédiatement}} : **Fonctionne immédiatement**

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**
14 Mot inconnu : icons =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**
14 Il manque un espace. =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**
14 Mot inconnu : icon-support =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**
14 Mot inconnu : png =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**
14 Il manque un espace insécable. =>   * {{icons:icon-support.png|Pas testé}} : **Pas d'informations disponibles**

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**
15 Mot inconnu : icons =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**
15 Il manque un espace. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**
15 Mot inconnu : png =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**
15 Il manque un espace insécable. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**

17 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^

18 Mot inconnu : lucid => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Mot inconnu : LTS => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Mot inconnu : Lucid => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | [[:lucid |10.04 LTS (Lucid Lynx)]]  | - | - | - | - | - | - | - | - | - |

19 Mot inconnu : Oneiric => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : Oneiric => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : icons => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Il manque un espace. => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : icon-ubuntu => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : png => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : icons => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Il manque un espace. => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : icon-ubuntu => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : png => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Mot inconnu : icons => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
19 Il manque un espace. => | [[:Oneiric |11.10 (Oneiric Ocelot)]]  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  |{{icons:icon-ubuntu.png|Fonctionne immédiatement}}|{{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-support.png|Pas testé}}  | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}} | {{icons:icon-ubuntu.png|Fonctionne immédiatement}}  | - |
