4 Mot inconnu : KDE => ==== Sous KDE ====

6 Mot inconnu : filelight => [[filelight|Filelight]] s'intègre parfaitement à Dolphin.
6 Mot inconnu : Filelight => [[filelight|Filelight]] s'intègre parfaitement à Dolphin.
6 Mot inconnu : Dolphin => [[filelight|Filelight]] s'intègre parfaitement à Dolphin.

11 Il manque un espace insécable. => L'analyseur d’utilisation des disques [[baobab|Analyseur d’utilisation des disques : Baobab]] fait partie des //GNOME Desktop Utilities// et est installé par défaut sous Ubuntu.
11 Mot inconnu : Desktop => L'analyseur d’utilisation des disques [[baobab|Analyseur d’utilisation des disques : Baobab]] fait partie des //GNOME Desktop Utilities// et est installé par défaut sous Ubuntu.
11 Mot inconnu : Utilities => L'analyseur d’utilisation des disques [[baobab|Analyseur d’utilisation des disques : Baobab]] fait partie des //GNOME Desktop Utilities// et est installé par défaut sous Ubuntu.

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

13 Il manque un espace. => Pour l'installer sous un autre environnement de bureau, [[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>baobab]]**.
13 Mot inconnu : comment_installer_un_paquet => Pour l'installer sous un autre environnement de bureau, [[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>baobab]]**.
13 Mot inconnu : apt => Pour l'installer sous un autre environnement de bureau, [[:tutoriel:comment_installer_un_paquet#paquet_present_dans_les_depots|installer le paquet]] **[[apt>baobab]]**.
