2 Mot inconnu : tnt => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : carte_tv => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : realtek => {{tag>tnt carte_tv realtek}}

5 Mot inconnu : Chipset => ====== Chipset : Realtek RTL2832U ======
5 Il manque un espace insécable. => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : Realtek => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : RTL2832U => ====== Chipset : Realtek RTL2832U ======

7 Mot inconnu : Antti => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : Palosaari => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : SDR => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : navigation_maritime => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : rtl-sdr => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>

11 Mot inconnu : DVB-T => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Mot inconnu : RTL2832U => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Il manque un espace insécable. => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :

14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Mot inconnu : Product => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^

15 Mot inconnu : Realtek => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Mot inconnu : Semiconductor => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Mot inconnu : Corp => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Mot inconnu : BDA => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Il manque un espace. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Espace(s) surnuméraire(s) à supprimer. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Formatage des grands nombres. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
15 Espace(s) surnuméraire(s) à supprimer. => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |

16 Une de ces ponctuations est superflue. => | :::                          | :::                          |Generic RTL2832U  |   |
16 Espace(s) surnuméraire(s) à supprimer. => | :::                          | :::                          |Generic RTL2832U  |   |
16 Une de ces ponctuations est superflue. => | :::                          | :::                          |Generic RTL2832U  |   |
16 Espace(s) surnuméraire(s) à supprimer. => | :::                          | :::                          |Generic RTL2832U  |   |
16 Mot inconnu : Generic => | :::                          | :::                          |Generic RTL2832U  |   |
16 Mot inconnu : RTL2832U => | :::                          | :::                          |Generic RTL2832U  |   |
16 Espace(s) surnuméraire(s) à supprimer. => | :::                          | :::                          |Generic RTL2832U  |   |

17 Une de ces ponctuations est superflue. => | :::                          | :::                          |Hama Nano |  |
17 Espace(s) surnuméraire(s) à supprimer. => | :::                          | :::                          |Hama Nano |  |
17 Une de ces ponctuations est superflue. => | :::                          | :::                          |Hama Nano |  |
17 Espace(s) surnuméraire(s) à supprimer. => | :::                          | :::                          |Hama Nano |  |
17 Mot inconnu : Hama => | :::                          | :::                          |Hama Nano |  |
17 Mot inconnu : Nano => | :::                          | :::                          |Hama Nano |  |

18 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Mot inconnu : BDA => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Il manque un espace. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Mot inconnu : ezcap => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Mot inconnu : DVB-T => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
