4 Mot inconnu : users-admin => Cette page est un portail. [[:users-admin|Une autre page]] existe pour l'utilitaire de gestion des utilisateurs et groupes.

10 Mot inconnu : root => L’utilisateur root (racine) est un utilisateur particulier qui dispose de tous les droits sur le système, on dit qu'il dispose des [[:sudo|droits d'administration]]. Les autres utilisateurs disposent de droits moins étendus, à l'exception de ceux auxquels les droits d'administrateur ont été accordés. Les administrateurs disposent des mêmes droits que l'utilisateur root.
10 Mot inconnu : sudo => L’utilisateur root (racine) est un utilisateur particulier qui dispose de tous les droits sur le système, on dit qu'il dispose des [[:sudo|droits d'administration]]. Les autres utilisateurs disposent de droits moins étendus, à l'exception de ceux auxquels les droits d'administrateur ont été accordés. Les administrateurs disposent des mêmes droits que l'utilisateur root.
10 Mot inconnu : root => L’utilisateur root (racine) est un utilisateur particulier qui dispose de tous les droits sur le système, on dit qu'il dispose des [[:sudo|droits d'administration]]. Les autres utilisateurs disposent de droits moins étendus, à l'exception de ceux auxquels les droits d'administrateur ont été accordés. Les administrateurs disposent des mêmes droits que l'utilisateur root.

12 Accord de nombre erroné : « fichier » est au singulier. => Chaque utilisateur dispose d'une [[:sessions|session]] qui lui permet de retrouver ses préférences de bureau, d'accéder à ses fichiers et d'exécuter les applications qu'il est autorisé à lancer. Il est possible de se déconnecter de sa session pour permettre à un autre utilisateur de se connecter à sa propre session sans que l'autre session soit close. Les utilisateurs d'un autre profil ne sont, en général, pas autorisés à accéder aux fichier d'un autre utilisateur (sauf utilisateurs administrateurs ou si l'utilisateur à accordé des droits étendus sur ses fichiers).
12 Accord de nombre erroné : « fichier » devrait être au pluriel. => Chaque utilisateur dispose d'une [[:sessions|session]] qui lui permet de retrouver ses préférences de bureau, d'accéder à ses fichiers et d'exécuter les applications qu'il est autorisé à lancer. Il est possible de se déconnecter de sa session pour permettre à un autre utilisateur de se connecter à sa propre session sans que l'autre session soit close. Les utilisateurs d'un autre profil ne sont, en général, pas autorisés à accéder aux fichier d'un autre utilisateur (sauf utilisateurs administrateurs ou si l'utilisateur à accordé des droits étendus sur ses fichiers).

14 Mot inconnu : lp => Les groupes rassemblent un ou plusieurs utilisateurs qui disposent des mêmes droits. Ajouter un utilisateur à un groupe lui accorde les mêmes droits que tous les membres du groupe. À titre d'exemple, les membres du groupe lp sont autorisés à utiliser les imprimantes.

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:users-admin|utilisateurs et groupes]] : utilitaire graphique permettant de gérer les comptes d'utilisateurs et les groupes d'utilisateurs : création, suppression, modification
21 Mot inconnu : users-admin =>   * [[:users-admin|utilisateurs et groupes]] : utilitaire graphique permettant de gérer les comptes d'utilisateurs et les groupes d'utilisateurs : création, suppression, modification
21 Il manque un espace insécable. =>   * [[:users-admin|utilisateurs et groupes]] : utilitaire graphique permettant de gérer les comptes d'utilisateurs et les groupes d'utilisateurs : création, suppression, modification
21 Il manque un espace insécable. =>   * [[:users-admin|utilisateurs et groupes]] : utilitaire graphique permettant de gérer les comptes d'utilisateurs et les groupes d'utilisateurs : création, suppression, modification

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:kcmshell4_userconfig|userconfig]] : outil de gestion des comptes et groupes d'utilisateurs de Kubuntu
22 Mot inconnu : kcmshell4_userconfig =>   * [[:kcmshell4_userconfig|userconfig]] : outil de gestion des comptes et groupes d'utilisateurs de Kubuntu
22 Mot inconnu : userconfig =>   * [[:kcmshell4_userconfig|userconfig]] : outil de gestion des comptes et groupes d'utilisateurs de Kubuntu
22 Il manque un espace insécable. =>   * [[:kcmshell4_userconfig|userconfig]] : outil de gestion des comptes et groupes d'utilisateurs de Kubuntu
22 Mot inconnu : Kubuntu =>   * [[:kcmshell4_userconfig|userconfig]] : outil de gestion des comptes et groupes d'utilisateurs de Kubuntu

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:adduser|adduser]] :  outil en mode console permettant de créer un compte d'utilisateur de manière interactive
23 Mot inconnu : adduser =>   * [[:adduser|adduser]] :  outil en mode console permettant de créer un compte d'utilisateur de manière interactive
23 Mot inconnu : adduser =>   * [[:adduser|adduser]] :  outil en mode console permettant de créer un compte d'utilisateur de manière interactive
23 Il manque un espace insécable. =>   * [[:adduser|adduser]] :  outil en mode console permettant de créer un compte d'utilisateur de manière interactive
23 Espace(s) surnuméraire(s) à supprimer. =>   * [[:adduser|adduser]] :  outil en mode console permettant de créer un compte d'utilisateur de manière interactive

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:adduser#addgroup|addgroup]] : logiciel permettant de faire ... (plus rapide que le logiciel précédent)
24 Mot inconnu : adduser =>   * [[:adduser#addgroup|addgroup]] : logiciel permettant de faire ... (plus rapide que le logiciel précédent)
24 Mot inconnu : addgroup =>   * [[:adduser#addgroup|addgroup]] : logiciel permettant de faire ... (plus rapide que le logiciel précédent)
24 Il manque un espace insécable. =>   * [[:adduser#addgroup|addgroup]] : logiciel permettant de faire ... (plus rapide que le logiciel précédent)
24 Typographie : points de suspension. Utilisez le caractère dédié. =>   * [[:adduser#addgroup|addgroup]] : logiciel permettant de faire ... (plus rapide que le logiciel précédent)

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:useradd|useradd]] : programme en mode console/terminal permettant de créer un compte d'utilisateur de manière non-interactive
25 Mot inconnu : useradd =>   * [[:useradd|useradd]] : programme en mode console/terminal permettant de créer un compte d'utilisateur de manière non-interactive
25 Mot inconnu : useradd =>   * [[:useradd|useradd]] : programme en mode console/terminal permettant de créer un compte d'utilisateur de manière non-interactive
25 Il manque un espace insécable. =>   * [[:useradd|useradd]] : programme en mode console/terminal permettant de créer un compte d'utilisateur de manière non-interactive

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://manpages.ubuntu.com/manpages/bionic/fr/man8/groupadd.8.html|groupadd]] : programme en mode console/terminal permettant de créer un groupe d'utilisateurs de manière non-interactive
26 Mot inconnu : groupadd =>   * [[http://manpages.ubuntu.com/manpages/bionic/fr/man8/groupadd.8.html|groupadd]] : programme en mode console/terminal permettant de créer un groupe d'utilisateurs de manière non-interactive
26 Il manque un espace insécable. =>   * [[http://manpages.ubuntu.com/manpages/bionic/fr/man8/groupadd.8.html|groupadd]] : programme en mode console/terminal permettant de créer un groupe d'utilisateurs de manière non-interactive

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:tutoriel/gestion_utilisateurs_et_groupes_en_ligne_de_commande|tutoriel_gestion des utilisateurs et groupes en ligne de commande1]] : commandes utiles à la gestion simple des utilisateurs et groupes en ligne de commande
30 Mot inconnu : gestion_utilisateurs_et_groupes_en_ligne_de_commande =>   * [[:tutoriel/gestion_utilisateurs_et_groupes_en_ligne_de_commande|tutoriel_gestion des utilisateurs et groupes en ligne de commande1]] : commandes utiles à la gestion simple des utilisateurs et groupes en ligne de commande
30 Mot inconnu : tutoriel_gestion =>   * [[:tutoriel/gestion_utilisateurs_et_groupes_en_ligne_de_commande|tutoriel_gestion des utilisateurs et groupes en ligne de commande1]] : commandes utiles à la gestion simple des utilisateurs et groupes en ligne de commande
30 Mot inconnu : commande1 =>   * [[:tutoriel/gestion_utilisateurs_et_groupes_en_ligne_de_commande|tutoriel_gestion des utilisateurs et groupes en ligne de commande1]] : commandes utiles à la gestion simple des utilisateurs et groupes en ligne de commande
30 Il manque un espace insécable. =>   * [[:tutoriel/gestion_utilisateurs_et_groupes_en_ligne_de_commande|tutoriel_gestion des utilisateurs et groupes en ligne de commande1]] : commandes utiles à la gestion simple des utilisateurs et groupes en ligne de commande

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:droits|droits d'accés sous linux]] : gérer les accès aux fichiers
33 Mot inconnu : accés =>   * [[:droits|droits d'accés sous linux]] : gérer les accès aux fichiers
33 Mot inconnu : linux =>   * [[:droits|droits d'accés sous linux]] : gérer les accès aux fichiers
33 Il manque un espace insécable. =>   * [[:droits|droits d'accés sous linux]] : gérer les accès aux fichiers

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:permissions|permissions sous Linux]] : gérer les droits d'accès (propriétés et permissions) des fichiers et répertoires
34 Il manque un espace insécable. =>   * [[:permissions|permissions sous Linux]] : gérer les droits d'accès (propriétés et permissions) des fichiers et répertoires

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:sudo|super-utilisateur]] : les droits spécifiques du super-utilisateur
35 Mot inconnu : sudo =>   * [[:sudo|super-utilisateur]] : les droits spécifiques du super-utilisateur
35 Il manque un espace insécable. =>   * [[:sudo|super-utilisateur]] : les droits spécifiques du super-utilisateur

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:sudoers|droits avancés de super-utilisateur]] : configuration avancée de l'utilitaire sudo
36 Mot inconnu : sudoers =>   * [[:sudoers|droits avancés de super-utilisateur]] : configuration avancée de l'utilitaire sudo
36 Il manque un espace insécable. =>   * [[:sudoers|droits avancés de super-utilisateur]] : configuration avancée de l'utilitaire sudo
36 Mot inconnu : sudo =>   * [[:sudoers|droits avancés de super-utilisateur]] : configuration avancée de l'utilitaire sudo

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:tutoriel/effectuer_des_taches_en_super_utilisateur|effectuez des tâches administratives]] : tutoriel pour effectuer des taches en super-utilisateur
37 Mot inconnu : effectuer_des_taches_en_super_utilisateur =>   * [[:tutoriel/effectuer_des_taches_en_super_utilisateur|effectuez des tâches administratives]] : tutoriel pour effectuer des taches en super-utilisateur
