1 Mot inconnu : DEBUTANTS [[22:31]] => ====== ASSISTANCE AUX DEBUTANTS EN CAS DE PROBLEMES====== <|> debutants
1 Mot inconnu : PROBLEMES [[42:51]] => ====== ASSISTANCE AUX DEBUTANTS EN CAS DE PROBLEMES====== <|> problemes

5 Guillemets typographiques ouvrants. [[63:64]] => Cette page de documentation //(en cours de rédaction)// est un "mix" réalisé à partir //(entre autres...)// des liens suivants : <|> " => suggestions : « “
5 Guillemets typographiques fermants. [[67:68]] => Cette page de documentation //(en cours de rédaction)// est un "mix" réalisé à partir //(entre autres...)// des liens suivants : <|> " => suggestions :  »”
5 Typographie : points de suspension. Utilisez le caractère dédié. [[101:104]] => Cette page de documentation //(en cours de rédaction)// est un "mix" réalisé à partir //(entre autres...)// des liens suivants : <|> ... => suggestions : …

14 Mot inconnu : depend [[72:78]] => Le type de réponses que vous recevrez à vos questions d'ordre technique depend autant de la manière dont vous formulez la question que de la difficulté à développer la réponse. Ce guide va vous apprendre à poser des questions de telle sorte que vous ayez le plus de chances possible d'obtenir une réponse. <|> depend

24 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. [[366:379]] => Si un programme plante ou ne fait pas ce qu’il est censé faire, il faut se poser et réfléchir calmement. Ouvrez un nouveau fichier dans votre éditeur de texte favori et écrivez-y ce que vous faisiez quand le problème est apparu ainsi que tous les messages d’erreurs reçus. Ces messages d’erreurs doivent être recopiés exactement tel qu’ils sont apparus. Utilisez le copier/coller si cela est possible. <|> copier/coller => suggestions : copier-collercopié-collécopiée-colléecopiées-colléescopiés-collés

26 Mot inconnu : tail [[28:32]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> tail
26 Mot inconnu : tail [[54:58]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> tail
26 Il manque un trait d’union. [[182:190]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> celui ci => suggestions : celui-ci
26 S’il s’agit d’un impératif, mettez un trait d’union. [[271:283]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> recopiez les => suggestions : recopiez-les
26 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[366:368]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|>  . => suggestions : .. 
26 Mot inconnu : Xsession-errors [[368:383]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> xsession-errors
26 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[386:388]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|>  . => suggestions : .. 
26 Mot inconnu : xsession-errors [[388:403]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> xsession-errors
26 Mot inconnu : tail [[491:495]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> tail
26 Mot inconnu : xsession-errors [[499:514]] => Ouvrez un terminal et tapez tail /var/log/messages ou tail /var/log/messages.log suivant votre distribution. Cette commande affichera les 10 dernières lignes des logs du système. Si celui ci contient un ou des messages qui sont clairement en rapport avec votre problème, recopiez les également. Les erreurs des applications graphiques sont en général dans le fichier .Xsession-errors ou .xsession-errors dans votre dossier /home. La commande pour visualiser les 10 dernières lignes est donc tail ~/.xsession-errors. Comme pour le fichier /var/log/messages, ajoutez les lignes en rapport avec votre problème dans votre fichier de départ. <|> xsession-errors

29 Mot inconnu : dual-boot [[105:114]] => Si votre système ne démarre plus suite à un problème, démarrez alors sur une autre distribution (soit en dual-boot si vous en avez soit depuis un live-cd). Il est toujours bon d’avoir un live-cd sous la main pour ce genre d’opération. Une fois que vous avez démarré sur le live-cd, montez votre partition root et récupérez les informations dans les fichiers cités plus haut. <|> dual-boot
37 Mot inconnu : tail [[313:317]] => Les problèmes non reproductibles sont souvent dus au matériel. Si vous pensez que c’est le cas, regardez alors dans le fichier /var/log/boot ainsi que /var/log/kern.log ou /var/log/kernel.log suivant votre distribution pour voir si le kernel reconnait bien votre matériel. Ce fichier étant très long, la commande tail ne vous sera pas d’un grand secours. Utilisez plutôt less /var/log/boot et parcourez les pages à la recherche d’un message en rapport avec votre problème. Recopiez également ce message dans votre fichier de départ. <|> tail
37 Mot inconnu : less [[371:375]] => Les problèmes non reproductibles sont souvent dus au matériel. Si vous pensez que c’est le cas, regardez alors dans le fichier /var/log/boot ainsi que /var/log/kern.log ou /var/log/kernel.log suivant votre distribution pour voir si le kernel reconnait bien votre matériel. Ce fichier étant très long, la commande tail ne vous sera pas d’un grand secours. Utilisez plutôt less /var/log/boot et parcourez les pages à la recherche d’un message en rapport avec votre problème. Recopiez également ce message dans votre fichier de départ. <|> less
41 Mot inconnu : nom_du_programme [[188:204]] => Ceci est à faire en particulier si le programme ne réagit pas de la manière souhaitée. Lisez l’aide en ligne du programme et utilisez également le manuel universel (dans un terminal : man nom_du_programme). <|> nom_du_programme

46 Mot inconnu : meta-moteur [[68:79]] => Copiez/collez le message d’erreur dans un moteur de recherche ou un meta-moteur tel que ixquick et ajoutez-y le nom du programme. Vous trouverez certainement des messages sur des forums d’utilisateurs qui ont le même problème que vous. Lisez le thread complet, vous y trouverez peut-être une solution. <|> meta-moteur
46 Mot inconnu : ixquick [[88:95]] => Copiez/collez le message d’erreur dans un moteur de recherche ou un meta-moteur tel que ixquick et ajoutez-y le nom du programme. Vous trouverez certainement des messages sur des forums d’utilisateurs qui ont le même problème que vous. Lisez le thread complet, vous y trouverez peut-être une solution. <|> ixquick

50 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. [[86:95]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> peut être => suggestions : peut-être
