
5 Mot inconnu : texlive [[17:24]] => ====== Installer texlive ====== <|> texlive
11 Mot inconnu : tug [[215:218]] => La première option est de loin la plus simple et la plus accessible aux débutants. Toutefois, il peut y avoir un décalage relativement conséquent entre la version de LaTeX dans les dépôts et celle disponible sur le tug. Il est donc parfois nécessaire d'opter pour la seconde option. <|> tug

62 Mot inconnu : sudo [[59:63]] => En cas d'insuccès, il peut être nécessaire de se mettre en sudo : <|> sudo

67 Mot inconnu : Tapper [[87:93]] => L'installateur va ensuite afficher un menu vous demandant ce que vous souhaitez faire. Tapper simplement la lettre i suivie de la touche Entrée pour lancer le processus d'installation. <|> tapper

71 Mot inconnu : PATH [[29:33]] => ===== Configurer la variable PATH ===== <|> path

87 Mot inconnu : VERSION_ANNEE [[164:177]] => Il vous faut maintenant rajouter le lien vers le répertoire d'installation de Tex Live au début cette liste de chemin. L'adresse du répertoire a le format suivant (VERSION_ANNEE est à nouveau à remplacer par la version de Tex Live) : <|> version_annee

104 Après la préposition “Pour”, le verbe devrait être à l’infinitif. [[5:13]] => Pour vérifiez que la modification a bien été prise en compte, entrez la commande suivante dans un terminal : <|> vérifiez => suggestions : None

110 Mot inconnu : PATH [[116:120]] => Si vous obtenez un retour ressemblant au texte ci-dessous, c'est que l'installation et la définition de la variable PATH se sont bien déroulées. <|> path

126 Mot inconnu : TeXstudio [[39:48]] => ===== Installation et configuration de TeXstudio ===== <|> texstudio

137 Mot inconnu : TeXstudio [[20:29]] => La configuration de TeXstudio dépend de la manière dont vous utiliserez LaTeX. Ci-dessous, 2 configurations parmi les plus courantes vous seront présentées. <|> texstudio

139 Mot inconnu : XeLaTeX [[4:11]] => === XeLaTeX === <|> xelatex

141 Mot inconnu : XeLaTeX [[17:24]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> xelatex
141 Guillemets typographiques ouvrants. [[86:87]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None
141 Mot inconnu : TeXstudio [[107:116]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> texstudio
141 Guillemets typographiques fermants. [[116:117]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None
141 Guillemets typographiques ouvrants. [[134:135]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None
141 Guillemets typographiques fermants. [[145:146]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None
141 Guillemets typographiques ouvrants. [[175:176]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None
141 Mot inconnu : XeLaTeX [[176:183]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> xelatex
141 Guillemets typographiques fermants. [[183:184]] => Si vous utilisez XeLaTeX pour compiler vos documents, il vous suffit d'ouvrir le menu "Option / Configurer TeXstudio", de cliquer sur "Production" et de sélectionner l'option "XeLaTeX" pour la compilation par défaut. <|> " => suggestions : None

143 Mot inconnu : XeLaTeX [[4:11]] => === XeLaTeX et biber === <|> xelatex
143 Mot inconnu : biber [[15:20]] => === XeLaTeX et biber === <|> biber

145 Mot inconnu : BibLaTeX [[17:25]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> biblatex
145 Mot inconnu : BibTeX [[44:50]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> bibtex
145 Guillemets typographiques ouvrants. [[99:100]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
145 Mot inconnu : TeXstudio [[120:129]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> texstudio
145 Guillemets typographiques fermants. [[129:130]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
145 Guillemets typographiques ouvrants. [[152:153]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
145 Guillemets typographiques fermants. [[163:164]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
145 Mot inconnu : XeLaTeX [[186:193]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> xelatex
145 Guillemets typographiques ouvrants. [[239:240]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
145 Mot inconnu : Biber [[240:245]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> biber
145 Guillemets typographiques fermants. [[245:246]] => Si vous utilisez BibLaTeX (le successeur de BibTeX) pour gérer votre bibliographie, ouvrez le menu "Option / Configurer TeXstudio". cliquez ensuite sur "Production". En plus du choix de XeLaTeX pour la compilation par défaut, sélectionnez "Biber" comme outil de bibliographie par défaut. <|> " => suggestions : None
