
3 Pas de majuscule sur les mois. => Le 15 Octobre Pour l’heure, je propose 18h-21h au cyber ?. <|> octobre => suggestions : ['octobre']
3 Mot inconnu : cyber => Le 15 Octobre Pour l’heure, je propose 18h-21h au cyber ?. <|> cyber

8 Mot inconnu : Decouverte => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> decouverte
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|>  -  => suggestions : [' – ', ' — ', ' − ']
8 Mot inconnu : install => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> install
8 Mot inconnu : party => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> party
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|>  -  => suggestions : [' – ', ' — ', ' − ']
8 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> a => suggestions : ['à']
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|>  -  => suggestions : [' – ', ' — ', ' − ']
8 Écriture invariable. Utilisez un point médian. => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> verre(s) => suggestions : ['verre·s']
8 Mot inconnu : amitie => Decouverte de la nouvelle ubuntu - install party - mise a jour du parc - verre(s) de l'amitie lol <|> amitie

13 Mot inconnu : CyberCentre => CyberCentre de Billy-Berclau <|> cybercentre
13 Mot inconnu : Billy-Berclau => CyberCentre de Billy-Berclau <|> billy-berclau

14 Mot inconnu : Dolto => Centre culturel F. Dolto <|> dolto

15 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Rue du 1er Mai <|> 1er => suggestions : ['1ᵉʳ']

16 Formatage des grands nombres. => 62138 Billy-Berclau <|> 62138 => suggestions : ['62\xa0138']
16 Mot inconnu : Billy-Berclau => 62138 Billy-Berclau <|> billy-berclau

21 Mot inconnu : email => Laissez votre email ou tout autre chose pour que je puisse vous contacter. <|> email

23 Mot inconnu : at => informatique at billy-berclau point com <|> at
23 Mot inconnu : billy-berclau => informatique at billy-berclau point com <|> billy-berclau

24 Mot inconnu : jcapell => jcapell at free point fr <|> jcapell
24 Mot inconnu : at => jcapell at free point fr <|> at
24 Mot inconnu : free => jcapell at free point fr <|> free
