
9 Mot inconnu : Mc => Mc Donalds ou KFC des Abymes | mc
9 Mot inconnu : Donalds => Mc Donalds ou KFC des Abymes | donalds
9 Mot inconnu : KFC => Mc Donalds ou KFC des Abymes | kfc

14 Conjugaison erronée. Accord avec “Chacun”. Le verbe devrait être à la 3ᵉ personne du singulier. => Chacun viens avec son porte-monnaie, sa carte bleue, ses traveler's checks, etc. | viens => suggestions : ['vient']
14 Mot inconnu : checks => Chacun viens avec son porte-monnaie, sa carte bleue, ses traveler's checks, etc. | checks

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[utilisateurs:racoon97]] (jwebbe CHEZ wanadoo.fr) |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[utilisateurs:racoon97]] (jwebbe CHEZ wanadoo.fr) |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : jwebbe =>   - [[utilisateurs:racoon97]] (jwebbe CHEZ wanadoo.fr) | jwebbe
18 Mot inconnu : wanadoo =>   - [[utilisateurs:racoon97]] (jwebbe CHEZ wanadoo.fr) | wanadoo

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[utilisateurs:Christophe971]] ( christophe.maximin@gmail.com ) |    => suggestions : ['']
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[utilisateurs:Christophe971]] ( christophe.maximin@gmail.com ) |  -  => suggestions : [' – ', ' — ', ' − ']
19 Pas d’espace après ce signe. =>   - [[utilisateurs:Christophe971]] ( christophe.maximin@gmail.com ) | (  => suggestions : ['(']
19 Pas d’espace avant ce signe. =>   - [[utilisateurs:Christophe971]] ( christophe.maximin@gmail.com ) |  ) => suggestions : [')']
