1 Mot inconnu : Breezy => ====== Breezy Party - Metz ====== | breezy
1 Mot inconnu : Party => ====== Breezy Party - Metz ====== | party
1 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Breezy Party - Metz ====== |  -  => suggestions : [' – ', ' — ', ' − ']

7 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | tomtom => suggestions : ['Tomtom']
7 Mot inconnu : tomtom => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | tomtom
7 Mot inconnu : Vivian's => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | vivian's
7 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | viens => suggestions : ['vient']
7 Mot inconnu : Vivian's => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | vivian's
7 Ni apostrophe ni trait d’union après “y”. => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | y'a => suggestions : ['y a']
7 Mot inconnu : y'a => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  | y'a
7 Espace(s) en fin de ligne à supprimer. => tomtom : Je suis allé au Vivian's et si on viens vers 20h30 on aura quasiment toute la place qu'on veut en haut. Donc je serai devant le Vivian's vers 20h30, j'attendrais un peu si y'a certains d'entre vous qui veulent venir a cette heure-ci!!  |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
