
4 Espace(s) surnuméraire(s) à supprimer. [[17:19]] => Dans la soirée du  14 <|>    => suggestions : [' ']

13 Mot inconnu : chanteclair [[14:25]] => je propose le chanteclair <|> chanteclair

28 Guillemets typographiques ouvrants. [[22:23]] => **R:** Bar Restaurant "Le Chevreul"\\  <|> " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. [[34:35]] => **R:** Bar Restaurant "Le Chevreul"\\  <|> " => suggestions : ['\xa0»', '”']
28 Espace(s) en fin de ligne à supprimer. [[37:38]] => **R:** Bar Restaurant "Le Chevreul"\\  <|>   => suggestions : ['']

29 Il manque un trait d’union s’il s’agit d’une église, d’une cité, d’une communauté, d’un lieu… S’il s’agit d’une personne, écrivez “saint” ou “sainte” sans majuscule, sans trait d’union. [[7:16]] => 35 rue St Jérome\\  <|> st jérome => suggestions : ['St-Jérome']
29 Mot inconnu : Jérome [[10:16]] => 35 rue St Jérome\\  <|> jérome
29 Espace(s) en fin de ligne à supprimer. [[18:19]] => 35 rue St Jérome\\  <|>   => suggestions : ['']

30 Formatage des grands nombres. [[0:5]] => 69007 Lyon\\  <|> 69007 => suggestions : ['69\xa0007']
30 Espace(s) en fin de ligne à supprimer. [[12:13]] => 69007 Lyon\\  <|>   => suggestions : ['']

31 Mot inconnu : Jean-Macé [[6:15]] => Métro Jean-Macé\\  <|> jean-macé
31 Espace(s) en fin de ligne à supprimer. [[17:18]] => Métro Jean-Macé\\  <|>   => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
35 Mot inconnu : ca [[19:21]] => **Q:** des infos ? ca n'a pas l'air tres sûr comme evènement quand on lit le lien si ? <|> ca
35 Mot inconnu : tres [[36:40]] => **Q:** des infos ? ca n'a pas l'air tres sûr comme evènement quand on lit le lien si ? <|> tres
35 Mot inconnu : evènement [[51:60]] => **Q:** des infos ? ca n'a pas l'air tres sûr comme evènement quand on lit le lien si ? <|> evènement

37 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[18:19]] => **R:** Ah que si. A l'aldil on est des gens sérieux ;) <|> a => suggestions : ['À']
37 Mot inconnu : aldil [[22:27]] => **R:** Ah que si. A l'aldil on est des gens sérieux ;) <|> aldil

42 Mot inconnu : previens [[3:11]] => je previens par mails les quelques personnes qui m'ont répondu et je met le wiki à jour en fonction <|> previens
42 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[69:72]] => je previens par mails les quelques personnes qui m'ont répondu et je met le wiki à jour en fonction <|> met => suggestions : ['mets']
45 Incohérence : après “à l’”, on devrait trouver un groupe nominal (ou un verbe à l’infinitif). [[40:50]] => Attention ! il y aura l'apéro avant à l'OpenSource café à 18h00 : <|> opensource => suggestions : ['Opensourcé', 'Opensourcés', 'Opensourcées', 'Opensourcée']
45 Mot inconnu : OpenSource [[40:50]] => Attention ! il y aura l'apéro avant à l'OpenSource café à 18h00 : <|> opensource

49 Mot inconnu : Gryphe [[18:24]] => 126 Rue Sébastien Gryphe <|> gryphe

51 Mot inconnu : breezy [[12:18]] => Sauf que la breezy c'est le 14, et l'Opensource café c'est le 15... mais ça n'empêche pas de faire les 2 ;-) <|> breezy
51 Typographie : points de suspension. Utilisez le caractère dédié. [[64:67]] => Sauf que la breezy c'est le 14, et l'Opensource café c'est le 15... mais ça n'empêche pas de faire les 2 ;-) <|> ... => suggestions : ['…']

56 Après un point, une majuscule est généralement requise. [[90:94]] => Veuillez laisser vos mails ou au moins m’en envoyer un pour que je puisse vous contacter. avec votre date de préférence <|> avec => suggestions : ['Avec']
58 Mot inconnu : cyrille [[4:11]] =>   * cyrille.preaux [at] free [point] fr <|> cyrille
58 Mot inconnu : preaux [[12:18]] =>   * cyrille.preaux [at] free [point] fr <|> preaux
58 Mot inconnu : at [[20:22]] =>   * cyrille.preaux [at] free [point] fr <|> at
58 Mot inconnu : free [[24:28]] =>   * cyrille.preaux [at] free [point] fr <|> free
59 Mot inconnu : ElZikos [[9:16]] =>   * <del>ElZikos [at] revedemome [point] com (2 personnes)</del> Annulé pour raisons persos. Désolé! <|> elzikos
59 Mot inconnu : at [[18:20]] =>   * <del>ElZikos [at] revedemome [point] com (2 personnes)</del> Annulé pour raisons persos. Désolé! <|> at
59 Mot inconnu : revedemome [[22:32]] =>   * <del>ElZikos [at] revedemome [point] com (2 personnes)</del> Annulé pour raisons persos. Désolé! <|> revedemome
60 Mot inconnu : mpaisse [[4:11]] =>   * mpaisse [at] free [point] fr <|> mpaisse
60 Mot inconnu : at [[13:15]] =>   * mpaisse [at] free [point] fr <|> at
60 Mot inconnu : free [[17:21]] =>   * mpaisse [at] free [point] fr <|> free
