
3 Mot inconnu : SSH => ====== SSH ====== | ssh

5 Mot inconnu : SSH => Cette page présente les usages les plus courants de SSH et sa configuration de base. | ssh

7 Mot inconnu : ssh => Voir sur [[ssh avancé|SSH Avancé]] pour les autres usages. | ssh
7 Mot inconnu : SSH => Voir sur [[ssh avancé|SSH Avancé]] pour les autres usages. | ssh

11 Mot inconnu : OpenSSH => **OpenSSH** est une version libre de la suite de protocole de SSH, des outils de connectivité de réseau sur lesquels un nombre croissant de personnes sur l'Internet viennent s'appuyer.\\  | openssh
11 Mot inconnu : SSH => **OpenSSH** est une version libre de la suite de protocole de SSH, des outils de connectivité de réseau sur lesquels un nombre croissant de personnes sur l'Internet viennent s'appuyer.\\  | ssh
11 Espace(s) en fin de ligne à supprimer. => **OpenSSH** est une version libre de la suite de protocole de SSH, des outils de connectivité de réseau sur lesquels un nombre croissant de personnes sur l'Internet viennent s'appuyer.\\  |   => suggestions : ['']

12 Mot inconnu : Telnet => Beaucoup d'utilisateurs de Telnet, Rlogin, FTP, ou d'autres programmes de même acabit ne se rendent pas compte que leur données, et notamment les mots de passe, sont transmises à travers les réseaux en clair ce qui constitue une faille évidente dans la sécurité de leur réseau.\\ | telnet
12 Mot inconnu : Rlogin => Beaucoup d'utilisateurs de Telnet, Rlogin, FTP, ou d'autres programmes de même acabit ne se rendent pas compte que leur données, et notamment les mots de passe, sont transmises à travers les réseaux en clair ce qui constitue une faille évidente dans la sécurité de leur réseau.\\ | rlogin
12 Accord de nombre erroné avec « données ». => Beaucoup d'utilisateurs de Telnet, Rlogin, FTP, ou d'autres programmes de même acabit ne se rendent pas compte que leur données, et notamment les mots de passe, sont transmises à travers les réseaux en clair ce qui constitue une faille évidente dans la sécurité de leur réseau.\\ | leur => suggestions : ['leurs']
12 Accord de nombre erroné : « données » devrait être au singulier. => Beaucoup d'utilisateurs de Telnet, Rlogin, FTP, ou d'autres programmes de même acabit ne se rendent pas compte que leur données, et notamment les mots de passe, sont transmises à travers les réseaux en clair ce qui constitue une faille évidente dans la sécurité de leur réseau.\\ | données => suggestions : ['donnée']

14 Mot inconnu : OpenSSH => **OpenSSH** crypte tout le trafic (mots de passe y compris), via une combinaison astucieuse de chiffrement symétrique et asymétrique. **OpenSSH** fournit également d'autres méthodes d'authentifications alternatives au traditionnel mot de passe. \\ | openssh
14 Mot inconnu : OpenSSH => **OpenSSH** crypte tout le trafic (mots de passe y compris), via une combinaison astucieuse de chiffrement symétrique et asymétrique. **OpenSSH** fournit également d'autres méthodes d'authentifications alternatives au traditionnel mot de passe. \\ | openssh

15 Mot inconnu : OpenSSH => Comme son nom l'indique, **OpenSSH** est développé dans le cadre du projet [[http://www.openbsd.org|OpenBSD]] | openssh

17 Mot inconnu : SSH => SSH remplace de manière sécurisée: | ssh

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Telnet: Vous pouvez exécuter des commandes depuis un Réseau Local ou Internet via SSH |    => suggestions : ['']
18 Mot inconnu : Telnet =>   * Telnet: Vous pouvez exécuter des commandes depuis un Réseau Local ou Internet via SSH | telnet
18 Mot inconnu : SSH =>   * Telnet: Vous pouvez exécuter des commandes depuis un Réseau Local ou Internet via SSH | ssh

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * FTP: Si vous ne souhaitez qu'ajouter ou modifier des fichiers sur un serveur, SSH est bien plus adapté que FTP |    => suggestions : ['']
19 Mot inconnu : SSH =>   * FTP: Si vous ne souhaitez qu'ajouter ou modifier des fichiers sur un serveur, SSH est bien plus adapté que FTP | ssh

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. |    => suggestions : ['']
20 Mot inconnu : tunneling =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. | tunneling
