1 Mot inconnu : VirtualBox => ====== Démarrer un système physique sous VirtualBox ====== | virtualbox

3 Mot inconnu : VirtualBox => Il peut être utile de démarrer un système déjà installé physiquement sous VirtualBox. | virtualbox
4 Mot inconnu : HowTo => Les deux parties de cette doc sont issues du forum : [[http://forum.ubuntu-fr.org/viewtopic.php?id=365418|[HowTo] Démarrer un Windows installé physiquement dans VirtualBox]] et [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3137234|Démarrer un Linux installé physiquement dans VirtualBox]]. Vous pouvez donc y exposer les problèmes que vous rencontrez. | howto
4 Mot inconnu : VirtualBox => Les deux parties de cette doc sont issues du forum : [[http://forum.ubuntu-fr.org/viewtopic.php?id=365418|[HowTo] Démarrer un Windows installé physiquement dans VirtualBox]] et [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3137234|Démarrer un Linux installé physiquement dans VirtualBox]]. Vous pouvez donc y exposer les problèmes que vous rencontrez. | virtualbox
4 Mot inconnu : VirtualBox => Les deux parties de cette doc sont issues du forum : [[http://forum.ubuntu-fr.org/viewtopic.php?id=365418|[HowTo] Démarrer un Windows installé physiquement dans VirtualBox]] et [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3137234|Démarrer un Linux installé physiquement dans VirtualBox]]. Vous pouvez donc y exposer les problèmes que vous rencontrez. | virtualbox

6 Mot inconnu : VirtualBox => L'idée, comme VirtualBox ne peut pas utiliser un disque physique directement, est de créer un petit fichier "redirigeant" vers votre disque. On utilisera pour cela l'utilitaire VBoxManage. | virtualbox
6 Guillemets typographiques ouvrants. => L'idée, comme VirtualBox ne peut pas utiliser un disque physique directement, est de créer un petit fichier "redirigeant" vers votre disque. On utilisera pour cela l'utilitaire VBoxManage. | " => suggestions : ['«\xa0', '“']
6 Guillemets typographiques fermants. => L'idée, comme VirtualBox ne peut pas utiliser un disque physique directement, est de créer un petit fichier "redirigeant" vers votre disque. On utilisera pour cela l'utilitaire VBoxManage. | " => suggestions : ['\xa0»', '”']
6 Mot inconnu : VBoxManage => L'idée, comme VirtualBox ne peut pas utiliser un disque physique directement, est de créer un petit fichier "redirigeant" vers votre disque. On utilisera pour cela l'utilitaire VBoxManage. | vboxmanage

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le système hôte est Ubuntu (et pourrait être n'importe quelle distribution avec Virtualbox fonctionnel |    => suggestions : ['']
12 Mot inconnu : Virtualbox =>   * Le système hôte est Ubuntu (et pourrait être n'importe quelle distribution avec Virtualbox fonctionnel | virtualbox

16 Mot inconnu : Mapping => ==== Mapping du disque dur ==== | mapping

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En ligne de commande :<code bash> sudo usermod -G disk -a $USER</code> |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On se déplace dans le dossier où le fichier sera créé :<code bash>cd ~/.VirtualBox</code> |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On "mappe" le disque : (à adapter selon la situation)<code bash>VBoxManage internalcommands createrawvmdk -filename Fedora.vmdk -rawdisk /dev/sda -partitions 4 -relative</code> |    => suggestions : ['']
31 Guillemets typographiques ouvrants. =>   * On "mappe" le disque : (à adapter selon la situation)<code bash>VBoxManage internalcommands createrawvmdk -filename Fedora.vmdk -rawdisk /dev/sda -partitions 4 -relative</code> | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. =>   * On "mappe" le disque : (à adapter selon la situation)<code bash>VBoxManage internalcommands createrawvmdk -filename Fedora.vmdk -rawdisk /dev/sda -partitions 4 -relative</code> | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : vmdk => Ceci ne fait que créer le fichier Fedora.vmdk (de quelques Ko), et ne touche absolument pas au disque. | vmdk

35 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => <note tip>Dans le cas ou le disque serait inaccessible, il faut réessayer en supprimant l'option -relative.</note> | ou => suggestions : ['où']
35 Il manque un espace à côté du tiret. => <note tip>Dans le cas ou le disque serait inaccessible, il faut réessayer en supprimant l'option -relative.</note> |  - => suggestions : [' – ', ' — ']

42 Mot inconnu : VirtualBox => VirtualBox n'a accès qu'à la partition contenant le système invité… Et donc pas au chargeur de démarrage ! Il faut donc en créer un. | virtualbox

43 Mot inconnu : iso => Pour résoudre ce problème, on va créer une image iso bootable de Grub. | iso
43 Mot inconnu : bootable => Pour résoudre ce problème, on va créer une image iso bootable de Grub. | bootable
43 Mot inconnu : Grub => Pour résoudre ce problème, on va créer une image iso bootable de Grub. | grub

44 Mot inconnu : Grub2 => Il est pour le moment difficile de le faire pour Grub2, on le fera donc pour Grub1. | grub2
44 Mot inconnu : Grub1 => Il est pour le moment difficile de le faire pour Grub2, on le fera donc pour Grub1. | grub1
46 Mot inconnu : Grub1 => === Gestionnaire de démarrage : Grub1 === | grub1

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # création d'un dossier de travail |      => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     mkdir ~/travail |      => suggestions : ['']
52 Mot inconnu : mkdir =>     mkdir ~/travail | mkdir

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cd ~/travail/ |      => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # création de l'arborescence |      => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     mkdir -p iso/boot/grub |      => suggestions : ['']
56 Mot inconnu : mkdir =>     mkdir -p iso/boot/grub | mkdir
56 Il manque un espace à côté du tiret. =>     mkdir -p iso/boot/grub |  - => suggestions : [' – ', ' — ']
56 Mot inconnu : iso =>     mkdir -p iso/boot/grub | iso

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # copie des fichiers nécessaires |      => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cp /usr/lib/grub/*-pc/stage2_eltorito /boot/grub/menu.lst iso/boot/grub |      => suggestions : ['']
59 Mot inconnu : cp =>     cp /usr/lib/grub/*-pc/stage2_eltorito /boot/grub/menu.lst iso/boot/grub | cp
59 Mot inconnu : stage2_eltorito =>     cp /usr/lib/grub/*-pc/stage2_eltorito /boot/grub/menu.lst iso/boot/grub | stage2_eltorito
59 Mot inconnu : iso =>     cp /usr/lib/grub/*-pc/stage2_eltorito /boot/grub/menu.lst iso/boot/grub | iso

63 Mot inconnu : Grub => b) Maintenant que nous avons récupéré la configuration de Grub, il va falloir la modifier. En effet, les instructions qui permettent de faire démarrer Ubuntu ne seront pas nécessaires ici. | grub

66 Mot inconnu : lst => Il faut ouvrir le fichier menu.lst contenu dans le répertoire ~/travail/iso/boot/grub/. | lst
66 Mot inconnu : iso => Il faut ouvrir le fichier menu.lst contenu dans le répertoire ~/travail/iso/boot/grub/. | iso

