
2 Mot inconnu : DJVU => ====== Comment éditer la table des matières d'un fichier DJVU ? ====== | djvu

4 Mot inconnu : DjvuSmooth => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note> | djvusmooth
4 Mot inconnu : grahique => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note> | grahique
4 Espace(s) surnuméraire(s) à supprimer. => <note important>DjvuSmooth présente une interface grahique.  C'est la solution la plus simple.</note> |    => suggestions : [' ']
12 Mot inconnu : DJVU => C'est le cas de figure où vous possédez le fichier pdf d'origine et que vous voulez le convertir pour obtenir une table des matières en DJVU. | djvu
20 Mot inconnu : djvused => ===== Solution 2: La commande djvused ===== | djvused

21 Mot inconnu : djvused => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial. | djvused
21 Mot inconnu : djvu => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial. | djvu
21 Espace(s) surnuméraire(s) à supprimer. => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial. |    => suggestions : [' ']
21 Mot inconnu : djvused => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial. | djvused
21 Mot inconnu : djvu => La commande djvused permet d'extraire un fichier texte qui décrit la structure de la table des matières du fichier djvu. Ce fichier s'édite normalement avec un éditeur de texte.  Enfin la commande djvused permet de fusionner les deux fichiers pour modifier le djvu initial. | djvu

32 Mot inconnu : djvu => ==== Exemple de structure de table des matières djvu ==== | djvu
61 Mot inconnu : djvusmooth => ===== Solution 3: Avec le logiciel djvusmooth ===== | djvusmooth

62 Mot inconnu : djvusmooth => djvusmooth est un logiciel graphique qui permet l'édition de la table des matières et de la couche de reconnaissance de caractères (OCR/ROC).\\ | djvusmooth
62 Mot inconnu : OCR => djvusmooth est un logiciel graphique qui permet l'édition de la table des matières et de la couche de reconnaissance de caractères (OCR/ROC).\\ | ocr
63 Mot inconnu : bookmark => * Ctrl+b : création de signet (bookmark)\\ | bookmark
64 Mot inconnu : to => * Ctrl+G: Aller à la page (go to page)\\ | to
