
4 Mot inconnu : boot [[17:21]] => ====== Partition boot séparée ====== <|> boot
17 Mot inconnu : liveUSB [[14:21]] =>   * un DVD ou liveUSB Boot-Repair-Disk, puis passez directement à l'**étape 3 ci-dessous**. <|> liveusb
17 Mot inconnu : Boot-Repair-Disk [[22:38]] =>   * un DVD ou liveUSB Boot-Repair-Disk, puis passez directement à l'**étape 3 ci-dessous**. <|> boot-repair-disk
18 Mot inconnu : liveUSB [[16:23]] =>   * ou un CD ou liveUSB Ubuntu, choisissez "Essayer Ubuntu", puis passez à l'**étape 2 ci-dessous**. <|> liveusb
18 Guillemets typographiques ouvrants. [[43:44]] =>   * ou un CD ou liveUSB Ubuntu, choisissez "Essayer Ubuntu", puis passez à l'**étape 2 ci-dessous**. <|> " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. [[58:59]] =>   * ou un CD ou liveUSB Ubuntu, choisissez "Essayer Ubuntu", puis passez à l'**étape 2 ci-dessous**. <|> " => suggestions : ['\xa0»', '”']

38 Mot inconnu : gParted [[4:11]] => Via gParted: <|> gparted

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
44 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:8]] =>   * dans cet espace libre, créez une partition de 1Go formatée en EXT2 (ou EXT4). Remarque: il se peut que Gparted refuse de créer cette partition, par exemple si votre disque a un type de table de partitions Ms-Dos et qu'il possède déjà 4 partitions principales. Dans ce cas, demandez conseil sur le forum. <|> dans => suggestions : ['Dans']
44 Mot inconnu : EXT2 [[66:70]] =>   * dans cet espace libre, créez une partition de 1Go formatée en EXT2 (ou EXT4). Remarque: il se peut que Gparted refuse de créer cette partition, par exemple si votre disque a un type de table de partitions Ms-Dos et qu'il possède déjà 4 partitions principales. Dans ce cas, demandez conseil sur le forum. <|> ext2
44 Mot inconnu : EXT4 [[75:79]] =>   * dans cet espace libre, créez une partition de 1Go formatée en EXT2 (ou EXT4). Remarque: il se peut que Gparted refuse de créer cette partition, par exemple si votre disque a un type de table de partitions Ms-Dos et qu'il possède déjà 4 partitions principales. Dans ce cas, demandez conseil sur le forum. <|> ext4
44 Mot inconnu : Gparted [[107:114]] =>   * dans cet espace libre, créez une partition de 1Go formatée en EXT2 (ou EXT4). Remarque: il se peut que Gparted refuse de créer cette partition, par exemple si votre disque a un type de table de partitions Ms-Dos et qu'il possède déjà 4 partitions principales. Dans ce cas, demandez conseil sur le forum. <|> gparted
45 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:7]] =>   * sur un papier, notez le nom de cette nouvelle partition. Cela devrait être quelque chose comme **sdXY** (X étant une lettre, Y un chiffre). <|> sur => suggestions : ['Sur']
45 Mot inconnu : sdXY [[101:105]] =>   * sur un papier, notez le nom de cette nouvelle partition. Cela devrait être quelque chose comme **sdXY** (X étant une lettre, Y un chiffre). <|> sdxy

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

52 Mot inconnu : Boot-Repair [[7:18]] => Lancez Boot-Repair via : <|> boot-repair
55 Mot inconnu : boot-repair [[23:34]] =>   * ou en saisissant **boot-repair** dans un terminal  <|> boot-repair
55 Espace(s) en fin de ligne à supprimer. [[53:54]] =>   * ou en saisissant **boot-repair** dans un terminal  <|>   => suggestions : ['']

59 Mot inconnu : Boot-Repair [[5:16]] => Dans Boot-Repair : <|> boot-repair
61 Guillemets typographiques ouvrants. [[26:27]] =>   * Allez dans l'**onglet "Emplacement de GRUB"** <|> " => suggestions : ['«\xa0', '“']
61 Mot inconnu : GRUB [[42:46]] =>   * Allez dans l'**onglet "Emplacement de GRUB"** <|> grub
61 Guillemets typographiques fermants. [[46:47]] =>   * Allez dans l'**onglet "Emplacement de GRUB"** <|> " => suggestions : ['\xa0»', '”']
67 Espace(s) en fin de ligne à supprimer. [[77:78]] =>   * Redémarrez l'ordinateur. Vous devriez maintenant pouvoir démarrer Ubuntu.  <|>   => suggestions : ['']
72 Si “l’ URL…” est bien le COD du participe passé “noté”, celui-ci devrait être au féminin singulier. [[169:173]] =>   * si vous avez besoin d'aide veuillez créer une nouvelle discussion [[http://forum.ubuntu-fr.org/post.php?fid=10|ICI]] (n'oubliez pas d'y indiquer l'URL que vous avez noté précédemment) <|> noté => suggestions : ['notée']
76 Mot inconnu : ubuntu-fr [[120:129]] =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=10200851#p10200851|Discussion à propos de ce tutoriel]] sur le forum ubuntu-fr <|> ubuntu-fr
