
18 Mot inconnu : Gnome-disks [[4:15]] => ====Gnome-disks==== <|> gnome-disks

21 Mot inconnu : Etape [[0:5]] => Etape 1: formater <|> etape
24 Guillemets typographiques ouvrants. [[106:107]] =>   * Si vous souhaitez formater complètement la clé USB, aller dans le menu en haut à droite et choisissez "Formater le disque...". Une boite s'ouvre avec 2 options à laisser par défaut dans les cas habituels et cliquer sur Formater. Évidemment, "formater" efface toutes vos données ! <|> " => suggestions : None
24 Typographie : points de suspension. Utilisez le caractère dédié. [[125:128]] =>   * Si vous souhaitez formater complètement la clé USB, aller dans le menu en haut à droite et choisissez "Formater le disque...". Une boite s'ouvre avec 2 options à laisser par défaut dans les cas habituels et cliquer sur Formater. Évidemment, "formater" efface toutes vos données ! <|> ... => suggestions : None
24 Guillemets typographiques fermants. [[128:129]] =>   * Si vous souhaitez formater complètement la clé USB, aller dans le menu en haut à droite et choisissez "Formater le disque...". Une boite s'ouvre avec 2 options à laisser par défaut dans les cas habituels et cliquer sur Formater. Évidemment, "formater" efface toutes vos données ! <|> " => suggestions : None
24 Guillemets typographiques ouvrants. [[245:246]] =>   * Si vous souhaitez formater complètement la clé USB, aller dans le menu en haut à droite et choisissez "Formater le disque...". Une boite s'ouvre avec 2 options à laisser par défaut dans les cas habituels et cliquer sur Formater. Évidemment, "formater" efface toutes vos données ! <|> " => suggestions : None
24 Guillemets typographiques fermants. [[254:255]] =>   * Si vous souhaitez formater complètement la clé USB, aller dans le menu en haut à droite et choisissez "Formater le disque...". Une boite s'ouvre avec 2 options à laisser par défaut dans les cas habituels et cliquer sur Formater. Évidemment, "formater" efface toutes vos données ! <|> " => suggestions : None

31 Accord de genre erroné : « schéma » est masculin. [[61:63]] => Si vous avez formaté toute la clé, cliquer sur le **+** sous la schéma du disque. Une première fenêtre vous demande la taille de la partition : laisser la taille maximale par défaut si vous ne voulez qu'une partition (cas habituel). Cliquez sur suivant. <|> la => suggestions : None
36 Guillemets typographiques ouvrants. [[55:56]] =>   * choisir le type du système de fichier : par défaut "FAT" qui est le système le plus universel que saura lire Linux, Mac ou Windows. <|> " => suggestions : None
36 Guillemets typographiques fermants. [[59:60]] =>   * choisir le type du système de fichier : par défaut "FAT" qui est le système le plus universel que saura lire Linux, Mac ou Windows. <|> " => suggestions : None

40 Mot inconnu : Etape [[0:5]] => Etape 2: créer une partition (ou plusieurs) <|> etape

42 Mot inconnu : icone [[14:19]] => Cliquez sur l'icone + <|> icone

44 Espace(s) en fin de ligne à supprimer. [[63:64]] => Choisir le type FAT pour être compatible avec tous les systèmes  <|>   => suggestions : None

48 Mot inconnu : réouvrir [[38:46]] => Si l'application Disques se ferme, la réouvrir <|> réouvrir

52 Mot inconnu : Etape [[0:5]] => Etape 3: formater la partition <|> etape

54 Mot inconnu : icone [[14:19]] => Cliquez sur l'icone paramètres puis "Formater la partition" <|> icone
54 Guillemets typographiques ouvrants. [[36:37]] => Cliquez sur l'icone paramètres puis "Formater la partition" <|> " => suggestions : None
54 Guillemets typographiques fermants. [[58:59]] => Cliquez sur l'icone paramètres puis "Formater la partition" <|> " => suggestions : None

60 Mot inconnu : Gparted [[4:11]] => ====Gparted==== <|> gparted

68 Mot inconnu : Partitionmanager [[15:31]] => Pour accéder à Partitionmanager sous Kubuntu allez dans le menu //K ->Applications → Système → Éditeur de partitions//. Laissez-vous guider par l'interface. Vous devriez reconnaître la clef à sa taille, avec souvent un nom de type sdXX. <|> partitionmanager
68 Mot inconnu : sdXX [[231:235]] => Pour accéder à Partitionmanager sous Kubuntu allez dans le menu //K ->Applications → Système → Éditeur de partitions//. Laissez-vous guider par l'interface. Vous devriez reconnaître la clef à sa taille, avec souvent un nom de type sdXX. <|> sdxx

76 Mot inconnu : fdisk [[8:13]] => ===Avec fdisk=== <|> fdisk
141 Mot inconnu : Disk [[175:179]] => L'exemple ci-dessus est assez simple, il correspond à une installation qui ne comporte qu'un seul disque dur /dev/sda et deux clés USB, la première identifiée par « USB Flash Disk » et la seconde par « Chinese 2000 ». La taille du support qui permet de le repérer. En cas de doute retirer (proprement) la clé, lancer la commande, remettre la clé, lancer à nouveau la commande : par déduction, la clé à formater correspondra à la partition apparaissant dans la liste lors du second appel à fdisk et absente lors du premier lancement de la commande fdisk -l. <|> disk
141 Mot inconnu : Chinese [[202:209]] => L'exemple ci-dessus est assez simple, il correspond à une installation qui ne comporte qu'un seul disque dur /dev/sda et deux clés USB, la première identifiée par « USB Flash Disk » et la seconde par « Chinese 2000 ». La taille du support qui permet de le repérer. En cas de doute retirer (proprement) la clé, lancer la commande, remettre la clé, lancer à nouveau la commande : par déduction, la clé à formater correspondra à la partition apparaissant dans la liste lors du second appel à fdisk et absente lors du premier lancement de la commande fdisk -l. <|> chinese
141 Mot inconnu : fdisk [[489:494]] => L'exemple ci-dessus est assez simple, il correspond à une installation qui ne comporte qu'un seul disque dur /dev/sda et deux clés USB, la première identifiée par « USB Flash Disk » et la seconde par « Chinese 2000 ». La taille du support qui permet de le repérer. En cas de doute retirer (proprement) la clé, lancer la commande, remettre la clé, lancer à nouveau la commande : par déduction, la clé à formater correspondra à la partition apparaissant dans la liste lors du second appel à fdisk et absente lors du premier lancement de la commande fdisk -l. <|> fdisk
