
9 Mot inconnu : deb => ===== Intérêt d'un dépôt local de paquets deb ===== | deb

11 Mot inconnu : deb => Il existe plusieurs situations dans lesquelles il est particulièrement intéressant de créer un dépôt local de logiciels sous forme binaire en **.deb** comme : | deb

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une installation sur une machine dépourvue de connexion internet ; |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une installation sur une machine avec une connexion internet lente 56K par simple modem RTC ; |    => suggestions : ['']
13 Avec une unité de mesure, mettez un espace insécable. =>   * une installation sur une machine avec une connexion internet lente 56K par simple modem RTC ; | 56k => suggestions : ['56\xa0K']
13 Mot inconnu : RTC =>   * une installation sur une machine avec une connexion internet lente 56K par simple modem RTC ; | rtc

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une install-party où il y a beaucoup de machines à installer en même temps avec une connexion internet haut-débit pas suffisamment rapide. |    => suggestions : ['']
14 Mot inconnu : install-party =>   * une install-party où il y a beaucoup de machines à installer en même temps avec une connexion internet haut-débit pas suffisamment rapide. | install-party

16 Accord avec la forme verbale “sont” : “présent” devrait être au pluriel. => Dans tous les cas, cette technique permet d'éviter de télécharger sur internet des paquets qui sont déjà présent localement dans au moins une machine correctement installée de façon traditionnelle via le net. | présent => suggestions : ['présents']

24 Mot inconnu : dpkg-scanpackages => L'utilitaire //dpkg-scanpackages// dont vous aurez besoin sur la machine serveur est disponible dans le paquet **[[apt>dpkg-dev]]**. | dpkg-scanpackages
24 Mot inconnu : dpkg-dev => L'utilitaire //dpkg-scanpackages// dont vous aurez besoin sur la machine serveur est disponible dans le paquet **[[apt>dpkg-dev]]**. | dpkg-dev

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez votre machine de façon traditionnelle via Internet haut-débit en utilisant un fichier **sources.list** classique et pensez à mettre tous les logiciels nécessaires. |    => suggestions : ['']
30 Mot inconnu : list =>   * Installez votre machine de façon traditionnelle via Internet haut-débit en utilisant un fichier **sources.list** classique et pensez à mettre tous les logiciels nécessaires. | list

32 Mot inconnu : deb => Une fois terminé, jetez un œil dans ce dossier pour vérifier que tous les paquets sont bien là sous forme de fichier **.deb** : | deb
36 Mot inconnu : apache2 => <note important>Il faudra installer le serveur web **[[apt>apache2]]** pour permettre une connexion locale en réseau intranet.</note> | apache2

40 Mot inconnu : deb => Dans mon exemple, je crée un dossier local qui contiendra les paquets **.deb** dans Apache2 et appelé ubuntu_local. | deb
40 Mot inconnu : Apache2 => Dans mon exemple, je crée un dossier local qui contiendra les paquets **.deb** dans Apache2 et appelé ubuntu_local. | apache2
40 Mot inconnu : ubuntu_local => Dans mon exemple, je crée un dossier local qui contiendra les paquets **.deb** dans Apache2 et appelé ubuntu_local. | ubuntu_local

47 Mot inconnu : dpkg-scanpackages => (La commande //dpkg-scanpackages// n'est disponible qu'après installation paquet [[apt>dpkg-dev]].) | dpkg-scanpackages
47 Mot inconnu : dpkg-dev => (La commande //dpkg-scanpackages// n'est disponible qu'après installation paquet [[apt>dpkg-dev]].) | dpkg-dev

49 Mot inconnu : Apache2 => À ce stade, votre serveur est presque prêt, il faut juste configurer votre machine pour dire que n'importe qui pourra aller chercher ces paquets via le serveur Apache2. \\ | apache2

58 Mot inconnu : ip_serveur => (ip_serveur sera remplacée par l'adresse IP de votre machine dans le réseau local) | ip_serveur

60 Mot inconnu : gz => Si une grande liste s'affiche avec tous les logiciels et le fichier ''//Packages.gz//'', c'est tout bon, sinon reprenez au dessus, vous avez probablement oublié quelque chose... | gz
60 Il manque un trait d’union. => Si une grande liste s'affiche avec tous les logiciels et le fichier ''//Packages.gz//'', c'est tout bon, sinon reprenez au dessus, vous avez probablement oublié quelque chose... | au dessus => suggestions : ['au-dessus']
60 Typographie : points de suspension. Utilisez le caractère dédié. => Si une grande liste s'affiche avec tous les logiciels et le fichier ''//Packages.gz//'', c'est tout bon, sinon reprenez au dessus, vous avez probablement oublié quelque chose... | ... => suggestions : ['…']

65 Guillemets typographiques ouvrants. => De plus, votre dépôt local sera toujours "à jour". | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => De plus, votre dépôt local sera toujours "à jour". | " => suggestions : ['\xa0»', '”']

67 Mot inconnu : dpkg-scanpackages => Un dpkg-scanpackages reste cependant nécessaire car apt cherche un listing des paquets disponibles dans le dépôt, listing contenu dans  le fichier ''//Packages.gz//''. En l'absence de ce fichier, apt retourne une erreur. | dpkg-scanpackages
67 Espace(s) surnuméraire(s) à supprimer. => Un dpkg-scanpackages reste cependant nécessaire car apt cherche un listing des paquets disponibles dans le dépôt, listing contenu dans  le fichier ''//Packages.gz//''. En l'absence de ce fichier, apt retourne une erreur. |    => suggestions : [' ']
67 Mot inconnu : gz => Un dpkg-scanpackages reste cependant nécessaire car apt cherche un listing des paquets disponibles dans le dépôt, listing contenu dans  le fichier ''//Packages.gz//''. En l'absence de ce fichier, apt retourne une erreur. | gz

69 Mot inconnu : gz => La page **http://ip_serveur/ubuntu_local/** ouverte dans votre navigateur doit afficher le fichier ''//Packages.gz//'' en plus des paquets .deb du dossier ''//archives/ //''. | gz
69 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => La page **http://ip_serveur/ubuntu_local/** ouverte dans votre navigateur doit afficher le fichier ''//Packages.gz//'' en plus des paquets .deb du dossier ''//archives/ //''. |  . => suggestions : ['. ', '.']
69 Mot inconnu : deb => La page **http://ip_serveur/ubuntu_local/** ouverte dans votre navigateur doit afficher le fichier ''//Packages.gz//'' en plus des paquets .deb du dossier ''//archives/ //''. | deb

78 Mot inconnu : list => Sur la machine cliente, vous venez de faire une installation classique d'Ubuntu, le réseau fonctionne, il vous suffit maintenant de mettre au point un fichier **sources.list** qui se connecte sur votre serveur local. Pour cela : | list

82 Mot inconnu : deb => deb http://192.168.0.4/ubuntu_local ./</code> | deb
87 Il manque un espace. => À noter que certains paquets peuvent avoir dans leurs noms de fichier les caractères « **%3a** », ce qui renvoie une erreur avec ''//apt-get upgrade//'' ou autres, dans ce cas il suffit de renommer les paquets en remplaçant « %3a » par « **:** ». | 3a => suggestions : [' 3a']
87 Mot inconnu : apt-get => À noter que certains paquets peuvent avoir dans leurs noms de fichier les caractères « **%3a** », ce qui renvoie une erreur avec ''//apt-get upgrade//'' ou autres, dans ce cas il suffit de renommer les paquets en remplaçant « %3a » par « **:** ». | apt-get
87 Il manque un espace. => À noter que certains paquets peuvent avoir dans leurs noms de fichier les caractères « **%3a** », ce qui renvoie une erreur avec ''//apt-get upgrade//'' ou autres, dans ce cas il suffit de renommer les paquets en remplaçant « %3a » par « **:** ». | 3a => suggestions : [' 3a']

91 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Installation locale à partir de fichiers .deb sur CD-ROM, DVD-ROM, clé USB ou disque dur amovible externe ===== |  . => suggestions : ['. ', '.']
91 Mot inconnu : deb => ===== Installation locale à partir de fichiers .deb sur CD-ROM, DVD-ROM, clé USB ou disque dur amovible externe ===== | deb

93 Accord de genre erroné : « sources » est féminin. => il suffit en fait de rajouter cela dans son sources.list : | son => suggestions : ['sa']
93 Accord de genre erroné : « son » est un déterminant masculin. => il suffit en fait de rajouter cela dans son sources.list : | sources => suggestions : ['sourcé']
93 Mot inconnu : list => il suffit en fait de rajouter cela dans son sources.list : | list

96 Typographie : points de suspension. Utilisez le caractère dédié. => Ici le dépôt se trouve sur un disque dur externe... Mais il suffit d'adapter pour un CD-Rom ou autre support... | ... => suggestions : ['…']
96 Typographie : points de suspension. Utilisez le caractère dédié. => Ici le dépôt se trouve sur un disque dur externe... Mais il suffit d'adapter pour un CD-Rom ou autre support... | ... => suggestions : ['…']

100 Mot inconnu : FIXME => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | fixme
100 Mot inconnu : TODO => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | todo
100 Guillemets typographiques ouvrants. => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : autorun => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | autorun
100 Guillemets typographiques fermants. => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | " => suggestions : ['\xa0»', '”']
100 Mot inconnu : Synaptic => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | synaptic
100 Mot inconnu : adept => FIXME //TODO : faire un CD/DVD "autorun" qui est reconnu directement par Synaptic ou adept.// | adept
102 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Autre solution : comment installer un .deb via Synaptic ===== |  . => suggestions : ['. ', '.']
102 Mot inconnu : deb => ===== Autre solution : comment installer un .deb via Synaptic ===== | deb
102 Mot inconnu : Synaptic => ===== Autre solution : comment installer un .deb via Synaptic ===== | synaptic
104 Mot inconnu : dpkg-dev => //(Ne pas oublier que le paquet// [[apt>dpkg-dev]] //est pré-requis.)// | dpkg-dev

106 Mot inconnu : deb => Dans l'exemple qui suit, nous supposons que vous voulez avoir les **.deb** dans le répertoire  ''//~/monDepot/ //'' | deb
106 Espace(s) surnuméraire(s) à supprimer. => Dans l'exemple qui suit, nous supposons que vous voulez avoir les **.deb** dans le répertoire  ''//~/monDepot/ //'' |    => suggestions : [' ']
106 Mot inconnu : monDepot => Dans l'exemple qui suit, nous supposons que vous voulez avoir les **.deb** dans le répertoire  ''//~/monDepot/ //'' | mondepot

109 Mot inconnu : mkdir => mkdir -p monDepot/</code> | mkdir
109 Il manque un espace à côté du tiret. => mkdir -p monDepot/</code> |  - => suggestions : [' – ', ' — ']
109 Mot inconnu : monDepot => mkdir -p monDepot/</code> | mondepot

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copiez votre **.deb** dans ''//~/monDepot/ //''. |    => suggestions : ['']
110 Mot inconnu : deb =>   * Copiez votre **.deb** dans ''//~/monDepot/ //''. | deb
110 Mot inconnu : monDepot =>   * Copiez votre **.deb** dans ''//~/monDepot/ //''. | mondepot

114 Mot inconnu : monDepot => Dans le répertoire ''//~/monDepot/ //'', vous aurez besoin d'un fichier ''//Packages.gz//''. \\ | mondepot
114 Mot inconnu : gz => Dans le répertoire ''//~/monDepot/ //'', vous aurez besoin d'un fichier ''//Packages.gz//''. \\ | gz

116 Mot inconnu : gedit => gedit miseAjour.sh</code> | gedit
116 Mot inconnu : miseAjour => gedit miseAjour.sh</code> | miseajour
116 Mot inconnu : sh => gedit miseAjour.sh</code> | sh

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/bash |    => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/monDepot/ |    => suggestions : ['']
121 Mot inconnu : monDepot =>   cd ~/monDepot/ | mondepot

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz |    => suggestions : ['']
122 Mot inconnu : dpkg-scanpackages =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz | dpkg-scanpackages
122 Pas d’espace avant un point. =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz |  . => suggestions : ['.']
122 Mot inconnu : gzip =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz | gzip
122 Il manque un espace à côté du tiret. =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz |  - => suggestions : [' – ', ' — ']
122 Mot inconnu : gz =>   dpkg-scanpackages . /dev/null |gzip -9c > Packages.gz | gz

125 Mot inconnu : gedit => Quittez gedit (en sauvegardant). Il faut que le script soit exécutable, c'est-à-dire qu'il ait l'attribut **x** : | gedit

127 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. => Chaque fois que vous allez lancerez ce script, le fichier ''//Packages.gz//'' sera mis à jour. | lancerez => suggestions : ['lancer']
127 Mot inconnu : gz => Chaque fois que vous allez lancerez ce script, le fichier ''//Packages.gz//'' sera mis à jour. | gz

130 Mot inconnu : Synaptic => Dans le menu de Synaptic, aller dans //Configuration/// > //Dépôts//, puis //Autres logiciels// et //Ajouter// (Ligne APT) : | synaptic

133 Mot inconnu : Synaptic => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | synaptic
133 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  |  . => suggestions : ['. ', '.']
133 Mot inconnu : deb => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | deb
133 Mot inconnu : Synaptic => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | synaptic
133 Mot inconnu : deb => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | deb
