
3 Mot inconnu : bootable => ====== Créer une clé USB bootable de Windows (7, 8 ou 10) ====== | bootable

7 Guillemets typographiques ouvrants. => Ce tutoriel décrit les logiciels à installer et la démarche à suivre pour la création depuis Ubuntu d'une clé "bootable"  de Windows 7, 8 ou 10 en vue de son installation.  | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : bootable => Ce tutoriel décrit les logiciels à installer et la démarche à suivre pour la création depuis Ubuntu d'une clé "bootable"  de Windows 7, 8 ou 10 en vue de son installation.  | bootable
7 Guillemets typographiques fermants. => Ce tutoriel décrit les logiciels à installer et la démarche à suivre pour la création depuis Ubuntu d'une clé "bootable"  de Windows 7, 8 ou 10 en vue de son installation.  | " => suggestions : ['\xa0»', '”']
7 Espace(s) en fin de ligne à supprimer. => Ce tutoriel décrit les logiciels à installer et la démarche à suivre pour la création depuis Ubuntu d'une clé "bootable"  de Windows 7, 8 ou 10 en vue de son installation.  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée; |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une clé USB de capacité suffisante pour accueillir votre version de Windows;  |    => suggestions : ['']
13 Espace(s) en fin de ligne à supprimer. =>   * Avoir une clé USB de capacité suffisante pour accueillir votre version de Windows;  |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Permettre à votre ordinateur de démarrer via un périphérique USB (voir dans votre [[modifier_ordre_amorcage_du_bios|bios]]). |    => suggestions : ['']
14 Mot inconnu : modifier_ordre_amorcage_du_bios =>   * Permettre à votre ordinateur de démarrer via un périphérique USB (voir dans votre [[modifier_ordre_amorcage_du_bios|bios]]). | modifier_ordre_amorcage_du_bios

