
5 Mot inconnu : __ => <note>__**Installation standard d'Ubuntu**__ | __
5 Mot inconnu : __ => <note>__**Installation standard d'Ubuntu**__ | __

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[tutoriel:obtenir_cd_ubuntu|Obtention du média d'installation d'Ubuntu]] |    => suggestions : ['']
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[tutoriel:obtenir_cd_ubuntu|Obtention du média d'installation d'Ubuntu]] |  -  => suggestions : [' – ', ' — ', ' − ']
6 Il manque un espace. =>   - [[tutoriel:obtenir_cd_ubuntu|Obtention du média d'installation d'Ubuntu]] | obtenir_cd_ubuntu => suggestions : [' obtenir_cd_ubuntu']
6 Mot inconnu : obtenir_cd_ubuntu =>   - [[tutoriel:obtenir_cd_ubuntu|Obtention du média d'installation d'Ubuntu]] | obtenir_cd_ubuntu

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Vérifier l'intégrité de l'image du média d'installation téléchargée** |      => suggestions : ['']

17 Guillemets fermants. => Une image ISO d'Ubuntu est un très gros fichier. De fait, il est tout à fait possible que des erreurs se soient introduites dans ce fichier ".iso". Ces erreurs sont généralement de deux types: |  " => suggestions : ['\xa0»', '”']
17 Mot inconnu : iso => Une image ISO d'Ubuntu est un très gros fichier. De fait, il est tout à fait possible que des erreurs se soient introduites dans ce fichier ".iso". Ces erreurs sont généralement de deux types: | iso
17 Guillemets typographiques fermants. => Une image ISO d'Ubuntu est un très gros fichier. De fait, il est tout à fait possible que des erreurs se soient introduites dans ce fichier ".iso". Ces erreurs sont généralement de deux types: | " => suggestions : ['\xa0»', '”']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * des données perdues durant le transfert entre la source du fichier et votre ordinateur, |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un fichier qui a été modifié. Si vous ne récupérez pas une image ISO d'Ubuntu depuis une source officielle //(c'est possible et tout à fait légal, voire encouragé)//, vous pourriez télécharger une version d'Ubuntu qui a été modifiée inopinément. |    => suggestions : ['']
19 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * un fichier qui a été modifié. Si vous ne récupérez pas une image ISO d'Ubuntu depuis une source officielle //(c'est possible et tout à fait légal, voire encouragé)//, vous pourriez télécharger une version d'Ubuntu qui a été modifiée inopinément. | un => suggestions : ['Un']

30 Mot inconnu : SHA256 => Vous trouverez les empreintes SHA256 sur la page de téléchargement de l'ISO. | sha256

