
5 Mot inconnu : lexmark-08z-series => ======Installer le pilote lexmark-08z-series====== | lexmark-08z-series

6 Mot inconnu : lexmark-08z-series => Ce tutoriel a pour but de vous montrer comment installer le pilote **lexmark-08z-series**. Ce n'est pas une manipulation simple, la raison en est le fait que Lexmark ne mets pas à jour ses pilotes pour les versions récentes d'Ubuntu. | lexmark-08z-series
6 Mot inconnu : Lexmark => Ce tutoriel a pour but de vous montrer comment installer le pilote **lexmark-08z-series**. Ce n'est pas une manipulation simple, la raison en est le fait que Lexmark ne mets pas à jour ses pilotes pour les versions récentes d'Ubuntu. | lexmark

9 Mot inconnu : Lexmark => Consultez la liste des imprimantes Lexmark pour savoir si votre imprimante est supportée par ce pilote propriétaire fourni par Lexmark. | lexmark
9 Mot inconnu : Lexmark => Consultez la liste des imprimantes Lexmark pour savoir si votre imprimante est supportée par ce pilote propriétaire fourni par Lexmark. | lexmark

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer des droits d'administration, |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à internet configurée et activée, |    => suggestions : ['']
12 Accord de genre erroné avec « internet ». =>   * Disposer d'une connexion à internet configurée et activée, | configurée => suggestions : ['configuré']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pour Ubuntu 18.04 LTS et versions suivantes :** |    => suggestions : ['']
13 Mot inconnu : LTS =>   * **Pour Ubuntu 18.04 LTS et versions suivantes :** | lts

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pour Ubuntu 16.04 et suivantes :** |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Avoir installé les paquets **[[apt>xzdec,xz-utils]]** |      => suggestions : ['']
16 Mot inconnu : xzdec =>     * Avoir installé les paquets **[[apt>xzdec,xz-utils]]** | xzdec
16 Il manque un espace. =>     * Avoir installé les paquets **[[apt>xzdec,xz-utils]]** | xz-utils => suggestions : [' xz-utils']
16 Mot inconnu : xz-utils =>     * Avoir installé les paquets **[[apt>xzdec,xz-utils]]** | xz-utils

22 Mot inconnu : suivates => **Pour Ubuntu 18.04 et suivates :** | suivates

28 Mot inconnu : Lexmark => Le pilote est disponible au téléchargement sur le [[http://downloads.lexmark.com/downloads/cpd/lexmark-08z-series-driver-1.0-1.i386.deb.sh.tar.gz|site de Lexmark]]. | lexmark

34 Guillemets typographiques ouvrants. => Avant d'installer le pilote, il va falloir modifier le fichier ''control'' du paquet **deb**. Pour cela suivez les instructions détaillées qui suivent : | '' => suggestions : ['«\xa0', '“']
34 Mot inconnu : control => Avant d'installer le pilote, il va falloir modifier le fichier ''control'' du paquet **deb**. Pour cela suivez les instructions détaillées qui suivent : | control
34 Guillemets typographiques fermants. => Avant d'installer le pilote, il va falloir modifier le fichier ''control'' du paquet **deb**. Pour cela suivez les instructions détaillées qui suivent : | '' => suggestions : ['\xa0»', '”']
34 Mot inconnu : deb => Avant d'installer le pilote, il va falloir modifier le fichier ''control'' du paquet **deb**. Pour cela suivez les instructions détaillées qui suivent : | deb

42 Mot inconnu : sed => sed -i "/^ $/d" lexmark-archive/DEBIAN/control</code> | sed
42 Il manque un espace à côté du tiret. => sed -i "/^ $/d" lexmark-archive/DEBIAN/control</code> |  - => suggestions : [' – ', ' — ']
42 Guillemets typographiques fermants. => sed -i "/^ $/d" lexmark-archive/DEBIAN/control</code> | " => suggestions : ['\xa0»', '”']
42 Mot inconnu : lexmark-archive => sed -i "/^ $/d" lexmark-archive/DEBIAN/control</code> | lexmark-archive
42 Mot inconnu : control => sed -i "/^ $/d" lexmark-archive/DEBIAN/control</code> | control

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

50 Mot inconnu : apparmor => ====Correction du fichier de configuration apparmor==== | apparmor

53 Mot inconnu : Apparmor => Le fichier d'installation a modifié un fichier de configuration du système de protection Apparmor, mais ce fichier contient désormais une erreur de syntaxe ! | apparmor

54 Guillemets typographiques ouvrants. => L'exécution de la ligne ''sudo dpkg...'' à l'étape précédente vous a normalement donné un message vous informant d'une erreur à la **ligne 196** du fichier **/etc/apparmor.d/usr.sbin.cupsd**. | '' => suggestions : ['«\xa0', '“']
