
6 Mot inconnu : RESCUE => ====== Utiliser le mode RESCUE sur un Power PC ====== | rescue
6 Mot inconnu : Power => ====== Utiliser le mode RESCUE sur un Power PC ====== | power
9 Mot inconnu : alternate => Le Cdrom d'installation (**alternate**) pour PowerPC propose un mode particulier de démarrage:  **rescue**. | alternate
9 Mot inconnu : PowerPC => Le Cdrom d'installation (**alternate**) pour PowerPC propose un mode particulier de démarrage:  **rescue**. | powerpc
9 Espace(s) surnuméraire(s) à supprimer. => Le Cdrom d'installation (**alternate**) pour PowerPC propose un mode particulier de démarrage:  **rescue**. |    => suggestions : [' ']
9 Mot inconnu : rescue => Le Cdrom d'installation (**alternate**) pour PowerPC propose un mode particulier de démarrage:  **rescue**. | rescue

35 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Dans l'exemple ci-dessus la 4ème partition est la partition racine d'Ubuntu. Si vous vous trompez un message d'avertissement vous dira qu'il ne peut monter cette partition, | 4ème => suggestions : ['4ᵉ']

41 Élision de l’article devant un mot commençant par une voyelle. => ==== Restauration de yaboot ==== | de  => suggestions : ['d’']
41 Mot inconnu : yaboot => ==== Restauration de yaboot ==== | yaboot

42 S’il s’agit d’un impératif, mettez un trait d’union. => Choisissez la //Réinstallation du programme de démarrage Yaboot// et suivez les instructions. | choisissez la => suggestions : ['Choisissez-la']
42 Mot inconnu : Yaboot => Choisissez la //Réinstallation du programme de démarrage Yaboot// et suivez les instructions. | yaboot

44 Mot inconnu : FIXME => FIXME | fixme

45 Mot inconnu : éxécution => Ou en passant par l'éxécution d'un shell (première option): | éxécution

75 Mot inconnu : multi-boot => === Restauration multi-boot === | multi-boot

77 Élision de l’article devant un mot commençant par une voyelle. => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | le  => suggestions : ['l’']
77 Mot inconnu : yaboot => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | yaboot
77 Il manque un espace. => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | conf => suggestions : [' conf']
77 Mot inconnu : multi-boot => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | multi-boot
77 Mot inconnu : OF => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | of
77 Mot inconnu : alt => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | alt
77 Mot inconnu : multi-boot => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | multi-boot
77 Mot inconnu : boot => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | boot
77 Mot inconnu : bootstrap => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    | bootstrap
77 Espace(s) en fin de ligne à supprimer. => Il est possible que vous ne remarquiez aucune anomalie dans le yaboot.conf. Une solution simple consiste à vérifier que l'Open Firmware ne soit plus en mode multi-boot. Pour le restaurer, il vous faut démarrer en OF (alt + pomme + O + F) et taper multi-boot dans le prompt. Après une lecture de vos volumes il vous est proposé un choix de disque de boot; il suffit de choisir le bootstrap.    |     => suggestions : ['']
