
7 Mot inconnu : Heyu => Heyu permet de piloter le module CM11A. | heyu
7 Mot inconnu : CM11A => Heyu permet de piloter le module CM11A. | cm11a

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install -y linux-headers-`uname -r` build-essential |    => suggestions : ['']
11 Mot inconnu : sudo =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | sudo
11 Mot inconnu : apt-get =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | apt-get
11 Mot inconnu : install =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | install
11 Il manque un espace à côté du tiret. =>   sudo apt-get install -y linux-headers-`uname -r` build-essential |  - => suggestions : [' – ', ' — ']
11 Mot inconnu : linux-headers =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | linux-headers
11 Mot inconnu : uname =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | uname
11 Il manque un espace à côté du tiret. =>   sudo apt-get install -y linux-headers-`uname -r` build-essential |  - => suggestions : [' – ', ' — ']
11 Mot inconnu : build-essential =>   sudo apt-get install -y linux-headers-`uname -r` build-essential | build-essential

14 Mot inconnu : Heyu => Heyu n'est pas livré avec Ubuntu, il faut l'installer manuellement. | heyu

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Décompressez l'archive |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déplacez vous dans le dossier décompréssé, |    => suggestions : ['']
17 Forme interrogative ? Mettez un trait d’union. =>   * Déplacez vous dans le dossier décompréssé, | déplacez vous => suggestions : ['Déplacez-vous']
17 Mot inconnu : décompréssé =>   * Déplacez vous dans le dossier décompréssé, | décompréssé

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez la [[compilation]], avec les commandes habituelles : |    => suggestions : ['']
18 S’il s’agit d’un impératif, mettez un trait d’union. =>   * Lancez la [[compilation]], avec les commandes habituelles : | lancez la => suggestions : ['Lancez-la']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./Configure |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
21 Mot inconnu : make =>   make | make

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make install |    => suggestions : ['']
22 Mot inconnu : sudo =>   sudo make install | sudo
22 Mot inconnu : make =>   sudo make install | make
22 Mot inconnu : install =>   sudo make install | install

24 Accord de nombre erroné : « questions » est au pluriel. => Répondre au questions posées pendant l'installation : | au => suggestions : ['aux']
24 Accord de nombre erroné : « questions » devrait être au singulier. => Répondre au questions posées pendant l'installation : | questions => suggestions : []

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Where would you like the sample Heyu configuration file installed? |    => suggestions : ['']
26 Mot inconnu : Where =>   Where would you like the sample Heyu configuration file installed? | where
26 Mot inconnu : would =>   Where would you like the sample Heyu configuration file installed? | would
26 Mot inconnu : you =>   Where would you like the sample Heyu configuration file installed? | you
26 Mot inconnu : the =>   Where would you like the sample Heyu configuration file installed? | the
26 Mot inconnu : Heyu =>   Where would you like the sample Heyu configuration file installed? | heyu
26 Mot inconnu : installed =>   Where would you like the sample Heyu configuration file installed? | installed

