
5 Mot inconnu : MBR => ====== Comment sauvegarder son MBR ? ====== | mbr

13 Mot inconnu : MBR => ===== Qu'est-ce que le MBR ? ===== | mbr

15 Mot inconnu : PCs => Pour les PCs partitionnés en Ms-Dos seulement. | pcs

17 Mot inconnu : MBR => Le MBR est le premier secteur du disque. On trouve aussi au début de chaque partition étendue un EBR qui est son équivalent pour décrire les partitions logiques emboîtées.  | mbr
17 Mot inconnu : EBR => Le MBR est le premier secteur du disque. On trouve aussi au début de chaque partition étendue un EBR qui est son équivalent pour décrire les partitions logiques emboîtées.  | ebr
17 Espace(s) en fin de ligne à supprimer. => Le MBR est le premier secteur du disque. On trouve aussi au début de chaque partition étendue un EBR qui est son équivalent pour décrire les partitions logiques emboîtées.  |   => suggestions : ['']

21 Mot inconnu : oot => Le //**M**aster **B**oot **R**ecord//, zone d'amorçage principale, est une zone de 512 octets découpée ainsi : | oot
21 Mot inconnu : ecord => Le //**M**aster **B**oot **R**ecord//, zone d'amorçage principale, est une zone de 512 octets découpée ainsi : | ecord

30 Mot inconnu : MBR => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | mbr
30 Typographie : points de suspension. Utilisez le caractère dédié. => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | ... => suggestions : ['…']
30 Guillemets typographiques ouvrants. => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | " => suggestions : ['\xa0»', '”']
30 Mot inconnu : MBR => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | mbr
30 Mot inconnu : MBR => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | mbr
30 Mot inconnu : bootloader => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | bootloader
30 Mot inconnu : MBR => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | mbr
30 Guillemets typographiques ouvrants. => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => Dans certains cas (manipulation hasardeuse des partitions, extinction brutale lors d'un redimensionnement, virus de MBR attrapé avec un autre OS...) il arrive de perdre ces informations. Dans le meilleur des cas, une ou plusieurs partitions sont inaccessibles. Dans le pire des cas, le disque apparaît comme "non formaté". Il `//suffit//` alors d'écrire à nouveau ce MBR en lieu et place de celui qui est corrompu. Encore faut-il en avoir fait une copie avant. Nous vous proposons donc ici de sauvegarder le MBR au complet, et les commandes de restauration permettant de ne restaurer que le bootloader, que la table de partitions, ou tout le MBR. Il est évident qu'un fichier de sauvegarde de ce type ne doit pas être conservé sur le disque qu'il faudrait "réparer", mais sur un autre support de sauvegarde (CD, clé USB, etc). | " => suggestions : ['\xa0»', '”']

32 Mot inconnu : MBR => =====Procédure de sauvegarde du MBR et de la table de partition complète ===== | mbr

52 Mot inconnu : MBR => ===== Procédure de restauration du MBR ===== | mbr

54 Mot inconnu : MBR => Cette procédure restaure le MBR sans restaurer la table de partition. | mbr

68 Mot inconnu : dmp => ==== Si vous disposez d'une sauvegarde de table de partitions complète (.dmp) ==== | dmp

74 Mot inconnu : MBR => ==== Si vous disposez d'une sauvegarde de MBR (.img) ==== | mbr
74 Mot inconnu : img => ==== Si vous disposez d'une sauvegarde de MBR (.img) ==== | img
