
5 Mot inconnu : GDM => ====== Personnaliser l'arrière-plan de GDM ====== | gdm

11 Mot inconnu : GDM => <note warning>GDM n'a pas été conçu d'une manière facilement configurable. Les manipulations qui vont suivre sont par conséquent risquées pour votre système. Faites attention à : | gdm

17 Mot inconnu : __réinitialiser__ => <note important>Les mises à jour de GNOME Shell vont systématiquement __réinitialiser__ vos configurations : il faudra alors les refaire. | __réinitialiser__

32 Mot inconnu : GDM => À partir d'Ubuntu 17.10, le thème de GDM est modifié par les développeurs d'Ubuntu afin d'assurer une cohérence visuelle avec la session "Ubuntu" par défaut((https://didrocks.fr/2017/09/11/ubuntu-gnome-shell-in-artful-day-11/)). | gdm
32 Guillemets typographiques ouvrants. => À partir d'Ubuntu 17.10, le thème de GDM est modifié par les développeurs d'Ubuntu afin d'assurer une cohérence visuelle avec la session "Ubuntu" par défaut((https://didrocks.fr/2017/09/11/ubuntu-gnome-shell-in-artful-day-11/)). | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => À partir d'Ubuntu 17.10, le thème de GDM est modifié par les développeurs d'Ubuntu afin d'assurer une cohérence visuelle avec la session "Ubuntu" par défaut((https://didrocks.fr/2017/09/11/ubuntu-gnome-shell-in-artful-day-11/)). | " => suggestions : ['\xa0»', '”']
32 Il manque un espace avant la parenthèse. => À partir d'Ubuntu 17.10, le thème de GDM est modifié par les développeurs d'Ubuntu afin d'assurer une cohérence visuelle avec la session "Ubuntu" par défaut((https://didrocks.fr/2017/09/11/ubuntu-gnome-shell-in-artful-day-11/)). | ( => suggestions : [' (']
34 Guillemets typographiques ouvrants. => <note tip>Si vous installez le paquet [[apt>gnome-session]], il est possible de récupérer le thème par défaut "gris-bleu" de GDM en lançant la commande suivante **en tant qu'administrateur** : | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. => <note tip>Si vous installez le paquet [[apt>gnome-session]], il est possible de récupérer le thème par défaut "gris-bleu" de GDM en lançant la commande suivante **en tant qu'administrateur** : | " => suggestions : ['\xa0»', '”']
34 Mot inconnu : GDM => <note tip>Si vous installez le paquet [[apt>gnome-session]], il est possible de récupérer le thème par défaut "gris-bleu" de GDM en lançant la commande suivante **en tant qu'administrateur** : | gdm

38 Mot inconnu : GDM => En fonction de si vous utilisez (ou non) un thème GDM "violet-orange", les manipulations vont différer : | gdm
38 Guillemets typographiques ouvrants. => En fonction de si vous utilisez (ou non) un thème GDM "violet-orange", les manipulations vont différer : | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => En fonction de si vous utilisez (ou non) un thème GDM "violet-orange", les manipulations vont différer : | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : GDM => ===== GDM 3.36 ==== | gdm

42 Mot inconnu : ubuntu-change-gdm-background => [[https://github.com/Amiralgaby/ubuntu-change-gdm-background/archive/master.zip|Téléchargez le zip]] puis dézippez-le ou clonez le dépôt [[https://github.com/Amiralgaby/ubuntu-change-gdm-background|ubuntu-change-gdm-background (GitHub)]]. | ubuntu-change-gdm-background
42 Mot inconnu : GitHub => [[https://github.com/Amiralgaby/ubuntu-change-gdm-background/archive/master.zip|Téléchargez le zip]] puis dézippez-le ou clonez le dépôt [[https://github.com/Amiralgaby/ubuntu-change-gdm-background|ubuntu-change-gdm-background (GitHub)]]. | github

44 Mot inconnu : README => L'aide d'utilisation des scripts se trouve dans le fichier README.md ou sur la page du dépôt ci-dessus. | readme
44 Mot inconnu : md => L'aide d'utilisation des scripts se trouve dans le fichier README.md ou sur la page du dépôt ci-dessus. | md

48 Mot inconnu : sudo => Ainsi, il suffit de lancer la commande avec sudo : | sudo

55 Guillemets typographiques ouvrants. => Sur l'écran de connexion il y a un filigrane/logo "Ubuntu".\\  | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. => Sur l'écran de connexion il y a un filigrane/logo "Ubuntu".\\  | " => suggestions : ['\xa0»', '”']
55 Espace(s) en fin de ligne à supprimer. => Sur l'écran de connexion il y a un filigrane/logo "Ubuntu".\\  |   => suggestions : ['']

67 Mot inconnu : GDM => ===== Si votre GDM est violet-orange ===== | gdm

70 Mot inconnu : GDM => ^ Exemple de résultat obtenu (GDM 3.26) ^ | gdm

73 Mot inconnu : gdm => Par défaut, l'image utilisée par gdm est l'image noise-texture.png du thème principal (par exemple /usr/share/gnome-shell/theme/Yaru/). | gdm

81 Espace(s) en fin de ligne à supprimer. => ^ Version ^ Nom du fichier ^ Remarque ^  |   => suggestions : ['']

89 Mot inconnu : vim => Vous devez éditer (avec un éditeur de texte, vim pour les amateurs de la ligne de commande mais gedit fait aussi bien les choses en mode graphique avec | vim
89 Mot inconnu : gedit => Vous devez éditer (avec un éditeur de texte, vim pour les amateurs de la ligne de commande mais gedit fait aussi bien les choses en mode graphique avec | gedit

101 Guillemets typographiques fermants. => <note help>Le "#2c001e" correspond à la couleur, en hexadécimal, qui s'affiche si l'image est mal cadrée ou transparente, sa valeur (violet) n'est pas très importante ici. | " => suggestions : ['\xa0»', '”']

105 Mot inconnu : background-size => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | background-size
105 Mot inconnu : WIDTH => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | width
105 Mot inconnu : HEIGHT => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | height

108 Mot inconnu : GDM => ===== Si votre GDM est gris-bleu ===== | gdm

111 Mot inconnu : GDM => ^ Exemple de résultat obtenu (GDM 3.24) ^ | gdm

212 Guillemets typographiques fermants. => <note help>Le "#2e3436" correspond à la couleur, en hexadécimal, qui s'affiche si l'image est mal cadrée ou transparente, sa valeur (gris) n'est pas très importante ici. | " => suggestions : ['\xa0»', '”']

216 Mot inconnu : background-size => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | background-size
216 Mot inconnu : WIDTH => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | width
216 Mot inconnu : HEIGHT => <file css>background-size: [WIDTH]px [HEIGHT]px;</file> | height

220 Mot inconnu : libglib2 => Enfin, ouvrez un terminal pour recompiler votre thème avec les commandes suivantes (libglib2.0-dev doit être installé) : | libglib2
220 Mot inconnu : dev => Enfin, ouvrez un terminal pour recompiler votre thème avec les commandes suivantes (libglib2.0-dev doit être installé) : | dev

251 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
251 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
