
26 Mot inconnu : Grub2 => ^ Interface GNU/Grub2 ^ Écran avec 2 logos ^ <|> grub2

30 Mot inconnu : GRUB => ===Interface GNU/GRUB 2=== <|> grub
31 Mot inconnu : Check =>   * Sélectionner et valider "**Check disc for defects**". <|> check
31 Mot inconnu : disc =>   * Sélectionner et valider "**Check disc for defects**". <|> disc
31 Mot inconnu : defects =>   * Sélectionner et valider "**Check disc for defects**". <|> defects

42 Mot inconnu : MD5SUMS => //Cette méthode nécessite d'avoir téléchargé les fichiers MD5SUMS et MD5SUMS.gpg.// <|> md5sums
42 Mot inconnu : MD5SUMS => //Cette méthode nécessite d'avoir téléchargé les fichiers MD5SUMS et MD5SUMS.gpg.// <|> md5sums
42 Mot inconnu : gpg => //Cette méthode nécessite d'avoir téléchargé les fichiers MD5SUMS et MD5SUMS.gpg.// <|> gpg

44 Guillemets typographiques ouvrants. => Insérez le CD dans votre lecteur, puis effectuez un clic droit sur le CD à vérifier et cliquez sur "Vérifier le disque...". Sélectionnez le fichier MD5SUMS adéquat puis validez. <|> " => suggestions : ['«\xa0', '“']
44 Typographie : points de suspension. Utilisez le caractère dédié. => Insérez le CD dans votre lecteur, puis effectuez un clic droit sur le CD à vérifier et cliquez sur "Vérifier le disque...". Sélectionnez le fichier MD5SUMS adéquat puis validez. <|> ... => suggestions : ['…']
44 Guillemets typographiques fermants. => Insérez le CD dans votre lecteur, puis effectuez un clic droit sur le CD à vérifier et cliquez sur "Vérifier le disque...". Sélectionnez le fichier MD5SUMS adéquat puis validez. <|> " => suggestions : ['\xa0»', '”']
44 Mot inconnu : MD5SUMS => Insérez le CD dans votre lecteur, puis effectuez un clic droit sur le CD à vérifier et cliquez sur "Vérifier le disque...". Sélectionnez le fichier MD5SUMS adéquat puis validez. <|> md5sums
