
3 Mot inconnu : upload [[26:32]] => ====== Capture d'écran et upload simple sous Kde ====== <|> upload

6 Mot inconnu : Impr [[81:85]] => Ce tutoriel explique comment créer un script, qui, lors de l'appui sur la touche Impr Écran de votre clavier, va exécuter les étapes suivantes : <|> impr

18 Mot inconnu : uploader [[12:20]] => Récupérez l'uploader :  <|> uploader
18 Espace(s) en fin de ligne à supprimer. [[22:23]] => Récupérez l'uploader :  <|>   => suggestions : ['']
21 Espace(s) en fin de ligne à supprimer. [[32:33]] => Exécutez ensuite les commandes :  <|>   => suggestions : ['']
46 Espace(s) en fin de ligne à supprimer. [[35:36]] => Déplacez ce fichier dans /usr/bin :  <|>   => suggestions : ['']

56 Mot inconnu : Impr [[57:61]] => ===== Activation du script lors de l'appui sur la touche Impr Ecran ===== <|> impr
56 Mot inconnu : Ecran [[62:67]] => ===== Activation du script lors de l'appui sur la touche Impr Ecran ===== <|> ecran

58 Typographie des composés chimiques. [[6:8]] => **Alt+F2 => kcontrol** <|> f2 => suggestions : ['F₂']
58 Mot inconnu : F2 [[6:8]] => **Alt+F2 => kcontrol** <|> f2
58 Mot inconnu : kcontrol [[12:20]] => **Alt+F2 => kcontrol** <|> kcontrol

61 Mot inconnu : Ksnapshot [[22:31]] => Normalement vous avez Ksnapshot dans la liste [Action]. Cliquez dessus, puis cocher la case **Désactiver.** Allez dans **Preset Action**, puis **PrintScreen**. Dans l'onglet **Paramètre de la commande / De l'URL**, mettez //takeAScreen// dans le champ texte. <|> ksnapshot
61 Mot inconnu : Preset [[121:127]] => Normalement vous avez Ksnapshot dans la liste [Action]. Cliquez dessus, puis cocher la case **Désactiver.** Allez dans **Preset Action**, puis **PrintScreen**. Dans l'onglet **Paramètre de la commande / De l'URL**, mettez //takeAScreen// dans le champ texte. <|> preset
61 Mot inconnu : PrintScreen [[145:156]] => Normalement vous avez Ksnapshot dans la liste [Action]. Cliquez dessus, puis cocher la case **Désactiver.** Allez dans **Preset Action**, puis **PrintScreen**. Dans l'onglet **Paramètre de la commande / De l'URL**, mettez //takeAScreen// dans le champ texte. <|> printscreen
61 Mot inconnu : takeAScreen [[224:235]] => Normalement vous avez Ksnapshot dans la liste [Action]. Cliquez dessus, puis cocher la case **Désactiver.** Allez dans **Preset Action**, puis **PrintScreen**. Dans l'onglet **Paramètre de la commande / De l'URL**, mettez //takeAScreen// dans le champ texte. <|> takeascreen

64 Mot inconnu : arreter [[79:86]] => >Faites un test à ce niveau, si ça ne marche pas, continuez. Sinon vous pouvez arreter là :) <|> arreter

