
24 Mot inconnu : Ntfs-config [[9:20]] => ====Avec Ntfs-config==== <|> ntfs-config

26 Pas d’espace avant ce signe. [[104:106]] => <note tip>Cette application n'est plus disponible en version 22.04 (probablement pareil en version 20.04 )</note> <|>  ) => suggestions : )

38 Mot inconnu : ETIQUETTE [[121:130]] => <note help>Notez simplement que le choix de mettre un point de montage est impossible pour les partitions ayant déjà une ETIQUETTE/LABEL et que le point de montage doit absolument commencer par /media</note> <|> etiquette

42 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => Cliquer sur  les boutons de votre choix.  Terminer par l'appui sur le bouton **ANNULER** qui se comporte comme un bouton  **TERMINER** <|>    => suggestions :  
42 Espace(s) surnuméraire(s) à supprimer. [[40:42]] => Cliquer sur  les boutons de votre choix.  Terminer par l'appui sur le bouton **ANNULER** qui se comporte comme un bouton  **TERMINER** <|>    => suggestions :  
42 Espace(s) surnuméraire(s) à supprimer. [[120:122]] => Cliquer sur  les boutons de votre choix.  Terminer par l'appui sur le bouton **ANNULER** qui se comporte comme un bouton  **TERMINER** <|>    => suggestions :  
44 Espace(s) surnuméraire(s) à supprimer. [[122:124]] => Une deuxième fenêtre apparaît où vous pourrez choisir d'activer l'écriture sur les périphériques ntfs externes (usb) et/ou  les périphériques internes. Cochez la/les case(s) qui correspond(ent) à vos besoins comme sur la capture ci-contre. Le logiciel va alors monter toutes les partitions ntfs présentes sur votre ordinateur et que vous aurez cochées, avec le support de l'écriture. <|>    => suggestions :  
44 S’il s’agit d’un impératif, mettez un trait d’union. [[152:161]] => Une deuxième fenêtre apparaît où vous pourrez choisir d'activer l'écriture sur les périphériques ntfs externes (usb) et/ou  les périphériques internes. Cochez la/les case(s) qui correspond(ent) à vos besoins comme sur la capture ci-contre. Le logiciel va alors monter toutes les partitions ntfs présentes sur votre ordinateur et que vous aurez cochées, avec le support de l'écriture. <|> cochez la => suggestions : Cochez-la
44 Écriture invariable. Utilisez un point médian. [[166:173]] => Une deuxième fenêtre apparaît où vous pourrez choisir d'activer l'écriture sur les périphériques ntfs externes (usb) et/ou  les périphériques internes. Cochez la/les case(s) qui correspond(ent) à vos besoins comme sur la capture ci-contre. Le logiciel va alors monter toutes les partitions ntfs présentes sur votre ordinateur et que vous aurez cochées, avec le support de l'écriture. <|> case(s) => suggestions : case·s
44 Il manque un espace avant la parenthèse. [[188:189]] => Une deuxième fenêtre apparaît où vous pourrez choisir d'activer l'écriture sur les périphériques ntfs externes (usb) et/ou  les périphériques internes. Cochez la/les case(s) qui correspond(ent) à vos besoins comme sur la capture ci-contre. Le logiciel va alors monter toutes les partitions ntfs présentes sur votre ordinateur et que vous aurez cochées, avec le support de l'écriture. <|> ( => suggestions :  (
