
4 Mot inconnu : LVM => ====== Sauvegarder son système à chaud avec LVM ====== | lvm

7 Mot inconnu : LVM => Ce tutoriel décrit les étapes pour faire une sauvegarde à chaud de son système. Il faut avoir sa racine "/" encapsulée dans un volume LVM. | lvm

8 Espace(s) surnuméraire(s) à supprimer. => Les étapes décrites se feront en ligne de commande, bien que certaines d'entre elles peuvent être faites via  [[apt://system-config-lvm|system-config-lvm]] |    => suggestions : [' ']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir son fichier racine / à sauvegarder dans un volume logique (lvm) |    => suggestions : ['']
14 Mot inconnu : lvm =>   * Avoir son fichier racine / à sauvegarder dans un volume logique (lvm) | lvm

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir un peu d'espace disque disponible |    => suggestions : ['']

19 Mot inconnu : snapshot => Vérifier que nous disposons d'espace libre pour la sauvegarde et le snapshot dans notre volume group. | snapshot
19 Mot inconnu : group => Vérifier que nous disposons d'espace libre pour la sauvegarde et le snapshot dans notre volume group. | group

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vgs |    => suggestions : ['']
20 Mot inconnu : sudo =>   sudo vgs | sudo
20 Mot inconnu : vgs =>   sudo vgs | vgs

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     VG        #PV #LV #SN Attr   VSize   VFree   |      => suggestions : ['']
21 Espace(s) surnuméraire(s) à supprimer. =>     VG        #PV #LV #SN Attr   VSize   VFree   |          => suggestions : [' ']
21 Mot inconnu : Attr =>     VG        #PV #LV #SN Attr   VSize   VFree   | attr
21 Espace(s) surnuméraire(s) à supprimer. =>     VG        #PV #LV #SN Attr   VSize   VFree   |     => suggestions : [' ']
21 Mot inconnu : VSize =>     VG        #PV #LV #SN Attr   VSize   VFree   | vsize
21 Espace(s) surnuméraire(s) à supprimer. =>     VG        #PV #LV #SN Attr   VSize   VFree   |     => suggestions : [' ']
21 Mot inconnu : VFree =>     VG        #PV #LV #SN Attr   VSize   VFree   | vfree
21 Espace(s) en fin de ligne à supprimer. =>     VG        #PV #LV #SN Attr   VSize   VFree   |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   corsair     1   4   0 wz--n-  29,81g  18,32g |    => suggestions : ['']
22 Mot inconnu : corsair =>   corsair     1   4   0 wz--n-  29,81g  18,32g | corsair
22 Espace(s) surnuméraire(s) à supprimer. =>   corsair     1   4   0 wz--n-  29,81g  18,32g |       => suggestions : [' ']
22 Espace(s) surnuméraire(s) à supprimer. =>   corsair     1   4   0 wz--n-  29,81g  18,32g |     => suggestions : [' ']
22 Espace(s) surnuméraire(s) à supprimer. =>   corsair     1   4   0 wz--n-  29,81g  18,32g |     => suggestions : [' ']
22 Mot inconnu : wz =>   corsair     1   4   0 wz--n-  29,81g  18,32g | wz
22 Espace(s) surnuméraire(s) à supprimer. =>   corsair     1   4   0 wz--n-  29,81g  18,32g |    => suggestions : [' ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

24 Guillemets typographiques ouvrants. => Ici notre groupe de volumes appelé "corsair" possède 18Go d'espace disponible | " => suggestions : ['«\xa0', '“']
24 Mot inconnu : corsair => Ici notre groupe de volumes appelé "corsair" possède 18Go d'espace disponible | corsair
24 Guillemets typographiques fermants. => Ici notre groupe de volumes appelé "corsair" possède 18Go d'espace disponible | " => suggestions : ['\xa0»', '”']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On cherche a savoir quelle taille de données on va sauvegarder |    => suggestions : ['']
27 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. =>   * On cherche a savoir quelle taille de données on va sauvegarder | a => suggestions : ['à']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   df -h / |    => suggestions : ['']
29 Mot inconnu : df =>   df -h / | df
29 Il manque un espace à côté du tiret. =>   df -h / |  - => suggestions : [' – ', ' — ']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur |    => suggestions : ['']
30 Mot inconnu : Sys =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur | sys
30 Espace(s) surnuméraire(s) à supprimer. =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur |              => suggestions : [' ']
30 Espace(s) surnuméraire(s) à supprimer. =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur |    => suggestions : [' ']
30 Mot inconnu : Uti =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur | uti
30 Mot inconnu : Disp =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur | disp
30 Mot inconnu : Uti =>   Sys. de fichiers            Taille  Uti. Disp. Uti% Monté sur | uti

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/mapper/corsair-maracine |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                       4,0G  1,8G  2,0G  47% / |                        => suggestions : ['']
32 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>                       4,0G  1,8G  2,0G  47% / | 4,0g => suggestions : ['4,0\xa0G']
32 Espace(s) surnuméraire(s) à supprimer. =>                       4,0G  1,8G  2,0G  47% / |    => suggestions : [' ']
32 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>                       4,0G  1,8G  2,0G  47% / | 1,8g => suggestions : ['1,8\xa0G']
32 Espace(s) surnuméraire(s) à supprimer. =>                       4,0G  1,8G  2,0G  47% / |    => suggestions : [' ']
32 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>                       4,0G  1,8G  2,0G  47% / | 2,0g => suggestions : ['2,0\xa0G']
32 Espace(s) surnuméraire(s) à supprimer. =>                       4,0G  1,8G  2,0G  47% / |    => suggestions : [' ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création d'un volume de sauvegarde |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo lvcreate -n monbackup -L 2G corsair |    => suggestions : ['']
37 Mot inconnu : sudo =>   sudo lvcreate -n monbackup -L 2G corsair | sudo
37 Mot inconnu : lvcreate =>   sudo lvcreate -n monbackup -L 2G corsair | lvcreate
37 Il manque un espace à côté du tiret. =>   sudo lvcreate -n monbackup -L 2G corsair |  - => suggestions : [' – ', ' — ']
37 Mot inconnu : monbackup =>   sudo lvcreate -n monbackup -L 2G corsair | monbackup
37 Il manque un espace à côté du tiret. =>   sudo lvcreate -n monbackup -L 2G corsair |  - => suggestions : [' – ', ' — ']
37 Mot inconnu : corsair =>   sudo lvcreate -n monbackup -L 2G corsair | corsair

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Logical volume "monbackup" created |    => suggestions : ['']
38 Mot inconnu : Logical =>   Logical volume "monbackup" created | logical
38 Guillemets typographiques ouvrants. =>   Logical volume "monbackup" created | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : monbackup =>   Logical volume "monbackup" created | monbackup
38 Guillemets typographiques fermants. =>   Logical volume "monbackup" created | " => suggestions : ['\xa0»', '”']
38 Mot inconnu : created =>   Logical volume "monbackup" created | created

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

40 Mot inconnu : monbackup => Ici un nouveau volume appelé monbackup d'une taille de 2Go est créé dans le groupe de volume "corsair" | monbackup
40 Guillemets typographiques ouvrants. => Ici un nouveau volume appelé monbackup d'une taille de 2Go est créé dans le groupe de volume "corsair" | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : corsair => Ici un nouveau volume appelé monbackup d'une taille de 2Go est créé dans le groupe de volume "corsair" | corsair
40 Guillemets typographiques fermants. => Ici un nouveau volume appelé monbackup d'une taille de 2Go est créé dans le groupe de volume "corsair" | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création d'un systeme de fichiers |    => suggestions : ['']
42 Mot inconnu : systeme =>   * Création d'un systeme de fichiers | systeme

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkfs.ext4 /dev/corsair/monbackup |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo mkfs.ext4 /dev/corsair/monbackup | sudo
44 Mot inconnu : mkfs =>   sudo mkfs.ext4 /dev/corsair/monbackup | mkfs
44 Mot inconnu : ext4 =>   sudo mkfs.ext4 /dev/corsair/monbackup | ext4

46 Mot inconnu : ext4 => Ici nous avons choisi ext4, mais il pourrait en être autrement. | ext4

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Montage du FileSystem de backup |    => suggestions : ['']
48 Mot inconnu : FileSystem =>   * Montage du FileSystem de backup | filesystem
48 Mot inconnu : backup =>   * Montage du FileSystem de backup | backup

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /ma_sauvegarde |    => suggestions : ['']
50 Mot inconnu : sudo =>   sudo mkdir /ma_sauvegarde | sudo
50 Mot inconnu : mkdir =>   sudo mkdir /ma_sauvegarde | mkdir
50 Mot inconnu : ma_sauvegarde =>   sudo mkdir /ma_sauvegarde | ma_sauvegarde

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount /dev/corsair/monbackup /ma_sauvegarde |    => suggestions : ['']
51 Mot inconnu : sudo =>   sudo mount /dev/corsair/monbackup /ma_sauvegarde | sudo
51 Mot inconnu : mount =>   sudo mount /dev/corsair/monbackup /ma_sauvegarde | mount
51 Mot inconnu : ma_sauvegarde =>   sudo mount /dev/corsair/monbackup /ma_sauvegarde | ma_sauvegarde

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Voila, nous avons notre File System /ma_sauvegarde qui pourra accueillir la sauvegarde. |   => suggestions : ['']
53 Mot inconnu : System =>  Voila, nous avons notre File System /ma_sauvegarde qui pourra accueillir la sauvegarde. | system
53 Mot inconnu : ma_sauvegarde =>  Voila, nous avons notre File System /ma_sauvegarde qui pourra accueillir la sauvegarde. | ma_sauvegarde

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

55 Mot inconnu : Snapshot => ===== Snapshot et copie ===== | snapshot

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire un snapshot du système de fichiers racine /  afin de pouvoir copier les données tranquillement. |    => suggestions : ['']
57 Mot inconnu : snapshot =>   * Faire un snapshot du système de fichiers racine /  afin de pouvoir copier les données tranquillement. | snapshot

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine |    => suggestions : ['']
59 Mot inconnu : sudo =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | sudo
59 Mot inconnu : sync =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | sync
59 Mot inconnu : sudo =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | sudo
59 Mot inconnu : lvcreate =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | lvcreate
59 Il manque un espace à côté du tiret. =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine |  - => suggestions : [' – ', ' — ']
59 Mot inconnu : monsnapshot =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | monsnapshot
59 Il manque un espace à côté du tiret. =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine |  - => suggestions : [' – ', ' — ']
59 Mot inconnu : corsair =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | corsair
59 Mot inconnu : maracine =>   sudo sync && sudo lvcreate -s -n monsnapshot -L 2G corsair/maracine | maracine

61 Mot inconnu : snapshot => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | snapshot
61 Guillemets typographiques ouvrants. => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | " => suggestions : ['«\xa0', '“']
61 Mot inconnu : monsnapshot => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | monsnapshot
