
3 Mot inconnu : OpenBox => ====== Comment gérer les fenêtres sous OpenBox ====== | openbox

7 Mot inconnu : OpenBox => Vous désirez mettre un peu d'ordre dans vos fenêtres OpenBox ? Vous avez un soucis de placement de fenêtres ?? Alors cette page est faite pour vous !! ;-) | openbox
7 Accord de nombre erroné : « soucis » devrait être au singulier. => Vous désirez mettre un peu d'ordre dans vos fenêtres OpenBox ? Vous avez un soucis de placement de fenêtres ?? Alors cette page est faite pour vous !! ;-) | soucis => suggestions : ['souci']

22 Mot inconnu : OpenBox => Tout d'abord, vous vous demandez comment placer les fenêtres sous OpenBox ?? | openbox

29 Mot inconnu : rc => On va maintenant éditer le fichier de configuration rc.xml avec notre éditeur de texte préféré (gedit). | rc
29 Mot inconnu : xml => On va maintenant éditer le fichier de configuration rc.xml avec notre éditeur de texte préféré (gedit). | xml
29 Mot inconnu : gedit => On va maintenant éditer le fichier de configuration rc.xml avec notre éditeur de texte préféré (gedit). | gedit

45 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Bien entendu, il faut ensuite remplacer les arguments par les bonnes valeurs... ^_^ Prenons un exemple pour être plus clair.</note> | ... => suggestions : ['…']
48 Mot inconnu : firefox => Prenons un exemple simple : placer firefox à 200 pixels du bord gauche et à 50 pixel du bord supérieur de l'écran. | firefox
48 Accord de nombre erroné avec « 50 » : « pixel » devrait être au pluriel. => Prenons un exemple simple : placer firefox à 200 pixels du bord gauche et à 50 pixel du bord supérieur de l'écran. | pixel => suggestions : ['pixels']
85 Mot inconnu : __au => <note warning>/!\ Notez bien que pour définir plusieurs règles, les balises : <application**s**> (__au pluriel__) ne sont **pas répétées** !!</note>  | __au
85 Mot inconnu : pluriel__ => <note warning>/!\ Notez bien que pour définir plusieurs règles, les balises : <application**s**> (__au pluriel__) ne sont **pas répétées** !!</note>  | pluriel__
85 Espace(s) en fin de ligne à supprimer. => <note warning>/!\ Notez bien que pour définir plusieurs règles, les balises : <application**s**> (__au pluriel__) ne sont **pas répétées** !!</note>  |   => suggestions : ['']

86 Typographie : un ou trois points ? => <note tip>**..::: ASTUCE :::..** | .. => suggestions : ['…', '.']
86 Une de ces ponctuations est superflue. => <note tip>**..::: ASTUCE :::..** | :: => suggestions : [':', ':']
86 Une de ces ponctuations est superflue. => <note tip>**..::: ASTUCE :::..** | :: => suggestions : [':', ':']
86 Une de ces ponctuations est superflue. => <note tip>**..::: ASTUCE :::..** | :. => suggestions : [':', '.']
86 Typographie : un ou trois points ? => <note tip>**..::: ASTUCE :::..** | .. => suggestions : ['…', '.']

99 Mot inconnu : __toutes__ => Vous souhaitez que __toutes__ vos fenêtres se placent au même endroit ? Rien de plus simple !! | __toutes__

109 Mot inconnu : __toutes__ => Ici, __toutes__ vos fenêtres ouvertes seront placées : | __toutes__

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

113 Incohérence avec “de” : “tint” est une forme verbale conjuguée. => ===== Cas particulier de tint2 ===== | tint => suggestions : ['tins', 'thyms', 'tain', 'teints', 'thym', 'tin', 'teint']
113 Mot inconnu : tint2 => ===== Cas particulier de tint2 ===== | tint2

114 Mot inconnu : tint2 => Si vous faites la manipulation précédente et que vous utilisez tint2, alors la règle de position affectera aussi tint2. | tint2
114 Mot inconnu : tint2 => Si vous faites la manipulation précédente et que vous utilisez tint2, alors la règle de position affectera aussi tint2. | tint2

116 Typographie : points de suspension. Utilisez le caractère dédié. => Pas très pratique pour une barre de tâches... :-\ Mais pas de crainte, on peut remédier à ce léger soucis ;-) | ... => suggestions : ['…']
116 Accord de nombre erroné avec « ce léger » : « soucis » devrait être au singulier. => Pas très pratique pour une barre de tâches... :-\ Mais pas de crainte, on peut remédier à ce léger soucis ;-) | soucis => suggestions : ['souci']

118 Mot inconnu : Devil's => ==== Devil's Pie ==== | devil's

119 Mot inconnu : Devil's => Devil's Pie est un logiciel qui, dans le gestionnaire de fenêtres Metacity (gestionnaire utilisé par Gnome) permet de détecter les caractéristiques des fenêtres et de leur appliquer des règles de comportement.  | devil's
119 Mot inconnu : Metacity => Devil's Pie est un logiciel qui, dans le gestionnaire de fenêtres Metacity (gestionnaire utilisé par Gnome) permet de détecter les caractéristiques des fenêtres et de leur appliquer des règles de comportement.  | metacity
119 Espace(s) en fin de ligne à supprimer. => Devil's Pie est un logiciel qui, dans le gestionnaire de fenêtres Metacity (gestionnaire utilisé par Gnome) permet de détecter les caractéristiques des fenêtres et de leur appliquer des règles de comportement.  |   => suggestions : ['']

123 Mot inconnu : Devil's => <note tip>Devil's Pie semble avoir été conçu pour Metacity. Toutefois, il fonctionne très bien sous OpenBox avec cette configuration : | devil's
123 Mot inconnu : Metacity => <note tip>Devil's Pie semble avoir été conçu pour Metacity. Toutefois, il fonctionne très bien sous OpenBox avec cette configuration : | metacity
123 Mot inconnu : OpenBox => <note tip>Devil's Pie semble avoir été conçu pour Metacity. Toutefois, il fonctionne très bien sous OpenBox avec cette configuration : | openbox
138 Mot inconnu : gdevilspie => Son fichier et sa syntaxe de configuration sont assez complexes. Là encore, une solution simple existe : gdevilspie. Continuez au chapitre suivant ;-) | gdevilspie

140 Mot inconnu : GDevilspie => ==== GDevilspie ==== | gdevilspie

142 Mot inconnu : GDevilspie => GDevilspie est une interface graphique pour créer les règles de devilspie. Je vous le conseille donc __fortement__ !! | gdevilspie
142 Mot inconnu : devilspie => GDevilspie est une interface graphique pour créer les règles de devilspie. Je vous le conseille donc __fortement__ !! | devilspie
142 Mot inconnu : __fortement__ => GDevilspie est une interface graphique pour créer les règles de devilspie. Je vous le conseille donc __fortement__ !! | __fortement__

166 Mot inconnu : gdevilspie => Et voilà, normalement, gdevilspie vient d'être installé. | gdevilspie

168 S’il s’agit d’un impératif, mettez un trait d’union. => Pour le vérifier, démarrez le via le terminal : | démarrez le => suggestions : ['démarrez-le']

