
19 Mot inconnu : pkexec [[21:27]] => Il faut donc taper **pkexec**. </note> <|> pkexec

29 Pas d’espace après ce signe. [[96:98]] => <note tip>Pour supprimer un fichier sans passer par la corbeille, maintenez la touche Majuscule ( Shift ⇧ ) lorsque vous appuyez sur la touche de suppression.\\ <|> (  => suggestions : ['(']
29 Mot inconnu : Shift [[98:103]] => <note tip>Pour supprimer un fichier sans passer par la corbeille, maintenez la touche Majuscule ( Shift ⇧ ) lorsque vous appuyez sur la touche de suppression.\\ <|> shift
29 Pas d’espace avant ce signe. [[105:107]] => <note tip>Pour supprimer un fichier sans passer par la corbeille, maintenez la touche Majuscule ( Shift ⇧ ) lorsque vous appuyez sur la touche de suppression.\\ <|>  ) => suggestions : [')']
46 Mot inconnu : sudo [[49:53]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|> sudo
46 Mot inconnu : rm [[54:56]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|> rm
46 Mot inconnu : fichier1 [[65:73]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|> fichier1
46 Mot inconnu : fichier2 [[82:90]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|> fichier2
46 Mot inconnu : fichier3 [[99:107]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|> fichier3
46 Espace(s) en fin de ligne à supprimer. [[149:151]] =>   * **Avec** les droits d'administration : <code>sudo rm /chemin/fichier1 /chemin/fichier2 /chemin/fichier3</code> puis saisissez votre mot de passe.   <|>    => suggestions : ['']

54 Mot inconnu : rm [[14:16]] => La commande **rm** par défaut ne supprime pas de dossier. Pour supprimer un dossier et son contenu, on utilise l'option **-r** <|> rm
56 Mot inconnu : sudo [[49:53]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|> sudo
56 Mot inconnu : rm [[54:56]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|> rm
56 Il manque un espace à côté du tiret. [[56:58]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|>  - => suggestions : [' – ', ' — ']
56 Mot inconnu : dossier1 [[68:76]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|> dossier1
56 Mot inconnu : dossier2 [[85:93]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|> dossier2
56 Mot inconnu : dossier3 [[102:110]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|> dossier3
56 Espace(s) en fin de ligne à supprimer. [[152:154]] =>   * **Avec** les droits d'administration : <code>sudo rm -r /chemin/dossier1 /chemin/dossier2 /chemin/dossier3</code> puis saisissez votre mot de passe.   <|>    => suggestions : ['']
66 Mot inconnu : rm [[13:15]] =>   * Le [[man>rm|manuel (en)]] pour en savoir plus avec les options de la commande **rm** <|> rm
66 Mot inconnu : rm [[84:86]] =>   * Le [[man>rm|manuel (en)]] pour en savoir plus avec les options de la commande **rm** <|> rm
