
4 Mot inconnu : dvdrip => ====== Comment utiliser dvdrip/transcode en mode cluster ? ====== | dvdrip

7 Guillemets typographiques ouvrants. => "Comment accélérer l'encodage d'une vidéo en utilisant plusieurs ordinateurs sous GNU/Linux"**  | " => suggestions : ['«\xa0', '“']
7 Guillemets typographiques fermants. => "Comment accélérer l'encodage d'une vidéo en utilisant plusieurs ordinateurs sous GNU/Linux"**  | " => suggestions : ['\xa0»', '”']
7 Espace(s) en fin de ligne à supprimer. => "Comment accélérer l'encodage d'une vidéo en utilisant plusieurs ordinateurs sous GNU/Linux"**  |   => suggestions : ['']

10 Espace(s) en fin de ligne à supprimer. => Ce tutoriel est destiné à un large public, c'est pourquoi je l'ai volontairement vraiment détaillé. J'apprécie quotidiennement ce mode cluster, et je souhaite le faire découvrir à un maximum de passionnés. Les utilisateurs plus expérimentés sous Linux/Ubuntu pourront sauter de nombreuses étapes, ou bien me corriger si des erreurs se sont glissées dans cette présentation.  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===== Présentation de transcode et dvdrip ===== |   => suggestions : ['']
12 Incohérence avec “de” : “transcode” est une forme verbale conjuguée. =>  ===== Présentation de transcode et dvdrip ===== | transcode => suggestions : ['transcodés', 'transcodées', 'transcodé', 'transcodée']
12 Mot inconnu : dvdrip =>  ===== Présentation de transcode et dvdrip ===== | dvdrip

15 Espace(s) en fin de ligne à supprimer. => Il peut, entre autres, vous permettre d'encoder vos DVD dans un format compressé pour vos sauvegardes personnelles. Son utilisation se fait en ligne de commande.  |   => suggestions : ['']

17 Mot inconnu : Dvdrip => **Dvdrip** est une interface graphique de **Transcode** facilitant ainsi son utilisation. | dvdrip

18 Guillemets typographiques ouvrants. => Il intègre le mode //cluster// ou "grappe" en français. | " => suggestions : ['«\xa0', '“']
18 Guillemets typographiques fermants. => Il intègre le mode //cluster// ou "grappe" en français. | " => suggestions : ['\xa0»', '”']

