
3 Mot inconnu : Wine => ====== Wine et logiciels MIDI ====== | wine

4 Mot inconnu : Synthesia => <note warning>Cette page a besoin d'une mise à jour, l'exemple utilisé (Synthesia version 10.3) ne fonctionne plus sur wine il rencontre l'erreur r4096.</note> | synthesia
4 Mot inconnu : wine => <note warning>Cette page a besoin d'une mise à jour, l'exemple utilisé (Synthesia version 10.3) ne fonctionne plus sur wine il rencontre l'erreur r4096.</note> | wine
4 Mot inconnu : r4096 => <note warning>Cette page a besoin d'une mise à jour, l'exemple utilisé (Synthesia version 10.3) ne fonctionne plus sur wine il rencontre l'erreur r4096.</note> | r4096

7 Participe passé de devoir : “dû”. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | du => suggestions : ['dû']
7 Incohérence avec “du” : “remarquer” est un verbe. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | remarquer => suggestions : ['remarque', 'remarques']
7 Guillemets typographiques ouvrants. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : wine => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | wine
7 Mot inconnu : votreprogramme => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | votreprogramme
7 Mot inconnu : exe => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | exe
7 Guillemets typographiques fermants. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | " => suggestions : ['\xa0»', '”']
7 Mot inconnu : TIMIDITY => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | timidity
7 Guillemets typographiques ouvrants. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | " => suggestions : ['«\xa0', '“']
7 Typographie : points de suspension. Utilisez le caractère dédié. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | ... => suggestions : ['…']
7 Guillemets typographiques fermants. => Vous avez du remarquer qu'en faisant "wine votreprogramme.exe", le son ne fonctionne pas. Nous allons donc utiliser TIMIDITY (un synthétiseur virtuel pour remplacer celui de Windows : "Synthé GM...") afin de pouvoir disposer du MIDI. | " => suggestions : ['\xa0»', '”']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Du son qui marche |    => suggestions : ['']

16 Guillemets typographiques ouvrants. => Nous allons prendre pour exemple ici le programme "Synthesia" (libre mais ne marchant que sur Windows...). Site officiel : http://www.synthesiagame.com/ | " => suggestions : ['«\xa0', '“']
16 Mot inconnu : Synthesia => Nous allons prendre pour exemple ici le programme "Synthesia" (libre mais ne marchant que sur Windows...). Site officiel : http://www.synthesiagame.com/ | synthesia
16 Guillemets typographiques fermants. => Nous allons prendre pour exemple ici le programme "Synthesia" (libre mais ne marchant que sur Windows...). Site officiel : http://www.synthesiagame.com/ | " => suggestions : ['\xa0»', '”']
16 Typographie : points de suspension. Utilisez le caractère dédié. => Nous allons prendre pour exemple ici le programme "Synthesia" (libre mais ne marchant que sur Windows...). Site officiel : http://www.synthesiagame.com/ | ... => suggestions : ['…']

21 Mot inconnu : wine => ===== Utilisation du Midi globalement dans les applications wine ===== | wine

25 Mot inconnu : timidity => timidity -iA -B2,8 -Os -EFreverb=0 | timidity
25 Il manque un espace à côté du tiret. => timidity -iA -B2,8 -Os -EFreverb=0 |  - => suggestions : [' – ', ' — ']
25 Mot inconnu : iA => timidity -iA -B2,8 -Os -EFreverb=0 | ia
25 Mot inconnu : B2 => timidity -iA -B2,8 -Os -EFreverb=0 | b2
25 Il manque un espace. => timidity -iA -B2,8 -Os -EFreverb=0 | 8 => suggestions : [' 8']
25 Mot inconnu : EFreverb => timidity -iA -B2,8 -Os -EFreverb=0 | efreverb

27 Mot inconnu : timidity => **Attention :** Garder le terminal ouvert sinon timidity se refermera ! | timidity

29 Mot inconnu : timidity => Enfin après avoir exécuté votre programme ayant besoin du midi vous pouvez refermer le terminal ayant servi à lancer timidity. | timidity

35 Mot inconnu : timidity => ===== Création d'un script pour lancer un programme avec timidity ===== | timidity

37 Guillemets typographiques ouvrants. => Nous y voilà. On va créer un fichier nommé ''synthesia'': | '' => suggestions : ['«\xa0', '“']
37 Mot inconnu : synthesia => Nous y voilà. On va créer un fichier nommé ''synthesia'': | synthesia
37 Guillemets typographiques fermants. => Nous y voilà. On va créer un fichier nommé ''synthesia'': | '' => suggestions : ['\xa0»', '”']

48 Mot inconnu : timidity => timidity -iA -B2,8 -Os -EFreverb=0& | timidity
48 Il manque un espace à côté du tiret. => timidity -iA -B2,8 -Os -EFreverb=0& |  - => suggestions : [' – ', ' — ']
48 Mot inconnu : iA => timidity -iA -B2,8 -Os -EFreverb=0& | ia
48 Mot inconnu : B2 => timidity -iA -B2,8 -Os -EFreverb=0& | b2
48 Il manque un espace. => timidity -iA -B2,8 -Os -EFreverb=0& | 8 => suggestions : [' 8']
48 Mot inconnu : EFreverb => timidity -iA -B2,8 -Os -EFreverb=0& | efreverb

