
3 Mot inconnu : UFR => ====== Comment installer les pilotes génériques Canon UFR II-LT ====== | ufr
3 Mot inconnu : II-LT => ====== Comment installer les pilotes génériques Canon UFR II-LT ====== | ii-lt
14 Mot inconnu : Download => Téléchargez les pilotes directement sur le site canon : [[http://www.canon.fr/support/consumer_products/products/printers/laser/i-sensys_lbp7110cw.aspx|ici]], cliquez sur //Download// en bas de la page, le téléchargement se lance. | download

17 Guillemets typographiques ouvrants. => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : debian => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | debian
17 Guillemets typographiques fermants. => Faites ensuite un clic droit sur l'archive précédemment téléchargée et choisissez << //Extraire ici// >>. L'archive sera alors décompressée, chercher le dossier "debian". | " => suggestions : ['\xa0»', '”']

19 Espace(s) surnuméraire(s) à supprimer. => Dans l'archive vous trouverez les dossiers  : |    => suggestions : [' ']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// |    => suggestions : ['']
21 Mot inconnu : bit_Driver =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// | bit_driver
21 Espace(s) surnuméraire(s) à supprimer. =>   * ''**64-bit_Driver**'' :Si vous avez téléchargé la dernière version. //** Voir la méthode << [[#Installation  64 bits]] >>.**// |    => suggestions : [' ']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. |    => suggestions : ['']
22 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | contient => suggestions : ['contiens']
22 Mot inconnu : tar =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | tar
22 Mot inconnu : gz =>   * ''**Sources**'' : contient deux archives tar.gz pour la compilation depuis les sources des pilotes. | gz

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''**Documents**'' : contient les informations légales relatives à l'utilisation du pilote. |    => suggestions : ['']
25 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * ''**Documents**'' : contient les informations légales relatives à l'utilisation du pilote. | contient => suggestions : ['contiens']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **cndrvcups-common_3.00-1_i386.deb**  |    => suggestions : ['']
29 Mot inconnu : cndrvcups-common_3 =>   * **cndrvcups-common_3.00-1_i386.deb**  | cndrvcups-common_3
29 Mot inconnu : _i386 =>   * **cndrvcups-common_3.00-1_i386.deb**  | _i386
29 Mot inconnu : deb =>   * **cndrvcups-common_3.00-1_i386.deb**  | deb
29 Espace(s) en fin de ligne à supprimer. =>   * **cndrvcups-common_3.00-1_i386.deb**  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **cndrvcups-ufr2lt-uk_1.10-1_i386.deb** |    => suggestions : ['']
30 Mot inconnu : cndrvcups-ufr2lt-uk_1 =>   * **cndrvcups-ufr2lt-uk_1.10-1_i386.deb** | cndrvcups-ufr2lt-uk_1
30 Mot inconnu : _i386 =>   * **cndrvcups-ufr2lt-uk_1.10-1_i386.deb** | _i386
30 Mot inconnu : deb =>   * **cndrvcups-ufr2lt-uk_1.10-1_i386.deb** | deb

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **cndrvcups-common_3.00-1_amd64.deb**  |    => suggestions : ['']
39 Mot inconnu : cndrvcups-common_3 =>   * **cndrvcups-common_3.00-1_amd64.deb**  | cndrvcups-common_3
39 Mot inconnu : _amd64 =>   * **cndrvcups-common_3.00-1_amd64.deb**  | _amd64
39 Mot inconnu : deb =>   * **cndrvcups-common_3.00-1_amd64.deb**  | deb
