
9 Espace(s) en fin de ligne à supprimer. => **Notes importantes :**  |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -  //Ne pas// éditer cette page avant d'avoir lu celle de la [[tutoriel:certification_ingenieur_ubuntu|certification Ubuntu]]. |      => suggestions : ['']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     -  //Ne pas// éditer cette page avant d'avoir lu celle de la [[tutoriel:certification_ingenieur_ubuntu|certification Ubuntu]]. |  -  => suggestions : [' – ', ' — ', ' − ']
10 Il manque un espace. =>     -  //Ne pas// éditer cette page avant d'avoir lu celle de la [[tutoriel:certification_ingenieur_ubuntu|certification Ubuntu]]. | certification_ingenieur_ubuntu => suggestions : [' certification_ingenieur_ubuntu']
10 Mot inconnu : certification_ingenieur_ubuntu =>     -  //Ne pas// éditer cette page avant d'avoir lu celle de la [[tutoriel:certification_ingenieur_ubuntu|certification Ubuntu]]. | certification_ingenieur_ubuntu

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     -  Les points indiquent les catégories principales. Les ronds indiquent les tâches. |      => suggestions : ['']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     -  Les points indiquent les catégories principales. Les ronds indiquent les tâches. |  -  => suggestions : [' – ', ' — ', ' − ']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * installer à partir du réseau |        => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * réussir une installation serveur |        => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * créer un système multi-amorçage |        => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * installer sans lecteur de cédérom |        => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * configurer l'amorçage réseau via TFTP |        => suggestions : ['']
22 Mot inconnu : TFTP =>       * configurer l'amorçage réseau via TFTP | tftp

24 Accord de nombre erroné avec « logiciels ». => Gestion logiciels | gestion => suggestions : ['Gestions']
24 Accord de genre erroné avec « Gestion ». => Gestion logiciels | logiciels => suggestions : ['logicielles']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * configurer les sources locales et réseaux |      => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * rechercher dans une archive locale de paquets |      => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * mettre en place un miroir local |      => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * manipuler les paquets en utilisant aptitude / synaptic |      => suggestions : ['']
29 Mot inconnu : synaptic =>     * manipuler les paquets en utilisant aptitude / synaptic | synaptic

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * construire des paquets binaires à partir des sources |      => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * configurer manuellement le fichier des interfaces réseau (incluant les configurations statiques et dynamiques pour ethernet et wifi) |      => suggestions : ['']
34 Mot inconnu : ethernet =>     * configurer manuellement le fichier des interfaces réseau (incluant les configurations statiques et dynamiques pour ethernet et wifi) | ethernet

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * mettre en place un serveur DHCP |      => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * mettre en place un serveur TFTP |      => suggestions : ['']
39 Mot inconnu : TFTP =>     * mettre en place un serveur TFTP | tftp

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * mettre en place samba et/ou NFS |      => suggestions : ['']
40 Mot inconnu : NFS =>     * mettre en place samba et/ou NFS | nfs

42 Accord de genre erroné avec « Gestion ». => Gestion utilisateur | utilisateur => suggestions : ['utilisatrice']
