
5 Mot inconnu : iso => ====== Installer Ubuntu sans iso, avec l'image netboot ====== | iso
5 Mot inconnu : netboot => ====== Installer Ubuntu sans iso, avec l'image netboot ====== | netboot

7 Mot inconnu : iso => Ce tutoriel permet d'installer une version d'Ubuntu ou de Debian sans télécharger d'iso, sans rien graver, sans clef usb. | iso
7 Mot inconnu : usb => Ce tutoriel permet d'installer une version d'Ubuntu ou de Debian sans télécharger d'iso, sans rien graver, sans clef usb. | usb

10 Mot inconnu : netinstall => Ainsi il est possible d'amorcer l'installation d'une nouvelle distribution (netinstall) avec un minimum de téléchargement. | netinstall

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir déjà un OS fonctionnel avec grub installé et fonctionnel |    => suggestions : ['']
14 Mot inconnu : grub =>   * Avoir déjà un OS fonctionnel avec grub installé et fonctionnel | grub

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une partition ou un volume LVM de 12Mo minimum |    => suggestions : ['']
15 Mot inconnu : LVM =>   * Avoir une partition ou un volume LVM de 12Mo minimum | lvm

19 Mot inconnu : lvm => Créer une partition ou un volume lvm qui contiendra le noyau netboot (100 Mo dans notre exemple, mais 20 Mo suffiront ). | lvm
19 Mot inconnu : netboot => Créer une partition ou un volume lvm qui contiendra le noyau netboot (100 Mo dans notre exemple, mais 20 Mo suffiront ). | netboot
19 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Créer une partition ou un volume lvm qui contiendra le noyau netboot (100 Mo dans notre exemple, mais 20 Mo suffiront ). | 100 mo => suggestions : ['100\xa0Mo']
19 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Créer une partition ou un volume lvm qui contiendra le noyau netboot (100 Mo dans notre exemple, mais 20 Mo suffiront ). | 20 mo => suggestions : ['20\xa0Mo']
19 Pas d’espace avant ce signe. => Créer une partition ou un volume lvm qui contiendra le noyau netboot (100 Mo dans notre exemple, mais 20 Mo suffiront ). |  ) => suggestions : [')']

21 Mot inconnu : netboot => Le noyau netboot permet d'amorcer l'installation par le réseau d'une distribution. | netboot

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo mkfs.ext4 /dev/sda2  |    => suggestions : ['']
24 Mot inconnu : sudo =>   # sudo mkfs.ext4 /dev/sda2  | sudo
24 Mot inconnu : mkfs =>   # sudo mkfs.ext4 /dev/sda2  | mkfs
24 Mot inconnu : ext4 =>   # sudo mkfs.ext4 /dev/sda2  | ext4
24 Espace(s) en fin de ligne à supprimer. =>   # sudo mkfs.ext4 /dev/sda2  |   => suggestions : ['']

27 Mot inconnu : LVM => Ou bien via un volume LVM | lvm

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group |    => suggestions : ['']
28 Mot inconnu : sudo =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group | sudo
28 Mot inconnu : lvcreate =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group | lvcreate
28 Il manque un espace à côté du tiret. =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : volnetboot =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group | volnetboot
28 Il manque un espace à côté du tiret. =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : mon_volume_group =>   # sudo lvcreate -n volnetboot -L 100M mon_volume_group | mon_volume_group

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo mkfs.ext4 /dev/mon_volume_group/volnetboot  |    => suggestions : ['']
29 Mot inconnu : sudo =>   # sudo mkfs.ext4 /dev/mon_volume_group/volnetboot  | sudo
29 Mot inconnu : mkfs =>   # sudo mkfs.ext4 /dev/mon_volume_group/volnetboot  | mkfs
29 Mot inconnu : ext4 =>   # sudo mkfs.ext4 /dev/mon_volume_group/volnetboot  | ext4
29 Espace(s) en fin de ligne à supprimer. =>   # sudo mkfs.ext4 /dev/mon_volume_group/volnetboot  |   => suggestions : ['']

31 Mot inconnu : Telecharger => Telecharger le kernel et l'initrd.gz de la distribution choisie en version netboot. | telecharger
31 Mot inconnu : kernel => Telecharger le kernel et l'initrd.gz de la distribution choisie en version netboot. | kernel
31 Mot inconnu : initrd => Telecharger le kernel et l'initrd.gz de la distribution choisie en version netboot. | initrd
