3 Mot inconnu : usb => ====== Gérer la sécurité d'une installation ubuntu avec une clé usb ====== | usb

9 Mot inconnu : LUKS => Si vous possédez une installation d'Ubuntu sur partition LUKS (Linux Unified Key Setup) et que vous en avez marre de taper le mot de passe à chaque démarrage, vous pouvez paramétrer une clé usb afin de vous authentifier automatiquement si cette dernière est branchée! | luks
9 Mot inconnu : Unified => Si vous possédez une installation d'Ubuntu sur partition LUKS (Linux Unified Key Setup) et que vous en avez marre de taper le mot de passe à chaque démarrage, vous pouvez paramétrer une clé usb afin de vous authentifier automatiquement si cette dernière est branchée! | unified
9 Mot inconnu : Key => Si vous possédez une installation d'Ubuntu sur partition LUKS (Linux Unified Key Setup) et que vous en avez marre de taper le mot de passe à chaque démarrage, vous pouvez paramétrer une clé usb afin de vous authentifier automatiquement si cette dernière est branchée! | key
9 Mot inconnu : Setup => Si vous possédez une installation d'Ubuntu sur partition LUKS (Linux Unified Key Setup) et que vous en avez marre de taper le mot de passe à chaque démarrage, vous pouvez paramétrer une clé usb afin de vous authentifier automatiquement si cette dernière est branchée! | setup
9 Mot inconnu : usb => Si vous possédez une installation d'Ubuntu sur partition LUKS (Linux Unified Key Setup) et que vous en avez marre de taper le mot de passe à chaque démarrage, vous pouvez paramétrer une clé usb afin de vous authentifier automatiquement si cette dernière est branchée! | usb

14 Mot inconnu : backup => <note warning>Il est plus que conseillé de faire un backup de la clé, l'histoire de pas tout devoir reparamétrer si perte de la clé. | backup

15 Mot inconnu : livecd => De plus, Il est conseillé d'avoir une alternative de réparation (type livecd ou live usb) afin de pouvoir réparer le démarrage en cas de soucis!</note> | livecd
15 Mot inconnu : usb => De plus, Il est conseillé d'avoir une alternative de réparation (type livecd ou live usb) afin de pouvoir réparer le démarrage en cas de soucis!</note> | usb

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une partition de type LUKS avec ubuntu d'installé dessus |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une partition de type LUKS avec ubuntu d'installé dessus |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : LUKS =>   - Une partition de type LUKS avec ubuntu d'installé dessus | luks
18 Le verbe devrait être à l’infinitif. =>   - Une partition de type LUKS avec ubuntu d'installé dessus | installé => suggestions : ['installer']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une partition de boot séparée |    => suggestions : ['']
19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une partition de boot séparée |  -  => suggestions : [' – ', ' — ', ' − ']
19 Mot inconnu : boot =>   - Une partition de boot séparée | boot

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une clé usb ou un support amovible (testé avec carte SD et clé usb) |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une clé usb ou un support amovible (testé avec carte SD et clé usb) |  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : usb =>   - Une clé usb ou un support amovible (testé avec carte SD et clé usb) | usb
20 Mot inconnu : SD =>   - Une clé usb ou un support amovible (testé avec carte SD et clé usb) | sd
20 Mot inconnu : usb =>   - Une clé usb ou un support amovible (testé avec carte SD et clé usb) | usb
22 Confusion : “coté” est le participe passé du verbe “coter”. => Vous pouvez avoir une installation de windows à coté. Ceci ne posera pas de soucis. | coté => suggestions : ['côté', 'côtés']

25 Mot inconnu : Etape => ==== Etape 1 : Préparer la clé ==== | etape

29 Forme interrogative ou impérative. Désaccord avec “vous”. Le verbe n’est pas à la 2ᵉ personne du pluriel. => De plus, soyez attentifs aux commandes, et ne validez celles-ci que lorsque vous-vous êtes relu! | vous-vous => suggestions : []
29 Incohérence probable : “êtes” est une forme verbale conjuguée. => De plus, soyez attentifs aux commandes, et ne validez celles-ci que lorsque vous-vous êtes relu! | êtes => suggestions : []

32 Mot inconnu : ext4 => Créez une partition vierge de type ext4[3/2] d'au moins 1Mo sur le support. Utilisez **[[apt>gparted]]** par exemple. | ext4
32 Mot inconnu : gparted => Créez une partition vierge de type ext4[3/2] d'au moins 1Mo sur le support. Utilisez **[[apt>gparted]]** par exemple. | gparted
36 Mot inconnu : Ext4 => Systèmes de fichiers testés: Ext4/3/2, Fat32, Ntfs | ext4
36 Mot inconnu : Fat32 => Systèmes de fichiers testés: Ext4/3/2, Fat32, Ntfs | fat32
36 Mot inconnu : Ntfs => Systèmes de fichiers testés: Ext4/3/2, Fat32, Ntfs | ntfs

41 Confusion : « votre possession », « la vôtre ». => Vous pouvez identifier la votre dans gparted. Elle est situé en tout début de ligne à gauche de votre partition: | votre => suggestions : ['vôtre']
41 Mot inconnu : gparted => Vous pouvez identifier la votre dans gparted. Elle est situé en tout début de ligne à gauche de votre partition: | gparted
41 Accord avec le sujet “Elle” : “situé” devrait être au féminin singulier. => Vous pouvez identifier la votre dans gparted. Elle est situé en tout début de ligne à gauche de votre partition: | situé => suggestions : ['située']

45 Mot inconnu : sdb1 => Attention, /dev/sdb représente la clé en entier, n'oubliez pas de spécifier le numéro de partition (sdb1, sdf2, sdc4... tout dépend de votre clé) | sdb1
45 Mot inconnu : sdf2 => Attention, /dev/sdb représente la clé en entier, n'oubliez pas de spécifier le numéro de partition (sdb1, sdf2, sdc4... tout dépend de votre clé) | sdf2
45 Mot inconnu : sdc4 => Attention, /dev/sdb représente la clé en entier, n'oubliez pas de spécifier le numéro de partition (sdb1, sdf2, sdc4... tout dépend de votre clé) | sdc4
45 Typographie : points de suspension. Utilisez le caractère dédié. => Attention, /dev/sdb représente la clé en entier, n'oubliez pas de spécifier le numéro de partition (sdb1, sdf2, sdc4... tout dépend de votre clé) | ... => suggestions : ['…']

54 Guillemets typographiques ouvrants. => Créez un fichier "d'authentification" de 256octet sur la clé. | " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. => Créez un fichier "d'authentification" de 256octet sur la clé. | " => suggestions : ['\xa0»', '”']

