
11 Si vous parlez de la langue, pas de majuscule. => ===== Principe de l'écriture en Japonais ===== | japonais => suggestions : ['japonais']

13 Guillemets typographiques ouvrants. => Contrairement aux langues indo-européennes qui utilisent un nombre très limité de caractères, la langue japonaise nécessite, outre nos propres caractères, d'utiliser des caractères 2 fois 46 kana (syllabes) et plusieurs milliers de kanji ("idéogrammes" sino-japonais). Un clavier seul ne permet donc pas de saisir tous ces caractères. | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => Contrairement aux langues indo-européennes qui utilisent un nombre très limité de caractères, la langue japonaise nécessite, outre nos propres caractères, d'utiliser des caractères 2 fois 46 kana (syllabes) et plusieurs milliers de kanji ("idéogrammes" sino-japonais). Un clavier seul ne permet donc pas de saisir tous ces caractères. | " => suggestions : ['\xa0»', '”']
15 S’il s’agit d’un impératif, mettez un trait d’union. => Pour pallier ce problème, et pour faire simple; disons que la saisie se fait de manière phonétique et qu'un composant logiciel, appelé **moteur de saisie**, effectue la transcription et propose le ou les caractères les plus adaptés au contexte. Compte tenu des nombreuses homonymies, l'utilisateur doit au final choisir, dans une liste de mots, celui correctement écrit. Ceci fait appel à des mécanismes très complexes et la qualité du moteur de saisie consiste à présenter le meilleur choix en premier à l'utilisateur. | propose le => suggestions : ['propose-le']

17 Mot inconnu : nihon => Pour illustrer la chose supposons que nous voulions saisir le mot **Japon** qui se dit //nihon// et qui s'écrit にほん en hiragana et 日本 en kanji.\\ | nihon
17 Mot inconnu : にほん => Pour illustrer la chose supposons que nous voulions saisir le mot **Japon** qui se dit //nihon// et qui s'écrit にほん en hiragana et 日本 en kanji.\\ | にほん
17 Mot inconnu : 日本 => Pour illustrer la chose supposons que nous voulions saisir le mot **Japon** qui se dit //nihon// et qui s'écrit にほん en hiragana et 日本 en kanji.\\ | 日本

27 Guillemets typographiques ouvrants. => Nous voyons ici qu'il existe nombre de mots se prononçant "nihon" et qui ont des significations et des écritures différentes. | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : nihon => Nous voyons ici qu'il existe nombre de mots se prononçant "nihon" et qui ont des significations et des écritures différentes. | nihon
27 Guillemets typographiques fermants. => Nous voyons ici qu'il existe nombre de mots se prononçant "nihon" et qui ont des significations et des écritures différentes. | " => suggestions : ['\xa0»', '”']

31 Mot inconnu : Unity => ====   Installation avec Unity ==== | unity

50 Mot inconnu : space => **Après avoir redémarré la session **, vous pourrez utiliser la combinaison de touches **<super>space** pour passer d'une méthode à l'autre.  | space
50 Espace(s) en fin de ligne à supprimer. => **Après avoir redémarré la session **, vous pourrez utiliser la combinaison de touches **<super>space** pour passer d'une méthode à l'autre.  |   => suggestions : ['']

55 Mot inconnu : ibus-mozc => <note>Nous utilisons ici //ibus-mozc//. Vous pouvez utilisez //ibus-anthy// à la place, ou même les deux. Sachez cependant que //ibus-mozc// est plus performant.</note> | ibus-mozc
55 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => <note>Nous utilisons ici //ibus-mozc//. Vous pouvez utilisez //ibus-anthy// à la place, ou même les deux. Sachez cependant que //ibus-mozc// est plus performant.</note> | utilisez => suggestions : ['utiliser']
55 Mot inconnu : ibus-anthy => <note>Nous utilisons ici //ibus-mozc//. Vous pouvez utilisez //ibus-anthy// à la place, ou même les deux. Sachez cependant que //ibus-mozc// est plus performant.</note> | ibus-anthy
55 Mot inconnu : ibus-mozc => <note>Nous utilisons ici //ibus-mozc//. Vous pouvez utilisez //ibus-anthy// à la place, ou même les deux. Sachez cependant que //ibus-mozc// est plus performant.</note> | ibus-mozc

66 Mot inconnu : space => Voilà, c'est fini. Vous pouvez désormais passer d'une méthode à l'autre avec la combinaison de touches **<super>space**. Si ce raccourci par défaut ne vous convient pas, changez-le dans la fenêtre de //ibus-setup// onglet //Général//. La barre de langues (dans le panneau supérieure), vous propose aussi de changer de configuration "à la souris" entre Français et Japonais. | space
66 Mot inconnu : ibus-setup => Voilà, c'est fini. Vous pouvez désormais passer d'une méthode à l'autre avec la combinaison de touches **<super>space**. Si ce raccourci par défaut ne vous convient pas, changez-le dans la fenêtre de //ibus-setup// onglet //Général//. La barre de langues (dans le panneau supérieure), vous propose aussi de changer de configuration "à la souris" entre Français et Japonais. | ibus-setup
66 Accord de genre erroné : « le panneau » est masculin, « supérieure » est féminin. => Voilà, c'est fini. Vous pouvez désormais passer d'une méthode à l'autre avec la combinaison de touches **<super>space**. Si ce raccourci par défaut ne vous convient pas, changez-le dans la fenêtre de //ibus-setup// onglet //Général//. La barre de langues (dans le panneau supérieure), vous propose aussi de changer de configuration "à la souris" entre Français et Japonais. | supérieure => suggestions : ['supérieur']
66 Guillemets typographiques ouvrants. => Voilà, c'est fini. Vous pouvez désormais passer d'une méthode à l'autre avec la combinaison de touches **<super>space**. Si ce raccourci par défaut ne vous convient pas, changez-le dans la fenêtre de //ibus-setup// onglet //Général//. La barre de langues (dans le panneau supérieure), vous propose aussi de changer de configuration "à la souris" entre Français et Japonais. | " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. => Voilà, c'est fini. Vous pouvez désormais passer d'une méthode à l'autre avec la combinaison de touches **<super>space**. Si ce raccourci par défaut ne vous convient pas, changez-le dans la fenêtre de //ibus-setup// onglet //Général//. La barre de langues (dans le panneau supérieure), vous propose aussi de changer de configuration "à la souris" entre Français et Japonais. | " => suggestions : ['\xa0»', '”']

68 Mot inconnu : anthy => <note tip>La procédure pour le moteur de saisie **anthy** est similaire, mais le paquet s'appelle //ibus-anthy//, c'est tout.</note> | anthy
68 Mot inconnu : ibus-anthy => <note tip>La procédure pour le moteur de saisie **anthy** est similaire, mais le paquet s'appelle //ibus-anthy//, c'est tout.</note> | ibus-anthy

71 Mot inconnu : Unity => <note>Cette partie est commune à Unity et à Gnome.</note> | unity

72 Mot inconnu : anthy => La méthode de saisie (ou moteur de saisie, **anthy** ou **mozc**) que vous venez d'installer, ne doit pas être confondue avec l'arrangement de clavier, même si les outils graphiques génèrent une assez grande confusion à ce sujet. | anthy
72 Mot inconnu : mozc => La méthode de saisie (ou moteur de saisie, **anthy** ou **mozc**) que vous venez d'installer, ne doit pas être confondue avec l'arrangement de clavier, même si les outils graphiques génèrent une assez grande confusion à ce sujet. | mozc

74 Accord de nombre erroné avec « écrits ». => La méthode de saisie, c'est l'outil qui permet, étant donné une suite de caractères, de transformer cette suite en syllabes et selon le contexte, de proposer un certain nombre de candidats sous forme de mot écrits, soit en kana, soit en kanji, soit les deux. | mot => suggestions : ['mots']
74 Accord de nombre erroné avec « mot ». => La méthode de saisie, c'est l'outil qui permet, étant donné une suite de caractères, de transformer cette suite en syllabes et selon le contexte, de proposer un certain nombre de candidats sous forme de mot écrits, soit en kana, soit en kanji, soit les deux. | écrits => suggestions : ['écrit']

78 Mot inconnu : mozc => On peut ainsi utiliser la méthode de saisie mozc avec un clavier français azerty, un clavier français bépo ou un clavier japonais querty. | mozc
78 Mot inconnu : querty => On peut ainsi utiliser la méthode de saisie mozc avec un clavier français azerty, un clavier français bépo ou un clavier japonais querty. | querty

80 Mot inconnu : anthy => ===Avec anthy=== | anthy

81 Mot inconnu : anthy => Avec anthy les choses peuvent se régler avec les outils graphiques. Si vous regardez l'image ci-dessous, qui correspond, à ce qui est présenté à l'utilisateur juste après qu'il a choisi la méthode **anthy**, en sélectionnant cette méthode dans la liste présentée, vous apercevrez, en bas à droite, juste à gauche de l'icône du clavier, une autre icône en forme de roue dentée. En cliquant sur cette roue dentée, vous ouvrirez la fenêtre permettant de paramétrer la méthode. | anthy
81 Mot inconnu : anthy => Avec anthy les choses peuvent se régler avec les outils graphiques. Si vous regardez l'image ci-dessous, qui correspond, à ce qui est présenté à l'utilisateur juste après qu'il a choisi la méthode **anthy**, en sélectionnant cette méthode dans la liste présentée, vous apercevrez, en bas à droite, juste à gauche de l'icône du clavier, une autre icône en forme de roue dentée. En cliquant sur cette roue dentée, vous ouvrirez la fenêtre permettant de paramétrer la méthode. | anthy

85 Espace(s) en fin de ligne à supprimer. => En vous rendant, sur l'onglet, **Méthode de saisie**, vous serez en mesure de choisir le clavier associé à votre moteur de saisie.  |   => suggestions : ['']

89 Accord de nombre erroné : « changements » est au pluriel. => <note>Notez que vous devez redémarrer une session pour que le changements prennent effet.</note> | le => suggestions : ['les']
89 Accord de nombre erroné : « changements » devrait être au singulier. => <note>Notez que vous devez redémarrer une session pour que le changements prennent effet.</note> | changements => suggestions : ['changement']

91 Mot inconnu : mozc => ===Avec mozc === | mozc

92 Mot inconnu : mozc => Avec mozc, l'icône en forme de roue dentée n'apparaît pas. Il faut aller modifier un fichier directement.  | mozc
92 Espace(s) en fin de ligne à supprimer. => Avec mozc, l'icône en forme de roue dentée n'apparaît pas. Il faut aller modifier un fichier directement.  |   => suggestions : ['']

98 Mot inconnu : xml => Modifiez l'élément xml nommé //layout//. Par exemple, si vous voulez utiliser un clavier fr-bepo vous devrez avoir: | xml
