
15 Mot inconnu : Developers => ===== Ubuntu Prospective Developers (Ubunteros) ===== | developers
15 Mot inconnu : Ubunteros => ===== Ubuntu Prospective Developers (Ubunteros) ===== | ubunteros
18 Mot inconnu : Ubuntero => Vous venez de créer votre compte sur [[https://launchpad.net/|Launchpad]], prenez le temps de signer le [[https://launchpad.net/codeofconduct|code de conduite]] pour devenir officiellement un **Ubuntero** . | ubuntero

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Travailler sur la correction de bugs ou sur de nouveaux paquets |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gagner de l'expérience sur la création des paquets au format Debian |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Demander la vérification de vos modifications par les sponsors (des membres du groupe MOTU et du groupe CORE) qui pourront: |    => suggestions : ['']
23 Mot inconnu : MOTU =>   * Demander la vérification de vos modifications par les sponsors (des membres du groupe MOTU et du groupe CORE) qui pourront: | motu
23 Mot inconnu : CORE =>   * Demander la vérification de vos modifications par les sponsors (des membres du groupe MOTU et du groupe CORE) qui pourront: | core

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * vérifier la modification |      => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * apporter des avis techniques |      => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * uploader le paquet quand ils seront satisfaits par sa qualité. |      => suggestions : ['']
26 Mot inconnu : uploader =>     * uploader le paquet quand ils seront satisfaits par sa qualité. | uploader

28 Mot inconnu : Contributing => ===== Ubuntu Contributing Developers ===== | contributing
28 Mot inconnu : Developers => ===== Ubuntu Contributing Developers ===== | developers

31 Mot inconnu : universe-contributors => Ça y est vous êtes membre de l'équipe des [[http://launchpad.net/~universe-contributors|Universe Contributors]] et la qualité de votre travail a été remarquée. | universe-contributors
31 Mot inconnu : Universe => Ça y est vous êtes membre de l'équipe des [[http://launchpad.net/~universe-contributors|Universe Contributors]] et la qualité de votre travail a été remarquée. | universe
31 Mot inconnu : Contributors => Ça y est vous êtes membre de l'équipe des [[http://launchpad.net/~universe-contributors|Universe Contributors]] et la qualité de votre travail a été remarquée. | contributors

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * maintenir la majorité des paquets dans Ubuntu (présents dans Universe et Multiverse). |    => suggestions : ['']
34 Mot inconnu : Universe =>   * maintenir la majorité des paquets dans Ubuntu (présents dans Universe et Multiverse). | universe
34 Mot inconnu : Multiverse =>   * maintenir la majorité des paquets dans Ubuntu (présents dans Universe et Multiverse). | multiverse

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * synchroniser les paquets à partir de Debian. |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * participer aux discussions techniques avec les autres développeurs, proposer des idées, apporter votre expertise technique. |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * et bien sur tout ce que vous faisiez précédemment sous le contrôle des sponsors. |    => suggestions : ['']

40 Mot inconnu : Developers => ===== Ubuntu Developers (MOTU) ===== | developers
40 Mot inconnu : MOTU => ===== Ubuntu Developers (MOTU) ===== | motu

41 Mot inconnu : Of => //**Les maîtres de l'univers** (Masters Of The Universe)// | of
41 Mot inconnu : The => //**Les maîtres de l'univers** (Masters Of The Universe)// | the
41 Mot inconnu : Universe => //**Les maîtres de l'univers** (Masters Of The Universe)// | universe

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous êtes maintenant en mesure de comprendre les concepts du packaging, et vous avez maintenant une solide expérience de l'upload de paquets par l'intermédiaire des sponsors |    => suggestions : ['']
45 Mot inconnu : upload =>   * Vous êtes maintenant en mesure de comprendre les concepts du packaging, et vous avez maintenant une solide expérience de l'upload de paquets par l'intermédiaire des sponsors | upload

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez appliquer ces connaissances en uploadant directement de nouveaux paquets, et en actualisant les paquets existants dans le dépôt Universe. |    => suggestions : ['']
46 Mot inconnu : uploadant =>   * Vous pouvez appliquer ces connaissances en uploadant directement de nouveaux paquets, et en actualisant les paquets existants dans le dépôt Universe. | uploadant
46 Mot inconnu : Universe =>   * Vous pouvez appliquer ces connaissances en uploadant directement de nouveaux paquets, et en actualisant les paquets existants dans le dépôt Universe. | universe

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez participer aux composants principaux en coopération avec un développeur du groupe CORE. |    => suggestions : ['']
47 Mot inconnu : CORE =>   * Vous pouvez participer aux composants principaux en coopération avec un développeur du groupe CORE. | core

