
5 Mot inconnu : Sharp => ====== Installer une imprimante Sharp ====== | sharp

13 Mot inconnu : Sharp => =====Télécharger le pilote sur le site de Sharp===== | sharp

15 Mot inconnu : ppd => Avant de passer à la méthode suivante, il est plus simple de tenter une installation avec le ppd de votre imprimante préalablement téléchargé sur le site de Sharp. Lors de l'ajout d'une imprimante par les paramètres, il suffit d'indiquer ce fichier lorsque l'installateur demande le pilote à utiliser. | ppd
15 Accord de genre erroné avec « téléchargé ». => Avant de passer à la méthode suivante, il est plus simple de tenter une installation avec le ppd de votre imprimante préalablement téléchargé sur le site de Sharp. Lors de l'ajout d'une imprimante par les paramètres, il suffit d'indiquer ce fichier lorsque l'installateur demande le pilote à utiliser. | imprimante => suggestions : ['imprimant']
15 Accord de genre erroné entre « imprimante » et « téléchargé ». => Avant de passer à la méthode suivante, il est plus simple de tenter une installation avec le ppd de votre imprimante préalablement téléchargé sur le site de Sharp. Lors de l'ajout d'une imprimante par les paramètres, il suffit d'indiquer ce fichier lorsque l'installateur demande le pilote à utiliser. | téléchargé => suggestions : ['téléchargée']
15 Mot inconnu : Sharp => Avant de passer à la méthode suivante, il est plus simple de tenter une installation avec le ppd de votre imprimante préalablement téléchargé sur le site de Sharp. Lors de l'ajout d'une imprimante par les paramètres, il suffit d'indiquer ce fichier lorsque l'installateur demande le pilote à utiliser. | sharp

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déplacez vous dans le dossier décompressé :<code bash>cd /chemin_vers_votre_dossier/sharp-1.6-mx-c52-ps</code> |    => suggestions : ['']
22 Forme interrogative ? Mettez un trait d’union. =>   * Déplacez vous dans le dossier décompressé :<code bash>cd /chemin_vers_votre_dossier/sharp-1.6-mx-c52-ps</code> | déplacez vous => suggestions : ['Déplacez-vous']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez le script :<code bash>sudo ./setup</code> |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suivez les instructions qui s'affiche dans la fenêtre. |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez le serveur CUPS :<code bash>sudo /etc/init.d/cups restart</code> |    => suggestions : ['']
25 Mot inconnu : CUPS =>   * Redémarrez le serveur CUPS :<code bash>sudo /etc/init.d/cups restart</code> | cups

30 Mot inconnu : OpenGroup => *OpenGroup: Authentication | opengroup
30 Mot inconnu : Authentication => *OpenGroup: Authentication | authentication

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

32 Mot inconnu : JCL => *% Base JCL key code option  | jcl
32 Mot inconnu : key => *% Base JCL key code option  | key
32 Espace(s) en fin de ligne à supprimer. => *% Base JCL key code option  |   => suggestions : ['']

33 Mot inconnu : OpenUI => *OpenUI JCLPasscode/Key Code: PickOne | openui
33 Mot inconnu : JCLPasscode => *OpenUI JCLPasscode/Key Code: PickOne | jclpasscode
33 Mot inconnu : Key => *OpenUI JCLPasscode/Key Code: PickOne | key
33 Mot inconnu : PickOne => *OpenUI JCLPasscode/Key Code: PickOne | pickone

34 Mot inconnu : OrderDependency => *OrderDependency: 10 JCLSetup *JCLPasscode | orderdependency
34 Mot inconnu : JCLSetup => *OrderDependency: 10 JCLSetup *JCLPasscode | jclsetup
34 Mot inconnu : JCLPasscode => *OrderDependency: 10 JCLSetup *JCLPasscode | jclpasscode

35 Mot inconnu : DefaultJCLPasscode => *DefaultJCLPasscode: None | defaultjclpasscode

36 Mot inconnu : JCLPasscode => *JCLPasscode None/No Code: "" | jclpasscode

37 Mot inconnu : JCLPasscode => *JCLPasscode 1111: "@PJL SET ACCOUNTNUMBER = \"1111\"<0A>" | jclpasscode
