
3 Mot inconnu : boot => ====== Double boot Windows/Linux sur des machines chiffrées avec PBA ====== | boot
3 Mot inconnu : PBA => ====== Double boot Windows/Linux sur des machines chiffrées avec PBA ====== | pba

5 Mot inconnu : tutorial => Ce tutorial a été réalisé dans le cas suivant : | tutorial

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * machine intégrée dans un environnement Windows, qui doit respecter des règles dans un environnement d'entreprise |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * chiffrement logiciel de partitions, et non de disque |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader |    => suggestions : ['']
8 Mot inconnu : Securedoc =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader | securedoc
8 Mot inconnu : WinMagic =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader | winmagic
8 Mot inconnu : PBA =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader | pba
8 Mot inconnu : Pre-Boot =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader | pre-boot
8 Mot inconnu : bootloader =>   * Securedoc **WinMagic** : outil de sécurité de type PBA (Pre-Boot Authentification), qui se positionne à l'amorçage sur le disque dur, avant le lancement du bootloader | bootloader

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Boot sur disque MBR (et non GPT, ou via UEFI) |    => suggestions : ['']
9 Mot inconnu : Boot =>   * Boot sur disque MBR (et non GPT, ou via UEFI) | boot
9 Mot inconnu : MBR =>   * Boot sur disque MBR (et non GPT, ou via UEFI) | mbr
9 Mot inconnu : GPT =>   * Boot sur disque MBR (et non GPT, ou via UEFI) | gpt
9 Mot inconnu : UEFI =>   * Boot sur disque MBR (et non GPT, ou via UEFI) | uefi

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - SYSTEM (ntfs) : équivalent de la partition /boot sous Linux |    => suggestions : ['']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - SYSTEM (ntfs) : équivalent de la partition /boot sous Linux |  -  => suggestions : [' – ', ' — ', ' − ']
12 Mot inconnu : SYSTEM =>   - SYSTEM (ntfs) : équivalent de la partition /boot sous Linux | system
12 Mot inconnu : ntfs =>   - SYSTEM (ntfs) : équivalent de la partition /boot sous Linux | ntfs

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - WINDOWS (ntfs) : OS éponyme |    => suggestions : ['']
