
4 Mot inconnu : Groff => ====== Groff  tutoriel====== | groff
4 Espace(s) surnuméraire(s) à supprimer. => ====== Groff  tutoriel====== |    => suggestions : [' ']

14 Mot inconnu : Groff => Tout d'abord, voici la manière classique de rédiger avec Groff. Pour garder une certaine clarté, répartissez le travail sur 3 bureaux virtuels.  | groff
14 Espace(s) en fin de ligne à supprimer. => Tout d'abord, voici la manière classique de rédiger avec Groff. Pour garder une certaine clarté, répartissez le travail sur 3 bureaux virtuels.  |   => suggestions : ['']

18 Mot inconnu : groff => Sur un deuxième bureau virtuel, ouvrez un terminal où vous transformez votre fichier d'entrée avec la commande groff. | groff

21 Mot inconnu : votre_fichier => Sur le troisième bureau virtuel, allez dans votre répertoire personnel, vous y trouverez votre_fichier.ps, que vous pouvez lire avec le visionneur de documents. | votre_fichier
21 Il manque un espace. => Sur le troisième bureau virtuel, allez dans votre répertoire personnel, vous y trouverez votre_fichier.ps, que vous pouvez lire avec le visionneur de documents. | ps => suggestions : [' ps']

23 Guillemets typographiques ouvrants. => Le tout en image. Ici, le fichier a été nommé "michao". | " => suggestions : ['«\xa0', '“']
23 Mot inconnu : michao => Le tout en image. Ici, le fichier a été nommé "michao". | michao
23 Guillemets typographiques fermants. => Le tout en image. Ici, le fichier a été nommé "michao". | " => suggestions : ['\xa0»', '”']

27 Mot inconnu : groff => Par défaut, groff ne tient pas compte des changements de ligne.\\ | groff

28 Espace(s) en fin de ligne à supprimer. => Pour éditer un poème, comme c'est le cas ici, commencer simplement chaque ligne par un espace.  |   => suggestions : ['']

30 Mot inconnu : ç => Si vous avez utilisé des caractères accentués ou spéciaux (tels que le ç), vous aller retrouver dans votre fichier de sortie des signes kabalistiques! Ne vous en faites pas: il suffit d'ajouter l'option -k, comme on peut le voir sur l'image du milieu.\\ | ç
30 Conjugaison erronée. Accord avec “vous”. Le verbe devrait être à la 2ᵉ personne du pluriel. => Si vous avez utilisé des caractères accentués ou spéciaux (tels que le ç), vous aller retrouver dans votre fichier de sortie des signes kabalistiques! Ne vous en faites pas: il suffit d'ajouter l'option -k, comme on peut le voir sur l'image du milieu.\\ | aller => suggestions : ['allez']
30 Mot inconnu : kabalistiques => Si vous avez utilisé des caractères accentués ou spéciaux (tels que le ç), vous aller retrouver dans votre fichier de sortie des signes kabalistiques! Ne vous en faites pas: il suffit d'ajouter l'option -k, comme on peut le voir sur l'image du milieu.\\ | kabalistiques
30 Il manque un espace à côté du tiret. => Si vous avez utilisé des caractères accentués ou spéciaux (tels que le ç), vous aller retrouver dans votre fichier de sortie des signes kabalistiques! Ne vous en faites pas: il suffit d'ajouter l'option -k, comme on peut le voir sur l'image du milieu.\\ |  - => suggestions : [' – ', ' — ']

31 Mot inconnu : Groff => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). | groff
31 Il manque un espace à côté du tiret. => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). |  - => suggestions : [' – ', ' — ']
31 Mot inconnu : preconv => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). | preconv
31 Espace(s) surnuméraire(s) à supprimer. => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). |    => suggestions : [' ']
31 Mot inconnu : préconvertit => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). | préconvertit
31 Mot inconnu : groff => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). | groff
31 Mot inconnu : preconv => Groff travaille sur un jeu de caractères restreint. L'option -k (preconv),  préconvertit les caractères spéciaux en quelque chose que groff peut comprendre. (Pour en savoir plus: man preconv). | preconv

33 Espace(s) surnuméraire(s) à supprimer. => Si vous avez des corrections à apporter,  retournez sur le premier bureau virtuel, apportez vos corrections, enregistrez. Sur le deuxième bureau, repassez la commande groff. Vos corrections passent sur le fichier de sortie sans qu'il soit nécessaire de fermer et de réouvrir celui-ci   8-).  |    => suggestions : [' ']
33 Mot inconnu : groff => Si vous avez des corrections à apporter,  retournez sur le premier bureau virtuel, apportez vos corrections, enregistrez. Sur le deuxième bureau, repassez la commande groff. Vos corrections passent sur le fichier de sortie sans qu'il soit nécessaire de fermer et de réouvrir celui-ci   8-).  | groff
33 Mot inconnu : réouvrir => Si vous avez des corrections à apporter,  retournez sur le premier bureau virtuel, apportez vos corrections, enregistrez. Sur le deuxième bureau, repassez la commande groff. Vos corrections passent sur le fichier de sortie sans qu'il soit nécessaire de fermer et de réouvrir celui-ci   8-).  | réouvrir
33 Espace(s) surnuméraire(s) à supprimer. => Si vous avez des corrections à apporter,  retournez sur le premier bureau virtuel, apportez vos corrections, enregistrez. Sur le deuxième bureau, repassez la commande groff. Vos corrections passent sur le fichier de sortie sans qu'il soit nécessaire de fermer et de réouvrir celui-ci   8-).  |     => suggestions : [' ']
33 Espace(s) en fin de ligne à supprimer. => Si vous avez des corrections à apporter,  retournez sur le premier bureau virtuel, apportez vos corrections, enregistrez. Sur le deuxième bureau, repassez la commande groff. Vos corrections passent sur le fichier de sortie sans qu'il soit nécessaire de fermer et de réouvrir celui-ci   8-).  |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Si vous avez commis des erreurs, groff vous le signalera en indiquant le No de la ligne concernée. Il convient donc d'activer la numérotaiton des lignes dans l'éditeur de texte que vous utilisez.\\ |   => suggestions : ['']
35 Mot inconnu : groff =>  Si vous avez commis des erreurs, groff vous le signalera en indiquant le No de la ligne concernée. Il convient donc d'activer la numérotaiton des lignes dans l'éditeur de texte que vous utilisez.\\ | groff
35 Mot inconnu : numérotaiton =>  Si vous avez commis des erreurs, groff vous le signalera en indiquant le No de la ligne concernée. Il convient donc d'activer la numérotaiton des lignes dans l'éditeur de texte que vous utilisez.\\ | numérotaiton

37 Mot inconnu : Groff => Groff n' indique bien sûr que les erreurs de commandes, pas les erreurs d'orthographe ou de grammaire.  | groff
