
4 Mot inconnu : DC => ====== Samba AD DC - Intégration de machines au domaine ====== | dc
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Samba AD DC - Intégration de machines au domaine ====== |  -  => suggestions : [' – ', ' — ', ' − ']

6 Mot inconnu : Directory => L'intégration d'une machine dans un domaine Active Directory (AD) va permettre d'authentifier les utilisateurs du domaine sur cette machine. Cette authentification se fait vis-à-vis d'un domaine contrôleur (DC). | directory
6 Mot inconnu : DC => L'intégration d'une machine dans un domaine Active Directory (AD) va permettre d'authentifier les utilisateurs du domaine sur cette machine. Cette authentification se fait vis-à-vis d'un domaine contrôleur (DC). | dc

12 Mot inconnu : FQDN => Il est recommandé de mettre le FQDN ((Fully Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname | fqdn
12 Mot inconnu : Fully => Il est recommandé de mettre le FQDN ((Fully Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname | fully
12 Mot inconnu : Qualified => Il est recommandé de mettre le FQDN ((Fully Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname | qualified
12 Mot inconnu : Domain => Il est recommandé de mettre le FQDN ((Fully Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname | domain
12 Mot inconnu : Name => Il est recommandé de mettre le FQDN ((Fully Qualified Domain Name: Nom de machine incluant la partie domaine)) de la machine dans le fichier /etc/hostname | name

16 Mot inconnu : FQDN => Pour faciliter la résolution de nom sans passer par le serveur DNS, il faut également ajouter le FQDN dans le fichier /etc/hosts | fqdn

18 Espace(s) surnuméraire(s) à supprimer. => 127.0.0.1       localhost |         => suggestions : [' ']
18 Mot inconnu : localhost => 127.0.0.1       localhost | localhost

19 Espace(s) surnuméraire(s) à supprimer. => 127.0.1.1       ubnwks01.example.com ubnwks01 |         => suggestions : [' ']
19 Mot inconnu : ubnwks01 => 127.0.1.1       ubnwks01.example.com ubnwks01 | ubnwks01

21 Mot inconnu : The => # The following lines are desirable for IPv6 capable hosts | the
21 Mot inconnu : following => # The following lines are desirable for IPv6 capable hosts | following
21 Mot inconnu : lines => # The following lines are desirable for IPv6 capable hosts | lines
21 Mot inconnu : desirable => # The following lines are desirable for IPv6 capable hosts | desirable
21 Mot inconnu : IPv6 => # The following lines are desirable for IPv6 capable hosts | ipv6
21 Mot inconnu : hosts => # The following lines are desirable for IPv6 capable hosts | hosts

22 Une de ces ponctuations est superflue. => ::1     localhost ip6-localhost ip6-loopback | :: => suggestions : [':', ':']
22 Espace(s) surnuméraire(s) à supprimer. => ::1     localhost ip6-localhost ip6-loopback |       => suggestions : [' ']
22 Mot inconnu : localhost => ::1     localhost ip6-localhost ip6-loopback | localhost
22 Mot inconnu : ip6-localhost => ::1     localhost ip6-localhost ip6-loopback | ip6-localhost
22 Mot inconnu : ip6-loopback => ::1     localhost ip6-localhost ip6-loopback | ip6-loopback

23 Mot inconnu : ff02 => ff02::1 ip6-allnodes | ff02
23 Une de ces ponctuations est superflue. => ff02::1 ip6-allnodes | :: => suggestions : [':', ':']
23 Mot inconnu : ip6-allnodes => ff02::1 ip6-allnodes | ip6-allnodes

24 Mot inconnu : ff02 => ff02::2 ip6-allrouters | ff02
24 Une de ces ponctuations est superflue. => ff02::2 ip6-allrouters | :: => suggestions : [':', ':']
24 Mot inconnu : ip6-allrouters => ff02::2 ip6-allrouters | ip6-allrouters

26 Mot inconnu : hostname => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com. Il est important que ce soit le FQDN qui suit en premier l'adresse 127.0.1.1. | hostname
26 Mot inconnu : hostname => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com. Il est important que ce soit le FQDN qui suit en premier l'adresse 127.0.1.1. | hostname
26 Il manque un espace à côté du tiret. => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com. Il est important que ce soit le FQDN qui suit en premier l'adresse 127.0.1.1. |  - => suggestions : [' – ', ' — ']
26 Mot inconnu : FQDN => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com. Il est important que ce soit le FQDN qui suit en premier l'adresse 127.0.1.1. | fqdn
26 Mot inconnu : FQDN => Les commandes //hostname// et //hostname -f// doivent retourner le même résultat, le FQDN de la machine, ubnwks01.example.com. Il est important que ce soit le FQDN qui suit en premier l'adresse 127.0.1.1. | fqdn

28 Mot inconnu : DC => Une bonne résolution de nom de domaine est indispensable au sein d'un domaine Samba AD DC. Dans le fichier /etc/resolv.conf, il faut retrouver un serveur DNS du domaine et le domaine de recherche. | dc

29 Mot inconnu : nameserver => <file - /etc/resolv.conf>nameserver 192.168.1.11 | nameserver

30 Mot inconnu : search => search example.com</file> | search
30 Mot inconnu : example => search example.com</file> | example

31 Mot inconnu : YAML => Ces paramètres sont soit fournis par le serveur DHCP du réseau ou configurés de façon statique dans le fichier **/etc/network/interfaces** (obsolète à partir de 18.04) ou dans un fichier YAML dans **/etc/netplan** (par défaut à partir de 18.04) (se référer à [[tutoriel:comment_configurer_son_reseau_local|Comment configurer son réseau local ?]] et [[utilisateurs:ool:netplan|netplan]]) | yaml
31 Il manque un espace. => Ces paramètres sont soit fournis par le serveur DHCP du réseau ou configurés de façon statique dans le fichier **/etc/network/interfaces** (obsolète à partir de 18.04) ou dans un fichier YAML dans **/etc/netplan** (par défaut à partir de 18.04) (se référer à [[tutoriel:comment_configurer_son_reseau_local|Comment configurer son réseau local ?]] et [[utilisateurs:ool:netplan|netplan]]) | comment_configurer_son_reseau_local => suggestions : [' comment_configurer_son_reseau_local']
31 Mot inconnu : comment_configurer_son_reseau_local => Ces paramètres sont soit fournis par le serveur DHCP du réseau ou configurés de façon statique dans le fichier **/etc/network/interfaces** (obsolète à partir de 18.04) ou dans un fichier YAML dans **/etc/netplan** (par défaut à partir de 18.04) (se référer à [[tutoriel:comment_configurer_son_reseau_local|Comment configurer son réseau local ?]] et [[utilisateurs:ool:netplan|netplan]]) | comment_configurer_son_reseau_local

39 Mot inconnu : Kerberos => Pour plusieurs raisons dont l'authentification Kerberos, la synchronisation des horloges entre les machines est indispensable. | kerberos
41 Mot inconnu : ntp => Pour ce faire, il faut installer le paquet **[[apt>ntp]]** | ntp

44 Mot inconnu : ntp => Configurer //ntp// pour qu'il se synchronise sur le DC. Voici un exemple de configuration simplifiée : | ntp
44 Mot inconnu : DC => Configurer //ntp// pour qu'il se synchronise sur le DC. Voici un exemple de configuration simplifiée : | dc

46 Mot inconnu : driftfile => driftfile      /var/lib/ntp/ntp.drift | driftfile
46 Espace(s) surnuméraire(s) à supprimer. => driftfile      /var/lib/ntp/ntp.drift |        => suggestions : [' ']

47 Mot inconnu : logfile => logfile        /var/log/ntp | logfile
47 Espace(s) surnuméraire(s) à supprimer. => logfile        /var/log/ntp |          => suggestions : [' ']

49 Mot inconnu : Specify => # Specify one or more NTP servers. | specify
49 Mot inconnu : one => # Specify one or more NTP servers. | one
49 Mot inconnu : NTP => # Specify one or more NTP servers. | ntp
49 Mot inconnu : servers => # Specify one or more NTP servers. | servers

50 Mot inconnu : server => server ubndc01.example.com | server

52 Mot inconnu : By => # By default, exchange time with everybody, but don't allow configuration. | by
52 Mot inconnu : default => # By default, exchange time with everybody, but don't allow configuration. | default
52 Mot inconnu : exchange => # By default, exchange time with everybody, but don't allow configuration. | exchange
52 Mot inconnu : time => # By default, exchange time with everybody, but don't allow configuration. | time
52 Mot inconnu : with => # By default, exchange time with everybody, but don't allow configuration. | with
52 Mot inconnu : everybody => # By default, exchange time with everybody, but don't allow configuration. | everybody
52 Mot inconnu : don't => # By default, exchange time with everybody, but don't allow configuration. | don't
52 Mot inconnu : allow => # By default, exchange time with everybody, but don't allow configuration. | allow

53 Mot inconnu : restrict => restrict default kod notrap nomodify nopeer mssntp limited | restrict
53 Mot inconnu : default => restrict default kod notrap nomodify nopeer mssntp limited | default
53 Mot inconnu : kod => restrict default kod notrap nomodify nopeer mssntp limited | kod
53 Mot inconnu : notrap => restrict default kod notrap nomodify nopeer mssntp limited | notrap
53 Mot inconnu : nomodify => restrict default kod notrap nomodify nopeer mssntp limited | nomodify
53 Mot inconnu : nopeer => restrict default kod notrap nomodify nopeer mssntp limited | nopeer
53 Mot inconnu : mssntp => restrict default kod notrap nomodify nopeer mssntp limited | mssntp
53 Mot inconnu : limited => restrict default kod notrap nomodify nopeer mssntp limited | limited

55 Mot inconnu : users => # Local users may interrogate the ntp server more closely. | users
55 Mot inconnu : may => # Local users may interrogate the ntp server more closely. | may
55 Mot inconnu : interrogate => # Local users may interrogate the ntp server more closely. | interrogate
55 Mot inconnu : the => # Local users may interrogate the ntp server more closely. | the
55 Mot inconnu : ntp => # Local users may interrogate the ntp server more closely. | ntp
55 Mot inconnu : server => # Local users may interrogate the ntp server more closely. | server
55 Mot inconnu : closely => # Local users may interrogate the ntp server more closely. | closely

56 Mot inconnu : restrict => restrict 127.0.0.1 | restrict

59 Mot inconnu : ntp => Redémarrer le service //ntp// | ntp

62 Mot inconnu : ntp => Vérifier le bon fonctionnement de ntp | ntp

69 Mot inconnu : DC => ===== Joindre la machine au domaine Samba AD DC ===== | dc

77 Mot inconnu : sudo => sudo service nmbd stop</code> | sudo
77 Mot inconnu : nmbd => sudo service nmbd stop</code> | nmbd

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour Ubuntu 14.04 et 16.04 (avant Samba 4.6) |    => suggestions : ['']

83 Mot inconnu : parameters => # Global parameters                                                                          | parameters
83 Espace(s) en fin de ligne à supprimer. => # Global parameters                                                                          |                                                                           => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         workgroup = EXAMPLE |          => suggestions : ['']
85 Mot inconnu : workgroup =>         workgroup = EXAMPLE | workgroup
85 Mot inconnu : EXAMPLE =>         workgroup = EXAMPLE | example

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         realm = EXAMPLE.COM |          => suggestions : ['']
86 Mot inconnu : realm =>         realm = EXAMPLE.COM | realm
86 Mot inconnu : EXAMPLE =>         realm = EXAMPLE.COM | example

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         netbios name = ubnwks01 |          => suggestions : ['']
87 Mot inconnu : netbios =>         netbios name = ubnwks01 | netbios
87 Mot inconnu : name =>         netbios name = ubnwks01 | name
87 Mot inconnu : ubnwks01 =>         netbios name = ubnwks01 | ubnwks01

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         security = ADS |          => suggestions : ['']
88 Mot inconnu : security =>         security = ADS | security
88 Mot inconnu : ADS =>         security = ADS | ads

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         encrypt passwords = yes |          => suggestions : ['']
89 Mot inconnu : encrypt =>         encrypt passwords = yes | encrypt
89 Mot inconnu : passwords =>         encrypt passwords = yes | passwords
89 Mot inconnu : yes =>         encrypt passwords = yes | yes

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:backend = ad |          => suggestions : ['']
91 Mot inconnu : idmap =>         idmap config EXAMPLE:backend = ad | idmap
91 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:backend = ad | example
91 Il manque un espace. =>         idmap config EXAMPLE:backend = ad | backend => suggestions : [' backend']
91 Mot inconnu : backend =>         idmap config EXAMPLE:backend = ad | backend

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:schema_mode = rfc2307 |          => suggestions : ['']
92 Mot inconnu : idmap =>         idmap config EXAMPLE:schema_mode = rfc2307 | idmap
92 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:schema_mode = rfc2307 | example
92 Il manque un espace. =>         idmap config EXAMPLE:schema_mode = rfc2307 | schema_mode => suggestions : [' schema_mode']
92 Mot inconnu : schema_mode =>         idmap config EXAMPLE:schema_mode = rfc2307 | schema_mode
92 Mot inconnu : rfc2307 =>         idmap config EXAMPLE:schema_mode = rfc2307 | rfc2307

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:range = 10000-39999 |          => suggestions : ['']
93 Mot inconnu : idmap =>         idmap config EXAMPLE:range = 10000-39999 | idmap
93 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:range = 10000-39999 | example
93 Il manque un espace. =>         idmap config EXAMPLE:range = 10000-39999 | range => suggestions : [' range']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config *:backend = tdb |          => suggestions : ['']
95 Mot inconnu : idmap =>         idmap config *:backend = tdb | idmap
95 Mot inconnu : backend =>         idmap config *:backend = tdb | backend
95 Mot inconnu : tdb =>         idmap config *:backend = tdb | tdb

